"RelativePath","Classification","Disposition","Reason"
".github/pull_request_template.md","REPOSITORY WORKFLOW DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"CODE_OF_CONDUCT.md","LEGAL/GOVERNANCE","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"CONTRIBUTING.md","LEGAL/GOVERNANCE","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docker/README.md","PACKAGE/SUBSYSTEM README","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/backup-and-restore.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/email-notification.mdx","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/jobs-workers.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/maintenance-mode.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/oauth.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/postgres-standalone.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/reverse-proxy.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/server-commands.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/server-stats.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/storage-template.mdx","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/system-integrity.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/system-settings.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/administration/user-management.mdx","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/api.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/developer/architecture.mdx","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/developer/database-migrations.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/developer/devcontainers.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/developer/directories.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/developer/pr-checklist.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/developer/setup.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/developer/testing.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/developer/translations.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
"docs/docs/developer/troubleshooting.md","UPSTREAM PRODUCT/ARCHITECTURE/INSTALL DOCUMENTATION","RETAIN AND CLASSIFY","Permitted repository documentation; not Lamha planning or Graphify output"
