phase_id,name,objective,entry_gate,exit_gate
I0,Repository Proof and Feasibility,Preserve provenance and establish a reproducible non-destructive baseline before application changes.,"Active plan, source hashes, and write boundaries are verified.",Repository/toolchain/component facts and baseline attempts are recorded without changing application source.
I1,"Identity, Branding, and Legal Foundation","Establish Lamha identity while preserving licences, attribution, and compatibility evidence.",I0 inventory evidence exists.,Reviewed identity surfaces and legal evidence agree.
I2,Desktop Shell and Trust Boundary,"Bootstrap the static Tauri desktop shell, capabilities, typed IPC envelope, and offline launch path.",Required toolchain decisions from I0 are recorded.,The bounded shell launches offline and rejects unauthorized requests.
I3,Authoritative Data and Transaction Foundation,"Implement durable records, roots, sidecars, SQLite migrations, filesystem plans, transactions, and recovery primitives.",Typed IPC and root-selection boundaries exist.,"Authority, migration, transaction, rollback, and rebuild contracts pass focused tests."
I4,Media Discovery and Derived Index,"Implement scanning, watching, identity reconciliation, formats, metadata extraction, previews, companions, and indexes.","I3 authority, root, record, and derived-index foundations exist.",Supported fixture matrices ingest and rebuild without mutating originals.
I5,Offline Library Experience,"Deliver the usable offline gallery, viewers, albums, memories, map browsing, Review Centre, and saved views.",I4 discovery and preview/index contracts exist.,Core browsing and review workflows operate from local data with keyboard/error coverage.
I6,Events and Manage Later,"Implement review-first event records, proposals, organization, and reversible filesystem materialization plans.","Asset identity, review, and transaction-plan contracts exist.",Event workflows preserve linked folders and never mutate without confirmed current plans.
I7,"People, Faces, and Groups","Implement candidate-first face processing, person identity, groups, temporal memberships, and corrections.",Review contracts and relevant local worker/model decisions exist.,"Candidate, confirmation, merge/split, history, and privacy behavior passes."
I8,"Tags, Relationships, and Attribution","Implement tags, multi-edge relationships, history, attribution roles, and approved projections.",Stable people/asset identities and review state exist.,"Role separation, certainty, history, projection, and review tests pass."
I9,Mind-Map Projections,Implement global and scoped projections of one canonical graph with persistent safe drafts.,Canonical event/person/group/relationship records exist.,Drafts and projections are rebuildable and materialization requires a validated plan.
I10,"Local AI, Search, and Duplicates","Implement the private worker, model lifecycle, AI proposals, OCR/search, and duplicate candidates.","Worker/component decisions, asset identity, review, and derived-index foundations exist.","All results are local, typed, provenance-bearing candidates with cancellation/resource proof."
I11,"Metadata Mutation, Editing, and Privacy","Implement authority-aware metadata changes, edit recipes, derivatives, batch plans, and privacy export.","Sidecar, transaction, review, and revision contracts exist.",Mutations are previewed/revisioned/recoverable and originals remain unchanged.
I12,External Drives and Filesystem Resilience,"Treat disconnection, reconnection, cross-volume behavior, and path instability as normal states.","Root identity, path safety, journals, and recovery exist.","Failure-injection proves detached, relink, cross-volume, and reparse behavior."
I13,"Backup, Trash, Restore, and Rebuild",Prove recoverability of authoritative knowledge and deterministic reconstruction of derived state.,Authoritative schemas and transaction/recovery primitives exist.,"Backup verification, trash/restore, disaster recovery, and clean rebuild drills pass."
I14,"Performance, Accessibility, and Desktop UX","Measure and meet declared resource, interaction, keyboard, focus, and assistive-technology gates.",Representative end-to-end local workflows exist.,Declared fixture/platform evidence passes without substituting planning claims for measurements.
I15,"Packaging, Legacy Eradication, and Release","Package all platforms, remove only verified legacy dependencies, and execute final release proof.",Required component decisions and replacement evidence are complete.,"Clean-machine packages, SBOM/notices, no-outbound proof, and legacy-removal evidence pass."
