Item type,Item ID,Candidate value,Final reviewed value,Judgement,Evidence,Reason,Correction applied,Remaining concern,Reviewer type,Review revision
command,ai.cancel,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,ai.hardware_assess,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,ai.invalidate,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,ai.models,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,ai.pause,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,ai.plan,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,ai.resume,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,ai.retry,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,ai.start,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,app.bootstrap,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,app.diagnostics_export,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,app.settings_get,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,app.settings_update,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,app.status,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,assets.get,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,assets.hash_verify,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,assets.locate,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,assets.open,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,assets.page,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,assets.selection_summary,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,assets.thumbnail_request,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,editing.export_commit,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,editing.export_plan,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,editing.recipe_get,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,editing.recipe_update,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,editing.render_preview,True,False,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,editing.reset,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,events.commit_plan,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
command,events.create,False,True,PASS,ipc-command-registry-v3.json and request/response schemas,"Command read/mutating classification, error subset, and schema references verified by validator L7.",NO,,INDEPENDENT_FINAL_CERTIFICATION,2026-08-05-pass3-independent-final-certification
