risk_id,risk,severity,trigger,impact,prevention,detection,recovery,required_test,owner_phase,source_status,runtime_requirement_id,mitigation_owner_packages,test_owner_package,required_after_packages,package_gate,release_gate,verification_status,runtime_evidence,implementation_commit,review_status,review_revision
R-01,Data loss in structural filesystem transaction,P0,"Crash, disk full, disconnect, collision",Original/sidecar loss or divergence,Durable journal; stage+verify; backups,Startup reconciliation and hash checks,Preserve copies; Review; rollback,Failure injection at every state,4/12,OPEN,CAN-LAM-RISK-TEST-001,WP-I3-014,WP-I3-014,,WP-I3-014:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-02,Authority divergence,P0,Conflicting JSON/XMP/EXIF/filesystem/SQLite,Silent wrong metadata,Directional authority and revisions,Conflict detector,Preserve all values; Review,Golden conflict fixtures,4/11,OPEN,CAN-LAM-RISK-TEST-002,WP-I3-015,WP-I3-015,,WP-I3-015:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-03,Path escape through symlink/junction/reparse point,P0,Malicious or changed path topology,Write outside authorized roots,Canonicalization and platform checks,Precondition revalidation,Abort safely; diagnostics,Cross-platform escape corpus,4/12,OPEN,CAN-LAM-RISK-TEST-003,WP-I3-004,WP-I3-004,,WP-I3-004:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-04,Premature legacy deletion,P0,Delete before callers/parity migrate,Build/runtime/parity loss,Replacement-before-removal,Graph/import/runtime scans,Restore baseline slice,Focused+absence tests,All/16,OPEN,CAN-LAM-RISK-TEST-004,WP-I15-015,WP-I15-015,,WP-I15-015:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-05,Mixed snapshot provenance,P0,2.7.5/3.0.0 manifests and no Git,Unreproducible baseline,Immutable import and upstream comparison,Hash/version report,Classify/repair in separate commit,Disposable baseline build,0,OPEN,CAN-LAM-RISK-TEST-005,WP-I0-004,WP-I0-007,WP-I0-004,WP-I0-007:EXIT,I15:RELEASE,VERIFIED,graphify/13-implementation/WP-I0-007/baseline-attempts.json;graphify/13-implementation/WP-I0-007/verification-report.json;graphify/13-implementation/WP-I0-007/completion-evidence.md;graphify/13-implementation/WP-I0-007/adversarial-review.md,48d583804c24765e75d3ebdf3f0cd20bfe8ee7d2,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-06,AI process exposes listener or authority,P0,HTTP/socket binding or record paths supplied,Privacy/control breach,Child framed IPC; Rust writes only,Port/process/write scans,Kill worker; invalidate task,No-listener and write-attempt tests,10,OPEN,CAN-LAM-RISK-TEST-006,WP-I10-002,WP-I10-002,,WP-I10-002:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-07,Malformed media/sidecar exploit,P0,Hostile parser input,"Code execution, crash, data loss",Pinned tools; limits; validation; isolation,Crash/resource monitoring,Quarantine and continue,Malformed corpus/fuzzing,4/10/11,OPEN,CAN-LAM-RISK-TEST-007,WP-I4-008;WP-I10-002;WP-I11-012,WP-I15-008,WP-I4-008;WP-I10-002;WP-I11-012,WP-I15-008:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-08,Future/corrupt schema loss,P0,Newer/truncated record opened by older app,Metadata loss,Read-only future mode; preserve bytes,Schema validator,Quarantine; compatible migration/export,Schema fixtures,4,OPEN,CAN-LAM-RISK-TEST-008,WP-I3-007,WP-I3-007,,WP-I3-007:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-09,SQLite becomes accidental authority,P0,Feature writes only DB,Rebuild loses decisions,Write-path reviews; JSON authority tests,Delete-DB rebuild,Reconstruct from records,Deterministic rebuild suite,4/13,OPEN,CAN-LAM-RISK-TEST-009,WP-I13-009,WP-I13-009,,WP-I13-009:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
R-10,Cross-drive partial move,P0,Disconnect or disk full after copy,Duplicates/orphans,Verify target bundle before source delete,Journal reconciliation,Preserve both; Review,Cross-drive failure injection,12,OPEN,CAN-LAM-RISK-TEST-010,WP-I12-007;WP-I12-009,WP-I12-009,WP-I12-007,WP-I12-009:EXIT,I15:RELEASE,PENDING,,,REVIEWED_CORRECTED,2026-08-11-wp-i0-011-ownership-repair
