canonical_id,work_package_id,membership_rationale,capability_compatibility,requirement_phase,package_phase,review_status,evidence
CAN-FAIL-01,WP-I4-003,WP-I4-003 is the architectural owner because its objective — Implement and verify the bounded media format classification surface. — is the surface that must execute the obligation 'Lamha ingestion must classify every approved media class and must either index supported v'; prerequisite packages WP-I4-001 supply the underlying schema/identity/journal it needs.,Media format classification,I4,I4,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-02,WP-I0-011,"WP-I0-011 is the architectural owner because its objective — Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obliga — is the surface that must execute the obligation 'Completed production paths must contain no stub success, todo macro, empty success return,'; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.",Active-plan authority adoption,I0,I0,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-03,WP-I2-011,WP-I2-011 is the architectural owner because its objective — Implement and verify the bounded typed frontend command bridge surface. — is the surface that must execute the obligation 'A completed target screen must obtain mutable or persisted state through its reviewed type'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.,Typed frontend command bridge,I2,I2,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-04,WP-I3-006,"WP-I3-006 is the architectural owner because its objective — Write co-located asset JSON and XMP mirrors through a schema-valid sidecar write protocol, preserve exact bytes on validation failure, and keep authoritative kn — is the surface that must execute the obligation 'For every writable managed asset whose approved metadata is XMP-compatible, Lamha must wri'; prerequisite packages WP-I3-005 supply the underlying schema/identity/journal it needs.",Sidecar write protocol,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-05,WP-I6-009,"WP-I6-009 is the architectural owner because its objective — Implement and verify the bounded event filesystem materialization plan surface. — is the surface that must execute the obligation 'Event materialization must create only approved physical placement classes; people, group,'; prerequisite packages WP-I3-011, WP-I6-002 supply the underlying schema/identity/journal it needs.",Event filesystem materialization plan,I6,I6,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-06,WP-I7-003,"WP-I7-003 is the architectural owner because its objective — Implement and verify the bounded face clustering and curation surface. — is the surface that must execute the obligation 'Face-cluster analysis may create typed merge candidates, but Lamha must not persist a clus'; prerequisite packages WP-I7-002 supply the underlying schema/identity/journal it needs.",Face clustering and curation,I7,I7,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-07,WP-I10-002,WP-I10-002 is the architectural owner because its objective — Implement and verify the bounded private local worker transport surface. — is the surface that must execute the obligation 'The AI worker must communicate only through the reviewed private local transport owned by '; prerequisite packages WP-I10-001 supply the underlying schema/identity/journal it needs.,Private local worker transport,I10,I10,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-08,WP-I3-002,WP-I3-002 is the architectural owner because its objective — Implement and verify the bounded stable asset identity surface. — is the surface that must execute the obligation 'At ingestion Lamha must persist the original filename once in the authoritative asset reco'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.,Stable asset identity,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-09,WP-I15-015,"WP-I15-015 is the architectural owner because its objective — Remove legacy runtime, server, database, queue, container, generated-client, and obsolete workflow paths only after retained callers have verified replacements. — is the surface that must execute the obligation 'Lamha must not remove a legacy subsystem until every retained caller has migrated, replace'; prerequisite packages WP-I15-008, WP-I15-014 supply the underlying schema/identity/journal it needs.",Legacy replacement verification and removal,I15,I15,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
CAN-FAIL-10,WP-I3-009,WP-I3-009 is the architectural owner because its objective — Implement and verify the bounded derived-index rebuild contract surface. — is the surface that must execute the obligation 'Lamha must persist approved user knowledge in its declared authoritative records and must '; prerequisite packages WP-I3-008 supply the underlying schema/identity/journal it needs.,Derived-index rebuild contract,I3,I3,REVIEWED,Pass 2 explicit membership review; rationale quoted from the corrected requirement statement.
