table,classification,rebuild_source,notes
ai_candidate_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
ai_task_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
album_asset_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
album_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
asset_identity_index,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
asset_index,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
asset_search_fts,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
asset_search_fts_config,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
asset_search_fts_content,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
asset_search_fts_data,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
asset_search_fts_docsize,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
asset_search_fts_idx,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
asset_tag_index,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
backup_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
companion_index,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
derivative_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
drive_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
edit_recipe_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
event_asset_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
event_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
export_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
face_candidate_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
group_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
group_membership_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
location_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
memory_asset_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
memory_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
metadata_index,DERIVED_REBUILDABLE,MEDIA_AND_SIDECARS,SQLite is never the sole durable location for user knowledge.
mind_map_edge_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
mind_map_node_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
model_component_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
operation_index,OPERATIONAL_JOURNAL,OPERATIONAL_JOURNAL,SQLite is never the sole durable location for user knowledge.
operation_journal,OPERATIONAL_JOURNAL,OPERATIONAL_JOURNAL,SQLite is never the sole durable location for user knowledge.
person_alias_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
person_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
rebuild_source,OPERATIONAL_JOURNAL,OPERATIONAL_JOURNAL,SQLite is never the sole durable location for user knowledge.
recovery_index,OPERATIONAL_JOURNAL,OPERATIONAL_JOURNAL,SQLite is never the sole durable location for user knowledge.
relationship_history_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
relationship_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
restore_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
review_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
root_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
saved_view_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
schema_migration,OPERATIONAL_JOURNAL,OPERATIONAL_JOURNAL,SQLite is never the sole durable location for user knowledge.
settings_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
tag_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
trash_index,DERIVED_REBUILDABLE,AUTHORITATIVE_FILES,SQLite is never the sole durable location for user knowledge.
