original_requirement_id,source_plan,source_section,source_text,normalized_item_ids,disposition,rationale
FAIL-01,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-01; Skipping video, HEIF, supported RAW, or companion-media handling during ingestion.; Narrative mentioned “photos and videos” without a verified format/pairing matrix.; The local media layer MUST decode/preview and extract metadata for File 3 Section 24 formats. Derived previews may transcode through bundled tooling; originals are never silently transcoded/overwritten; Live Photo and RAW+JPEG containers remain linked independent bundles.; Mapped cross-format ingestion/preview and Companion Set tests; exact command recorded in Phase 1.",CAN-FAIL-01,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-02,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-02; Writing stub functions (todo!() or empty Ok(())) or mock data arrays to pass compilation.; Lacked explicit prohibition against stubbing and prototyping.; Anti-Prototype Rule (LAM-INV-COMP-02): Zero stubs, TODO macros, or dummy mock JSON arrays are permitted as completed production behaviour.; Mapped placeholder-production scan plus symbol review.",CAN-FAIL-02,VERIFICATION_GATE,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-03,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-03; Building Svelte UI screens with hardcoded mock data without wiring Tauri IPC or SQLite.; Allowed marking frontend done separately from backend logic.; Gate 5 (Tauri IPC Wiring): Completed target screens must invoke live mapped Tauri commands and display real local data.; Mapped UI/IPC end-to-end test; exact runner and test path recorded in Phase 1.,CAN-FAIL-03,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-04,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-04; Silently dropping XMP sidecar generation to save disk I/O.; JSON sidecars were emphasized over XMP.; LAM-INV-ASSET-03: Every writable managed asset must converge to co-located .asset.json and .xmp; degraded/read-only states remain visible until repaired/reconciled.; Mapped sidecar coexistence, degraded-state, and reconciliation tests.",CAN-FAIL-04,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-05,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-05; Creating physical directories on disk for People, Groups, Albums, or Tags.; Lacked explicit distinction between physical placement classes and virtual views.; Category folders are forbidden. Valid physical classes are dated or unknown-date normalized Event Folders, Manage Later, Linked Folders, and explicit system-controlled backup/Trash/staging/cache/overlay/export locations.; Mapped zero-category-copy safety test.",CAN-FAIL-05,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-06,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-06; Automatically merging face clusters without user review in Review Centre.; AI section didn't specify human-in-the-loop gating for cluster merges.; LAM-INV-AI-01: Workers return typed results to Rust; consequential candidates enter Review; only the Rust core may persist approved JSON after user action/approved narrow rule.; Mapped AI zero-authority and cluster-review tests.,CAN-FAIL-06,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-07,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-07; Exposing the local AI worker through HTTP, WebSocket, TCP, UDP, or another listener available to unrelated clients.; “Worker” was underspecified and models default to service processes.; LAM-AI-001: Svelte-to-Rust transport is Tauri IPC. Rust-to-worker transport is a non-network local IPC mechanism chosen after Phase 1 maps existing ML transport, lifecycle, streaming, cancellation, Windows/macOS/Linux compatibility, packaging, and security. Standard input/output, named pipes, Unix-domain sockets, Tauri sidecar communication, or another validated local mechanism may be used, but no listening TCP/UDP port or HTTP/WebSocket service is permitted.; Mapped process/listener isolation and IPC lifecycle tests.",CAN-FAIL-07,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-08,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-08; Overwriting original filename when renaming or moving assets into Event folders.; Filename preservation rule was not marked immutable.; LAM-INV-ASSET-05: Original filename at ingestion must be permanently saved in .asset.json under the Phase 1-mapped schema field and never overwritten.; Mapped original-filename immutability and restore test.,CAN-FAIL-08,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-09,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-09; Deleting Docker, PostgreSQL, Redis, or server code before exact callers and retained behaviour are mapped and replaced.; Deletion list did not specify objective lifecycle prerequisites.; Replacement-Before-Removal Guardrail: Phase 0/1 perform no source deletion. Later removal occurs only in the assigned safe phase after mapping, replacement, caller migration, focused/regression/build/desktop-launch proof, Graphify/Ponytail agreement, baseline/rollback evidence, and recorded removal proof.; Assigned-phase dependency scan, affected gates, and final Phase 16 repository-wide rescan.",CAN-FAIL-09,VERIFICATION_GATE,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-10,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-10; Treating SQLite as authoritative and failing to persist saved user decisions transparently.; SQLite speed was highlighted without defining durable JSON authority.; LAM-INV-META-03: Delete SQLite/rebuildable caches and rebuild from filesystem state plus authoritative asset/event/person/group/relationship/map/tag/album/operation JSON; saved decisions must survive.; Mapped destructive-cache-loss rebuild test on a test copy.,CAN-FAIL-10,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-11,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-11; Modifying assets in Linked Folders during event organization or deduplication.; Linked folders were not explicitly protected from automated restructuring.; LAM-INV-EVENT-03: Linked assets are indexed in place and automated event/deduplication workflows must never move or rename them, regardless of filesystem writability.; Mapped linked-folder immobility test.",CAN-FAIL-11,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-12,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-12; Conflating hardware Camera Owner with Photographer in metadata schemas.; Both terms appeared in metadata discussions without separation rules.; LAM-REMOVE-002: Hardware camera owner and photographer are distinct fields and must never silently inherit from one another.; Mapped role-separation unit and workflow tests.,CAN-FAIL-12,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-13,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-13; Auto-populating asset visible faces from event attendee lists.; “Attendees” and “People in Photo” were assumed equivalent.; LAM-REMOVE-003: Event attendees in the event record and visible people in the asset record must never auto-populate each other; serialized key spellings are selected by the Phase 1 target-schema map.; Mapped attendee/visible separation tests.,CAN-FAIL-13,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-14,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-14; Dropping historical group membership dates and keeping only current active members.; Group schema didn't enforce temporal membership interval records.; LAM-INV-PERSON-03: Removing a person closes the active interval at the user-approved effective end date; the serialized key spelling is selected by the Phase 1 target-schema map, and historical photos retain prior membership.; Mapped temporal-interval and historical-query tests.",CAN-FAIL-14,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-15,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-15; Flattening nested group hierarchies into single-level tag lists.; Recursive subgroup relationships were not strictly enforced.; LAM-GROUP-001: Groups preserve stable parent-group nesting and cycle-safe tree traversal in the derived index; the serialized key name is selected during target-schema mapping.; Mapped group-nesting and cycle-rejection tests.,CAN-FAIL-15,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-16,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-16; Throwing unhandled write exceptions or claiming edits reached a read-only drive.; Lacked a provisional-authority rule for read-only external storage.; LAM-EDGE-05: Activate Detached Index Mode; persist versioned Pending Overlays in OS application data; reconcile only after identity/version/conflict checks.; Mapped read-only overlay and reconciliation test.,CAN-FAIL-16,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-17,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-17; Splitting continuous midnight-spanning celebrations into two separate event folders.; Date-based naming assumed midnight cutoff without user event authority.; LAM-EDGE-06: Midnight or gap heuristics may suggest a split but never execute it; the approved event start date and user decision control unity.; Mapped midnight unity and suggestion-only test.,CAN-FAIL-17,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-18,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-18; Re-suggesting an equivalent rejected candidate because of score drift or a routine rerun.; Rejection identity and scope were underspecified.; LAM-INV-AI-02: Persist task/candidate/model/source/configuration provenance and suppression scope. Equivalent automatic reruns respect the decision. An explicit user reopen/reanalysis request or a material source, model/version, relevant-configuration, candidate-identity, or evidence change may create a new Review candidate while preserving the prior decision.; Mapped rejection-persistence, controlled-reconsideration, provenance-history, and score-drift tests.",CAN-FAIL-18,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-19,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-19; Checking off requirement TODOs after running only syntax/type checks.; Definition of complete lacked applicable-gate proof.; Gate 8 (Tracker Proof Linkage): [x] requires exact changed symbols, commit/worktree reference, outputs for every applicable gate, and reasoned N/A entries for non-applicable gates.; Verified tracker-proof validation defined during Phase 1.",CAN-FAIL-19,VERIFICATION_GATE,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-20,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-20; Leaving partial file moves or corrupted sidecars when the app crashes/disconnects during a batch transfer.; Transaction preparation and durable recovery authority were not enforced.; LAM-TRANSACTION-001: Before mutation, fsync a transparent PREPARED coordinator manifest in OS application data plus mirrors on affected writable roots; reconcile by transaction UUID; verify before commit/source removal.; Mapped failure-injection, disconnect, SQLite-loss, and restart-recovery test.",CAN-FAIL-20,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-21,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-21; Hardcoding Windows C:\ or macOS /Users/ paths in filesystem utilities.; Cross-platform path resolution was not tested against simulated roots.; Gate 4: Path utilities must use OS-native path APIs and pass Windows/macOS/Linux root, permission, and separator cases.; Mapped cross-platform path/permission test matrix.",CAN-FAIL-21,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-22,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-22; Inventing cloud backup, S3 sync, or multi-user login screens to make the app feature-rich.; Scope limits were not enforced against creative expansion.; Scope Drift Prohibition: Zero cloud, remote sync, multi-user accounts, or server listening sockets are permitted. Local desktop only.; Linter & architectural dependency review.",CAN-FAIL-22,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-23,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-23; Asking the user in chat output to write Rust code or complete UI component TODOs.; Autonomous execution rules did not ban homework requests.; Autonomous Codex Rules (LAM-INV-COMP-01): Model must fully implement and verify every requirement autonomously without prompting user for code.; Execution monitoring & transcript audit.,CAN-FAIL-23,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-24,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-24; Guessing file paths or inventing simplified schemas when encountering ambiguity.; Lacked strict fallback protocols for underspecified items.; Anti-Guessing Guardrail: If an item is ambiguous, model must halt on that item, log in BLOCKED_OR_UNKNOWN.md, and continue independent tasks.; Tracker audit & execution control verification.",CAN-FAIL-24,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-25,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-25; Reintroducing a closed one-category-per-person enum or guessing composition from relationship labels.; Detailed edges, certainty, and view projection were conflated.; LAM-REL-001: People may have multiple simultaneous/historical built-in and custom relationship edges. Certainty is orthogonal. Three composition buckets—Family, Friends, Family Friends—derive the nine views through explicit approved projection rules; Spouse contributes to Family and Classmate does not automatically mean Friend.; Mapped multi-edge, certainty, history, custom-type, projection, and nine-view tests.",CAN-FAIL-25,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-26,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-26; Modifying physical media files when applying non-destructive crop, rotate, or color edits.; Non-destructive editing rules didn't explicitly forbid container mutation.; LAM-INV-ASSET-01: Normal edits store instructions in .asset.json and mirror compatible fields to XMP; export/derivative creation never silently overwrites the primary media.; Mapped primary-immutability and derivative-UUID tests.",CAN-FAIL-26,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-27,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-27; Creating a 4th Master Plan file or placing Lamha planning notes inside Codebase/.; Workspace boundary rules were not enforced.; Directory Separation Invariant: Codebase/ is for repository/runtime artifacts; Lamha planning/mapping resides in Graphify/; exactly three authoritative Master Plan files exist.; Mapped workspace-boundary structural validation.,CAN-FAIL-27,VERIFICATION_GATE,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-28,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-28; Silently resolving metadata conflicts between EXIF, JSON, XMP, overlays, or event/person/group records.; Directional authority was not treated as domain-scoped.; Directional Source-of-Truth Matrix: Apply File 1 Section 1.3; external mirror changes become Review candidates and never silently overwrite JSON authority.; Mapped metadata-conflict and overlay-conflict tests.",CAN-FAIL-28,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-29,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-29; Using the legacy single aiChecked boolean instead of tracking per-task model versions and hashes.; Lacked schema enforcement for AI processing invalidation tracking.; LAM-INV-AI-04: AI task state represents the seven required concepts and canonical state semantics in File 1 Section 22.3; serialized key spellings are selected by the Phase 1 target-schema map.; Mapped schema/terminology validation and invalidation tests.,CAN-FAIL-29,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-30,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-30; Materializing Mind Map draft nodes directly to media folders without user confirmation.; Saved draft persistence and physical execution were conflated.; Mind Map State Machine: Unsaved working state may use SQLite; saved drafts persist to map JSON; neither mutates media folders until explicit simulation, validation, confirmation, and durable transaction.; Mapped draft-persistence and sandbox-immutability tests.",CAN-FAIL-30,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-31,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-31; Permanently deleting files immediately when a user moves them to Trash.; Trash recovery and placement were inconsistent.; LAM-TRASH-001: Trash stores the complete bundle under root-scoped .app-data/trash/ when possible; a cross-drive fallback is reviewed and verified; permanent deletion requires an explicit empty/permanent-delete action.; Mapped Trash staging, restore, and cross-drive test.",CAN-FAIL-31,ACCEPTANCE_CRITERION,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
FAIL-32,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-32; Stopping implementation after a phase without a genuine blocker or user stop instruction.; Sequential workflow did not define transition evidence.; Autonomous Codex Workflow: When Phase N satisfies its phase gate plus every applicable verification gate and proof is recorded, proceed to Phase N+1.; Completion tracker transition audit.",CAN-FAIL-32,VERIFICATION_GATE,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-001,01-EVERYTHING-WE-ARE-KEEPING.md,1.1 Canonical Glossary of Core Entities & Managed Capabilities,"Local AI Worker (LAM-AI-001): A bundled local child process executing machine-learning inference. The desktop application launches and supervises it; it exposes no HTTP, WebSocket, TCP, or UDP listener, uploads no media or private metadata, requires no cloud service, and remains unavailable to unrelated external clients. Phase 1 selects the non-network local IPC mechanism after mapping the existing transport, lifecycle, streaming, cancellation, cross-platform, packaging, and security constraints. Permitted candidates include standard input/output, named pipes, Unix-domain sockets, Tauri sidecar communication, or another validated non-network mechanism.",CAN-LAM-AI-001,IMPLEMENTATION_CONSTRAINT,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-002,01-EVERYTHING-WE-ARE-KEEPING.md,Reading contract,"A named implementation, command, table, path, model, or library is a target constraint only when this file explicitly calls it canonical. Otherwise Graphify must verify the real repository before assigning an exact implementation.",CAN-LAM-AI-002,VERIFICATION_GATE,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
LAM-AI-003,01-EVERYTHING-WE-ARE-KEEPING.md,1. Final Product Identity,"Current Architecture (To Be Removed): Immich-derived client-server model relying on standalone REST/WebSocket backend processes, PostgreSQL databases, Redis job queues, Docker/container deployment, multi-user account authentication, and remote network access.",CAN-LAM-AI-003,INFORMATIONAL,"Every source row is retained here even when it becomes a criterion, gate, note, duplicate, or split source container."
