work_package_id,prerequisite_work_package_id,dependency_type,technical_rationale,evidence,review_status,reviewer_type,review_revision
WP-I0-002,WP-I0-001,REQUIRES_PROVENANCE,"Git-state inspection uses the resolved repository identity and read-only boundary established by the provenance baseline.","I0 provenance and Git-state package boundaries",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I0-003,WP-I0-001,REQUIRES_PROVENANCE,"The repository hash manifest requires the resolved roots and exclusion boundary from the provenance baseline.","I0 integrity baseline",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I0-004,WP-I0-001,REQUIRES_PROVENANCE,"Manifest conflict analysis requires the existing-file inventory and repository identity before comparing declarations.","I0 manifest investigation",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I0-005,WP-I0-004,REQUIRES_DECISION,"Toolchain inventory must interpret the reviewed manifest and lockfile conflicts rather than assume a toolchain.","Toolchain and mixed-version packages",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I0-008,WP-I0-001,REQUIRES_PROVENANCE,"Missing-fixture classification requires the complete existing-file inventory to distinguish absence from an excluded path.","I0 fixture classification",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I0-009,WP-I0-001,REQUIRES_PROVENANCE,"Frontend coupling inventory requires the resolved read-only repository corpus and exact current paths.","I0 frontend inventory",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I0-010,WP-I0-001,REQUIRES_PROVENANCE,"Outbound and commercial integration inventory requires the complete resolved repository corpus.","I0 outbound inventory",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I0-011,WP-I0-001,REQUIRES_PROVENANCE,"Active-plan authority adoption depends on the proven read/write boundary and repository identity.","I0 plan authority",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I1-001,WP-I0-001,REQUIRES_PROVENANCE,"Brand inventory must inspect the proven existing corpus before any visible or package identity changes.","Brand inventory scope",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I1-002,WP-I1-001,REQUIRES_DECISION,"Visible rebranding requires the reviewed brand and identity inventory.","Brand decision boundary",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I1-003,WP-I1-001,REQUIRES_DECISION,"Package and bundle identity must use the same reviewed canonical brand identity.","Package identity decision",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I1-004,WP-I1-001,REQUIRES_DECISION,"Brand asset replacement requires the approved asset inventory and canonical identity.","Brand asset inventory",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I1-005,WP-I1-001,REQUIRES_PROVENANCE,"Licence and attribution preservation requires the complete brand and legal-file inventory.","Legal and attribution inventory",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I2-004,WP-I2-001,REQUIRES_COMPONENT,"Tauri capabilities and permissions require a bootstrapped shell and concrete command surface.","Tauri shell architecture",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I2-005,WP-I2-007,REQUIRES_COMMAND_CONTRACT,"Local settings bootstrap must use the versioned IPC envelope and typed error contract.","IPC envelope and settings commands",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I3-001,WP-I2-007,REQUIRES_COMMAND_CONTRACT,"Authoritative records exposed through the desktop boundary require the stable versioned IPC envelope.","Record envelope and IPC versioning",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I3-007,WP-I3-001,REQUIRES_SCHEMA,"Authoritative schema migrations require the closed record envelope and revision semantics.","Record envelope schema",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I3-010,WP-I3-003,REQUIRES_FILESYSTEM_AUTHORITY,"The operation journal must validate every target against authorized root identity before recording mutation state.","Root authorization and journal contract",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I3-014,WP-I3-010,REQUIRES_TRANSACTION_ENGINE,"Crash recovery replays or rolls back durable operation-journal states by transaction identity.","Operation journal recovery states",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I3-015,WP-I3-001,REQUIRES_SCHEMA,"Revision and concurrency preconditions require stable record identity and monotonic revision fields.","Authoritative record envelope",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I3-016,WP-I3-003,REQUIRES_FILESYSTEM_AUTHORITY,"Settings root and drive registries must store only validated authorized root identities.","Root authorization model",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I4-007,WP-I4-001,REQUIRES_SCANNER,"Content hashes are created from scanner-discovered assets after path authorization and media classification.","Initial scanner asset discovery",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I4-012,WP-I4-010,REQUIRES_DERIVED_INDEX,"The textual index requires stable asset and path index entries as its rebuild source.","Asset/path and search index schemas",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
WP-I5-002,WP-I4-010,REQUIRES_DERIVED_INDEX,"Timeline navigation requires capture-time and stable asset rows from the derived asset index.","Timeline index query",REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal
