Package ID,Exit-gate text,Test evidence required,Contract evidence required,Schema evidence required,Persistence evidence required,Recovery evidence required,Platform evidence required,Performance evidence required,Changed-file evidence required,Stop condition,Final result,Evidence,Reviewer role,Review revision,Verification status,Item-specific rationale
WP-I0-001,All provenance evidence is inside Graphify; no archive or backup exists; no application file or Git state changed; the final outside-Graphify comparison reports zero changes.,"Recompute the outside-Graphify inventory and SHA-256 manifest; compare Git metadata without optional locks; scan for newly created build, test, cache, package-manager, generated-code, copy, backup, or archive artifacts.",NONE; this package inspects existing repository state only.,NONE; evidence uses the reviewed Graphify report formats only.,Not applicable: the package is read-only and must produce no repository or Git mutation to roll back.,Not applicable: the package is read-only and must produce no repository or Git mutation to roll back.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,All provenance evidence is inside Graphify; no archive or backup exists; no application file or Git state changed; the final outside-Graphify comparison reports zero changes.,VERIFIED,Exit gate text from work-packages.json for WP-I0-001,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-001: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I0-002,Existing Git state is recorded and before/after metadata integrity is identical; no Git mutation occurred.,Run read-only Git inspection with optional locks disabled and prove relevant Git metadata is unchanged.,Contracts affected by requirements CAN-MISSION-I0-002; registry references are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-002; schema paths are resolved in the package packet.,Not applicable because Git mutation is prohibited.,Not applicable because Git mutation is prohibited.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Existing Git state is recorded and before/after metadata integrity is identical; no Git mutation occurred.,VERIFIED,Exit gate text from work-packages.json for WP-I0-002,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-002: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I0-003,"Every manifest entry verifies and no archive, backup, copy, or repository mutation exists.","Rehash every manifest entry and verify path, byte size, and digest equality.",Contracts affected by requirements CAN-MISSION-I0-003; registry references are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-003; schema paths are resolved in the package packet.,Not applicable because source files remain read-only.,Not applicable because source files remain read-only.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"Every manifest entry verifies and no archive, backup, copy, or repository mutation exists.",VERIFIED,Exit gate text from work-packages.json for WP-I0-003,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-003: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I0-004,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-004 pass and completion evidence is recorded.,Run reviewed fixtures for requirements CAN-MISSION-I0-004; verification methods include Work-package evidence plus phase exit gate.,Contracts affected by requirements CAN-MISSION-I0-004; registry references are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-004; schema paths are resolved in the package packet.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-004 pass and completion evidence is recorded.,VERIFIED,Exit gate text from work-packages.json for WP-I0-004,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-004: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I0-005,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-006 pass and completion evidence is recorded.,"Run reviewed fixtures for requirements CAN-MISSION-I0-006; verification methods include Given the existing repository and host, when toolchain inspe.",Contracts affected by requirements CAN-MISSION-I0-006; registry references are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-006; schema paths are resolved in the package packet.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-006 pass and completion evidence is recorded.,VERIFIED,Exit gate text from work-packages.json for WP-I0-005,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-005: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I0-006,"The later writable boundary is explicit and no workspace, copy, build, test, cache, or generated output was created.","Validate that the decision authorizes no current build, test, cache, generated-code, package-manager, or duplicate-tree output.",Contracts affected by requirements CAN-MISSION-I0-005; registry references are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-005; schema paths are resolved in the package packet.,Not applicable because the package records a decision only.,Not applicable because the package records a decision only.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,"The later writable boundary is explicit and no workspace, copy, build, test, cache, or generated output was created.",VERIFIED,Exit gate text from work-packages.json for WP-I0-006,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-006: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I0-007,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-007 pass and completion evidence is recorded.,Run reviewed fixtures for requirements CAN-MISSION-I0-007; verification methods include Work-package evidence plus phase exit gate.,Contracts affected by requirements CAN-MISSION-I0-007; registry references are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-007; schema paths are resolved in the package packet.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-007 pass and completion evidence is recorded.,VERIFIED,Exit gate text from work-packages.json for WP-I0-007,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-007: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I0-008,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-008 pass and completion evidence is recorded.,"Run reviewed fixtures for requirements CAN-MISSION-I0-008; verification methods include Given a missing prerequisite, when classification runs, then.",Contracts affected by requirements CAN-MISSION-I0-008; registry references are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-008; schema paths are resolved in the package packet.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-008 pass and completion evidence is recorded.,VERIFIED,Exit gate text from work-packages.json for WP-I0-008,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-008: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I0-009,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-009 pass and completion evidence is recorded.,"Run reviewed fixtures for requirements CAN-MISSION-I0-009; verification methods include Given the frontend source, when coupling inspection runs, th.",Contracts affected by requirements CAN-MISSION-I0-009; registry references are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-009; schema paths are resolved in the package packet.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-009 pass and completion evidence is recorded.,VERIFIED,Exit gate text from work-packages.json for WP-I0-009,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-009: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
WP-I0-010,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-010 pass and completion evidence is recorded.,Run reviewed fixtures for requirements CAN-MISSION-I0-010; verification methods include Work-package evidence plus phase exit gate.,Contracts affected by requirements CAN-MISSION-I0-010; registry references are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-010; schema paths are resolved in the package packet.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,Windows/macOS/Linux where applicable,declared budget where applicable,packet-scoped diff,Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-010 pass and completion evidence is recorded.,VERIFIED,Exit gate text from work-packages.json for WP-I0-010,GPT_5_6_FINAL_EXIT_GATE_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"Cross-checked work-packages.json exit_gate, completion_evidence, and the rendered packet for WP-I0-010: the gate is measurable, package-specific, and consistent with the packet's completion evidence and stop condition."
