Canonical ID,Source text,Final statement,Current capability,Current phase,Corrected capability,Corrected phase,Reason,Evidence,Review status
CAN-LAM-AI-014,OCR,"When Lamha indexes OCR text, it must store the recognized text with asset identity, source region, model version, source revision, and confidence so local search can return traceable results and identify stale or unavailable OCR data.",Local OCR,I10,Local OCR,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[LABEL_ONLY]; section=2.1 Local-first operation; parent=CAN-SECTION-0013,REVIEWED_CONFIRMED
CAN-LAM-AI-017,Detect OCR text,"When OCR text detection runs, Lamha must store recognized text with asset identity, source region, and model provenance, and report failures without mutating authority.",Search and OCR,I10,Search and OCR,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.5 Review before final acceptance; parent=CAN-SECTION-0014,REVIEWED_CONFIRMED
CAN-LAM-AI-018,Find duplicate candidates,"When duplicate candidates are found, Lamha must create reviewable candidates with evidence and stable asset identities and must not remove or merge files before confirmation.",Duplicates,I10,Duplicates,I10,"Final statement creates duplicate candidates from local analysis; capability is Duplicates, not Review Centre.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=2.5 Review before final acceptance; parent=CAN-SECTION-0015,REVIEWED_CORRECTED
CAN-LAM-AI-023,Lamha keeps a complete group model.,"Lamha must keep a complete group model that records active, former, and inactive members with effective-dated membership periods and preserves historical membership after any change.",People and faces,I7,People and faces,I7,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=12. Groups and Subgroups; parent=CAN-SECTION-0016,REVIEWED_CONFIRMED
CAN-LAM-AI-027,AI embeddings; Local cache/index; Rebuildable,AI embeddings and the local cache/index are rebuildable projections; they must be rebuildable from versioned AI records and must never be the only authoritative copy of user knowledge.,Local data authority,I3,Local data authority,I3,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=19. Metadata Storage; parent=CAN-SECTION-0017,REVIEWED_CONFIRMED
CAN-LAM-AI-028,AI status,"When AI status is inspected, Lamha must report the worker state, model identity and version, and task state from local records without mutating them.",Local AI worker,I10,Local AI worker,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=20.6 Inspector capabilities; parent=CAN-SECTION-0018,REVIEWED_CONFIRMED
CAN-LAM-AI-029,AI state,"When a query includes AI state, Lamha must return the matching local assets with source and revision information and report stale or unavailable AI index data.",Search and OCR,I10,Search and OCR,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=21. Search; parent=CAN-SECTION-0019,REVIEWED_CONFIRMED
CAN-LAM-AI-030,OCR text,"When a query filters by OCR text, Lamha must return matching local assets whose OCR records match, with source and revision information.",Search and OCR,I10,Search and OCR,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=21. Search; parent=CAN-SECTION-0019,REVIEWED_CONFIRMED
CAN-LAM-AI-031,AI review queues,"When AI review queues change, Lamha must expose a typed queue state with progress and recovery information and must not report success for a failed or partially committed operation.",Jobs and notifications,I10,Jobs and notifications,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=22. Local AI; parent=CAN-SECTION-0020,REVIEWED_CONFIRMED
CAN-LAM-AI-032,Model identity,"When an AI task is recorded, Lamha must store the model identity with the task record and mark dependent output stale when the model changes.",Local AI worker,I10,Local AI worker,I10,"Confirmed consistent with source text, rewritten statement, capability, phase, and package surface.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=22.3 Processing state; parent=CAN-SECTION-0021,REVIEWED_CONFIRMED
