record_id,original_source_text,previous_statement,final_statement,final_classification,parent_requirement,acceptance_criteria,capability,primary_phase,verification_method,review_rationale,evidence,disposition,reviewer_type,review_revision,review_status
CAN-LAM-GOV-055,Existing command verified now,"When the desktop shell handles Existing command verified now in 0.6 Pre-Commit Linter & Verification CLI Execution Commands, it must use the typed Tauri boundary, expose the result or stable error to the frontend, and reject requests outside the granted capability without side effects.","The planning tracker must record, for each existing command, whether its replacement is verified now; an unverified replacement must remain BLOCKED and must not be treated as implemented.",CONSTRAINT,CAN-SECTION-0181,,Planning and verification governance,,Tracker validation must reject a VERIFIED status without recorded replacement evidence.,Tracker-column label under the command-migration section; it constrains planning evidence rather than describing runtime behavior.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=0.6 Pre-Commit Linter & Verification CLI Execution Commands; parent=CAN-SECTION-0181,RECLASSIFY_CONSTRAINT,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,RECLASSIFIED
CAN-LAM-GOV-057,Platform-specific command,"When the desktop shell handles Platform-specific command in 0.6 Pre-Commit Linter & Verification CLI Execution Commands, it must use the typed Tauri boundary, expose the result or stable error to the frontend, and reject requests outside the granted capability without side effects.",The planning tracker must mark platform-specific commands with the platform surface they were verified on and must not declare them cross-platform until verified on every declared target.,CONSTRAINT,CAN-SECTION-0181,,Planning and verification governance,,Tracker validation must reject a cross-platform claim without per-platform evidence.,Tracker-column label under the command-migration section; it constrains platform evidence.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=0.6 Pre-Commit Linter & Verification CLI Execution Commands; parent=CAN-SECTION-0181,RECLASSIFY_CONSTRAINT,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,RECLASSIFIED
CAN-LAM-GOV-058,Final Phase 16 command,"When the desktop shell handles Final Phase 16 command in 0.6 Pre-Commit Linter & Verification CLI Execution Commands, it must use the typed Tauri boundary, expose the result or stable error to the frontend, and reject requests outside the granted capability without side effects.",The final Lamha plan must not contain a Phase 16 command surface; the implementation plan ends at I15 and any Phase 16 label must be superseded or reassigned to an existing phase.,CONSTRAINT,,,Planning and verification governance,,Plan validation must fail when any command or packet references Phase 16.,Standalone legacy label referencing a phase that no longer exists; reclassified as a planning constraint.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=0.6 Pre-Commit Linter & Verification CLI Execution Commands; parent=none,RECLASSIFY_CONSTRAINT,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,RECLASSIFIED
CAN-LAM-GOV-059,Unavailable command with documented baseline blocker,"When the desktop shell handles Unavailable command with documented baseline blocker in 0.6 Pre-Commit Linter & Verification CLI Execution Commands, it must use the typed Tauri boundary, expose the result or stable error to the frontend, and reject requests outside the granted capability without side effects.",The planning tracker must record unavailable commands with their documented baseline blocker and must keep them BLOCKED until evidence resolves the blocker.,CONSTRAINT,CAN-SECTION-0181,,Planning and verification governance,,Tracker validation must reject a resolved status without blocker-resolution evidence.,Tracker-column label under the command-migration section; constrains blocker evidence.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=0.6 Pre-Commit Linter & Verification CLI Execution Commands; parent=CAN-SECTION-0181,RECLASSIFY_CONSTRAINT,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,RECLASSIFIED
CAN-LAM-FOLDER-003,Internal drives,"When a configured library encounters Internal drives during 1. Final Product Identity, Rust must apply authorized-root and access-mode rules, expose the resulting root or asset state, and leave files unchanged if validation, permission, or I/O checks fail.","When a configured Library Root resides on an internal drive, Lamha must scan and index the drive contents with stable asset identities and report I/O or permission failures as typed errors without changing source bytes.",ACCEPTANCE_CRITERION,CAN-SECTION-0166,"Given an internal-drive Library Root, when the scanner runs, then every readable asset is indexed with a stable identity and any unreadable path returns a typed error while source bytes remain unchanged.",Libraries and storage,I4,Internal-drive scan fixture plus typed-error injection.,Label names an internal-drive scanning obligation; rewrite replaces the generic storage template with an observable scan outcome.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1. Final Product Identity; parent=CAN-SECTION-0166,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-FOLDER-004,External drives,"When a configured library encounters External drives during 1. Final Product Identity, Rust must apply authorized-root and access-mode rules, expose the resulting root or asset state, and leave files unchanged if validation, permission, or I/O checks fail.","When an external drive is registered as a Library Root and connected, Lamha must scan and index it under the same authorized-root rules; disconnection must switch that root to Detached Index Mode and must not lose indexed records or pending overlays.",ACCEPTANCE_CRITERION,CAN-SECTION-0166,"Given a connected external-drive root, when scanning runs, then assets are indexed with authorized-root enforcement; given a disconnect, when I/O resumes, then the root enters Detached Index Mode and prior records and overlays remain available.",External drives and path resilience,I12,External-drive connect/disconnect fixture with record-preservation check.,Label names external-drive handling; rewrite separates connection scanning from detached-state preservation.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1. Final Product Identity; parent=CAN-SECTION-0166,REWRITE_AS_ACCEPTANCE_CRITERION,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-GOV-062,Required source assets,"When the user invokes Required source assets in 1.1 Codebase, the viewer must apply or display the behavior for the selected asset, expose the resulting UI state, and preserve the original media when the operation or format is unavailable.","The asset viewer must load the required source asset (original image, video, or audio file) from its local path and render or play it; when the source is missing or unreadable it must return a typed error and must never substitute a different asset.",FUNCTIONAL_REQUIREMENT,,"Given a viewable asset, when the viewer loads it, then the original source renders from the local path; given a missing or unreadable source, then a typed error is shown and no other asset is substituted.",Asset viewer,I5,Asset-viewer load fixture for present and missing sources.,"Label names the source-asset loading obligation; rewrite names the actor, trigger, observable result, and failure behavior.",Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.1 Codebase; parent=none,REWRITE_AS_REQUIREMENT,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-GOV-063,Required build files,"When Required build files is exercised in 1.1 Codebase, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",Planning evidence must record the exact build files required to reproduce every declared artifact; missing build-file records must be marked REVIEW_REQUIRED and must not be declared reproducible.,CONSTRAINT,,,Planning and verification governance,,Plan validation must reject a reproducible claim without a build-file record.,Standalone build-evidence label; constrains planning completeness rather than runtime behavior.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.1 Codebase; parent=none,RECLASSIFY_CONSTRAINT,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,RECLASSIFIED
CAN-LAM-GOV-065,Required legal files,"When producing 1.1 Codebase evidence, the repository and packaged application must identify Required legal files consistently, retain required attribution, and fail the release gate if any reviewed surface disagrees.","The release bundle must include the required legal files (licence texts, notices, and attribution) and packaging must block release when any required legal file is missing or unresolved.",FUNCTIONAL_REQUIREMENT,,"Given the release component manifest, when compliance validation runs, then every required legal file is present with reviewed evidence or the release gate fails.",Legal and rebranding,I1,I15 release-gate validation against the legal-file manifest.,Label names required legal files; rewrite adds the completeness check and release-blocking failure behavior.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.1 Codebase; parent=none,REWRITE_AS_REQUIREMENT,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
CAN-LAM-ARCH-021,Preserve the original value.,"When Preserve the original value participates in 1.3 Directional Source-of-Truth & Authority Matrix, the authoritative record or transaction must persist its revision and provenance before derived-index publication, and any failed write must leave a recoverable prior state.",A filesystem transaction must preserve the original value of every managed file or record until commit; any failed or interrupted write must leave the prior value recoverable.,FUNCTIONAL_REQUIREMENT,,"Given a managed file, when a transaction writes then fails, then the prior value remains intact and recoverable; only commit may change the authoritative value.",Filesystem transactions and recovery,I3,Transaction failure-injection fixture with pre-commit recovery check.,Label names value preservation; rewrite names the transaction boundary and observable recovery result.,Pass 1 semantic rehabilitation; matched=[EXACT_LEGACY_OUTPUT]; section=1.3 Directional Source-of-Truth & Authority Matrix; parent=none,REWRITE_AS_REQUIREMENT,AI_SEMANTIC_REVIEW_PASS1,2026-08-05-pass1-semantic-rehabilitation,REVIEWED_CORRECTED
