canonical_id,work_package_id,membership_rationale,reviewer_status
CAN-FAIL-01,WP-I4-003,"Explicit failure-control decision: Approved format matrix, typed classification result, immutable originals, and companion linkage.",REVIEWED
CAN-FAIL-02,WP-I0-011,Explicit failure-control decision: Placeholder scan plus symbol-level behavior review.,REVIEWED
CAN-FAIL-03,WP-I2-011,Explicit failure-control decision: Typed frontend command bridge and UI-to-command integration test.,REVIEWED
CAN-FAIL-04,WP-I3-006,"Explicit failure-control decision: Transactional sidecar write, degraded state, and reconciliation.",REVIEWED
CAN-FAIL-05,WP-I6-009,Explicit failure-control decision: Typed materialization plan restricted to approved placement variants.,REVIEWED
CAN-FAIL-06,WP-I7-003,"Explicit failure-control decision: Candidate record, Review Centre decision, and Rust-only authoritative commit.",REVIEWED
CAN-FAIL-07,WP-I10-002,"Explicit failure-control decision: Non-network transport, parent-child lifecycle, listener scan, and outbound denial.",REVIEWED
CAN-FAIL-08,WP-I3-002,Explicit failure-control decision: Write-once originalFilename field with revision validation.,REVIEWED
CAN-FAIL-09,WP-I15-015,"Explicit failure-control decision: Replacement evidence, caller migration, dependency scan, and package gate.",REVIEWED
CAN-FAIL-10,WP-I3-009,"Explicit failure-control decision: Authority registry, versioned records, deterministic rebuild, and comparison.",REVIEWED
CAN-FAIL-11,WP-I6-009,Explicit failure-control decision: Linked-root access mode enforced by every materialization plan.,REVIEWED
CAN-FAIL-12,WP-I8-007,"Explicit failure-control decision: Distinct typed fields, independent provenance, and explicit proposal workflow.",REVIEWED
CAN-FAIL-13,WP-I6-002,Explicit failure-control decision: Distinct typed memberships and independent proposal paths.,REVIEWED
CAN-FAIL-14,WP-I7-008,Explicit failure-control decision: Versioned temporal intervals with non-overlap validation.,REVIEWED
CAN-FAIL-15,WP-I7-007,"Explicit failure-control decision: Typed parent reference, cycle validation, and derived tree rebuild.",REVIEWED
CAN-FAIL-16,WP-I12-005,"Explicit failure-control decision: Detached mode, typed pending overlays, and guarded reconciliation.",REVIEWED
CAN-FAIL-17,WP-I6-008,Explicit failure-control decision: Proposal-only inference and explicit split plan approval.,REVIEWED
CAN-FAIL-18,WP-I10-013,"Explicit failure-control decision: Candidate fingerprint, suppression record, invalidation reasons, and preserved history.",REVIEWED
CAN-FAIL-19,WP-I0-011,Explicit failure-control decision: Traceability ledger with applicable-gate evidence validation.,REVIEWED
CAN-FAIL-20,WP-I3-014,"Explicit failure-control decision: Typed operation plan, prepared journal, staging, verification, rollback, and restart recovery.",REVIEWED
CAN-FAIL-21,WP-I12-008,"Explicit failure-control decision: Typed path adapter, simulated roots, separators, permissions, and escape checks.",REVIEWED
CAN-FAIL-22,WP-I15-014,"Explicit failure-control decision: Outbound inventory, dependency scan, listener scan, and clean offline launch.",REVIEWED
CAN-FAIL-23,WP-I0-011,Explicit failure-control decision: Package completion or typed blocker with evidence.,REVIEWED
CAN-FAIL-24,WP-I0-011,"Explicit failure-control decision: Evidence requirement, blocked registry, and schema/path validation.",REVIEWED
CAN-FAIL-25,WP-I8-006,"Explicit failure-control decision: Multi-edge history schema, orthogonal certainty, and versioned projection rules.",REVIEWED
CAN-FAIL-26,WP-I11-004,"Explicit failure-control decision: Versioned edit recipe, immutable original hash, derivative identity, and explicit export collision policy.",REVIEWED
CAN-FAIL-27,WP-I0-011,Explicit failure-control decision: Guarded output roots and structural inventory comparison.,REVIEWED
CAN-FAIL-28,WP-I11-001,"Explicit failure-control decision: Typed conflict record, source snapshots, authority decision, and reviewed resolution.",REVIEWED
CAN-FAIL-29,WP-I10-007,Explicit failure-control decision: Typed AI task record and targeted invalidation rules.,REVIEWED
CAN-FAIL-30,WP-I9-007,"Explicit failure-control decision: Persistent draft schema, simulation result, confirmed plan, and transaction journal.",REVIEWED
CAN-FAIL-31,WP-I13-007,"Explicit failure-control decision: Trash record, staged move, restore proof, collision handling, and separate permanent-delete authorization.",REVIEWED
CAN-FAIL-32,WP-I0-011,"Explicit failure-control decision: Package exit evidence, dependency readiness, blocker state, and explicit authority.",REVIEWED
CAN-LAM-AI-006,WP-I3-009,Reviewed membership: the requirement is implemented by the bounded derived-index rebuild contract surface in I3.,REVIEWED
CAN-LAM-AI-014,WP-I10-009,Explicit fragment review: Expanded a noun-only source clause into OCR indexing and staleness behavior.,REVIEWED
CAN-LAM-AI-017,WP-I10-009,Reviewed membership: the requirement is implemented by the bounded local ocr surface in I10.,REVIEWED
CAN-LAM-AI-018,WP-I10-011,Reviewed membership: the requirement is implemented by the bounded duplicate and similarity candidates surface in I10.,REVIEWED
CAN-LAM-AI-020,WP-I4-011,Reviewed membership: the requirement is implemented by the bounded filesystem reconciliation surface in I4.,REVIEWED
CAN-LAM-AI-022,WP-I7-001,Reviewed membership: the requirement is implemented by the bounded face detection task slice surface in I7.,REVIEWED
CAN-LAM-AI-023,WP-I7-001,Reviewed membership: the requirement is implemented by the bounded face detection task slice surface in I7.,REVIEWED
CAN-LAM-AI-027,WP-I3-009,Reviewed membership: the requirement is implemented by the bounded derived-index rebuild contract surface in I3.,REVIEWED
CAN-LAM-AI-028,WP-I10-002,Reviewed membership: the requirement is implemented by the bounded private local worker transport surface in I10.,REVIEWED
CAN-LAM-AI-029,WP-I10-010,Reviewed membership: the requirement is implemented by the bounded embeddings and semantic search surface in I10.,REVIEWED
CAN-LAM-AI-030,WP-I10-009,Reviewed membership: the requirement is implemented by the bounded local ocr surface in I10.,REVIEWED
CAN-LAM-AI-031,WP-I10-006,Reviewed membership: the requirement is implemented by the bounded local ai scheduler surface in I10.,REVIEWED
CAN-LAM-AI-032,WP-I10-003,Reviewed membership: the requirement is implemented by the bounded model and component registry surface in I10.,REVIEWED
CAN-LAM-AI-033,WP-I10-004,Reviewed membership: the requirement is implemented by the bounded model checksums and compatibility surface in I10.,REVIEWED
CAN-LAM-AI-035,WP-I10-009,Reviewed membership: the requirement is implemented by the bounded local ocr surface in I10.,REVIEWED
CAN-LAM-AI-039,WP-I10-011,Reviewed membership: the requirement is implemented by the bounded duplicate and similarity candidates surface in I10.,REVIEWED
