Canonical ID,Requirement statement,Candidate package,Final package,Package phase,Requirement phase,Package surface,Requirement obligation,Exact ownership mechanism,Shared contract,Shared schema,Shared implementation location,Shared tests,Alternative package considered,Candidate decision,Final decision,Item-specific rationale,Evidence,Reviewer role,Review revision,Review status
CAN-FAIL-01,"Lamha ingestion must classify every approved media class and must either index supported video, HEIF, RAW, and companion-media bundles or return a typed, user-visible unsupported-format error; silent skipping and original-media overwrite are prohibited.",WP-I4-003,WP-I4-003,I4,I4,Media format classification,"Lamha ingestion must classify every approved media class and must either index supported video, HEIF, RAW, and companion-media bundles or return a typed, user-visible unsupported-format error; silent skipping and original-media overwrite are prohibited.",WP-I4-003 is the architectural owner because its objective — Implement and verify the bounded media format classification surface. — is the surface that must execute the obligation 'Lamha ingestion must classify every approved media class and must either index supported v'; prerequisite packages WP-I4-001 supply the underlying schema/identity/journal it needs.,"Contracts affected by requirements CAN-FAIL-01, CAN-LAM-ASSET-004, CAN-LAM-ASSET-130; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-01, CAN-LAM-ASSET-004, CAN-LAM-ASSET-130; schema paths are resolved in the package packet.",Implementation symbols are created only inside the bounded WP-I4-003 surface during execution.,"Run reviewed fixtures for requirements CAN-FAIL-01, CAN-LAM-ASSET-004, CAN-LAM-ASSET-130; verification methods include Cross-format ingestion and companion-set fixture gate.; Given one approved fixture for each declared media class, wh; Duplicate-ID fixture..",Adjacent phase ownership was rejected because it does not own this bounded surface.,CONFIRMED,CONFIRMED,"WP-I4-003 is the final owner of CAN-FAIL-01 because its bounded surface 'Media format classification' executes the requirement obligation in phase I4. Ownership is implemented through 'WP-I4-003 is the architectural owner because its objective — Implement and verify the bounded media format classification surface. — is the surface that must execute the obligation 'Lamha ingestion must classify every approved media class and must either index supported v'; prerequisite packages WP-I4-001 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-01; requirement-membership.csv:CAN-FAIL-01; work-packages.json:WP-I4-003; reviewed-actionable-requirements-v3.csv:CAN-FAIL-01,GPT_5_6_FINAL_MEMBERSHIP_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED
CAN-FAIL-02,"Completed production paths must contain no stub success, todo macro, empty success return, or hard-coded mock dataset that substitutes for required behavior.",WP-I0-011,WP-I0-011,I0,I0,"Active-plan authority, completion tracker, evidence gates, and planning pass obligations","Completed production paths must contain no stub success, todo macro, empty success return, or hard-coded mock dataset that substitutes for required behavior.","WP-I0-011 is the architectural owner because its objective — Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obliga — is the surface that must execute the obligation 'Completed production paths must contain no stub success, todo macro, empty success return,'; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.",Planning tracker and completion-status contracts,Completion tracker and planning evidence records,Implementation symbols are created only inside the bounded WP-I0-011 surface during execution.,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Adjacent phase ownership was rejected because it does not own this bounded surface.,CONFIRMED,CONFIRMED,"WP-I0-011 is the final owner of CAN-FAIL-02 because its bounded surface 'Active-plan authority, completion tracker, evidence gates, and planning pass obligations' executes the requirement obligation in phase I0. Ownership is implemented through 'WP-I0-011 is the architectural owner because its objective — Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obliga — is the surface that must execute the obligation 'Completed production paths must contain no stub success, todo macro, empty success return,'; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-02; requirement-membership.csv:CAN-FAIL-02; work-packages.json:WP-I0-011; reviewed-actionable-requirements-v3.csv:CAN-FAIL-02,GPT_5_6_FINAL_MEMBERSHIP_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED
CAN-FAIL-03,A completed target screen must obtain mutable or persisted state through its reviewed typed Tauri command and render the returned local data; hard-coded production mock state is prohibited.,WP-I2-011,WP-I2-011,I2,I2,Typed frontend command bridge,A completed target screen must obtain mutable or persisted state through its reviewed typed Tauri command and render the returned local data; hard-coded production mock state is prohibited.,WP-I2-011 is the architectural owner because its objective — Implement and verify the bounded typed frontend command bridge surface. — is the surface that must execute the obligation 'A completed target screen must obtain mutable or persisted state through its reviewed type'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.,Contracts affected by requirements CAN-FAIL-03; registry references are resolved in the package packet.,Schemas affected by requirements CAN-FAIL-03; schema paths are resolved in the package packet.,Implementation symbols are created only inside the bounded WP-I2-011 surface during execution.,Run reviewed fixtures for requirements CAN-FAIL-03; verification methods include Live Tauri IPC wiring gate..,Adjacent phase ownership was rejected because it does not own this bounded surface.,CONFIRMED,CONFIRMED,"WP-I2-011 is the final owner of CAN-FAIL-03 because its bounded surface 'Typed frontend command bridge' executes the requirement obligation in phase I2. Ownership is implemented through 'WP-I2-011 is the architectural owner because its objective — Implement and verify the bounded typed frontend command bridge surface. — is the surface that must execute the obligation 'A completed target screen must obtain mutable or persisted state through its reviewed type'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-03; requirement-membership.csv:CAN-FAIL-03; work-packages.json:WP-I2-011; reviewed-actionable-requirements-v3.csv:CAN-FAIL-03,GPT_5_6_FINAL_MEMBERSHIP_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED
CAN-FAIL-04,"For every writable managed asset whose approved metadata is XMP-compatible, Lamha must write the co-located asset record and XMP mirror or expose a typed degraded state until reconciliation succeeds; silent XMP omission is prohibited.",WP-I3-006,WP-I3-006,I3,I3,Sidecar write protocol and authoritative sidecar separation,"For every writable managed asset whose approved metadata is XMP-compatible, Lamha must write the co-located asset record and XMP mirror or expose a typed degraded state until reconciliation succeeds; silent XMP omission is prohibited.","WP-I3-006 is the architectural owner because its objective — Write co-located asset JSON and XMP mirrors through a schema-valid sidecar write protocol, preserve exact bytes on validation failure, and keep authoritative kn — is the surface that must execute the obligation 'For every writable managed asset whose approved metadata is XMP-compatible, Lamha must wri'; prerequisite packages WP-I3-005 supply the underlying schema/identity/journal it needs.",Sidecar write protocol contracts,Asset and XMP sidecar records,Implementation symbols are created only inside the bounded WP-I3-006 surface during execution.,"Fixture suite covering JSON/XMP writes, schema validation failure preservation, mirror alignment, and index separation.",Adjacent phase ownership was rejected because it does not own this bounded surface.,CONFIRMED,CONFIRMED,"WP-I3-006 is the final owner of CAN-FAIL-04 because its bounded surface 'Sidecar write protocol and authoritative sidecar separation' executes the requirement obligation in phase I3. Ownership is implemented through 'WP-I3-006 is the architectural owner because its objective — Write co-located asset JSON and XMP mirrors through a schema-valid sidecar write protocol, preserve exact bytes on validation failure, and keep authoritative kn — is the surface that must execute the obligation 'For every writable managed asset whose approved metadata is XMP-compatible, Lamha must wri'; prerequisite packages WP-I3-005 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-04; requirement-membership.csv:CAN-FAIL-04; work-packages.json:WP-I3-006; reviewed-actionable-requirements-v3.csv:CAN-FAIL-04,GPT_5_6_FINAL_MEMBERSHIP_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED
CAN-FAIL-05,"Event materialization must create only approved physical placement classes; people, group, album, and tag organization must remain virtual and must not create or duplicate category folders.",WP-I6-009,WP-I6-009,I6,I6,Event filesystem materialization plan,"Event materialization must create only approved physical placement classes; people, group, album, and tag organization must remain virtual and must not create or duplicate category folders.","WP-I6-009 is the architectural owner because its objective — Implement and verify the bounded event filesystem materialization plan surface. — is the surface that must execute the obligation 'Event materialization must create only approved physical placement classes; people, group,'; prerequisite packages WP-I3-011, WP-I6-002 supply the underlying schema/identity/journal it needs.","Contracts affected by requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058...; schema paths are resolved in the package packet.",Implementation symbols are created only inside the bounded WP-I6-009 surface during execution.,"Run reviewed fixtures for requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058, CAN-LAM-FOLDER-007, CAN-LAM-FOLDER-018, CAN-LAM-FOLDER-025, CAN-LAM-FOLDER-038...; verification methods include Zero-category-folder materialization gate.; Linked-folder immobility gate.; Multi-day event fixture with split confirmation.; Planned-move fixture with scope checks..",Adjacent phase ownership was rejected because it does not own this bounded surface.,CONFIRMED,CONFIRMED,"WP-I6-009 is the final owner of CAN-FAIL-05 because its bounded surface 'Event filesystem materialization plan' executes the requirement obligation in phase I6. Ownership is implemented through 'WP-I6-009 is the architectural owner because its objective — Implement and verify the bounded event filesystem materialization plan surface. — is the surface that must execute the obligation 'Event materialization must create only approved physical placement classes; people, group,'; prerequisite packages WP-I3-011, WP-I6-002 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-05; requirement-membership.csv:CAN-FAIL-05; work-packages.json:WP-I6-009; reviewed-actionable-requirements-v3.csv:CAN-FAIL-05,GPT_5_6_FINAL_MEMBERSHIP_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED
CAN-FAIL-06,"Face-cluster analysis may create typed merge candidates, but Lamha must not persist a cluster merge until a user or an explicitly reviewed narrow rule approves it through the Review Centre.",WP-I7-003,WP-I7-003,I7,I7,Face clustering and curation,"Face-cluster analysis may create typed merge candidates, but Lamha must not persist a cluster merge until a user or an explicitly reviewed narrow rule approves it through the Review Centre.","WP-I7-003 is the architectural owner because its objective — Implement and verify the bounded face clustering and curation surface. — is the surface that must execute the obligation 'Face-cluster analysis may create typed merge candidates, but Lamha must not persist a clus'; prerequisite packages WP-I7-002 supply the underlying schema/identity/journal it needs.","Contracts affected by requirements CAN-FAIL-06, CAN-LAM-ARCH-103, CAN-LAM-ARCH-382, CAN-LAM-EDGE-07, CAN-LAM-PERSON-008, CAN-LAM-PERSON-009, CAN-LAM-PERSON-027, CAN-LAM-PERSON-033...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-06, CAN-LAM-ARCH-103, CAN-LAM-ARCH-382, CAN-LAM-EDGE-07, CAN-LAM-PERSON-008, CAN-LAM-PERSON-009, CAN-LAM-PERSON-027, CAN-LAM-PERSON-033...; schema paths are resolved in the package packet.",Implementation symbols are created only inside the bounded WP-I7-003 surface during execution.,"Run reviewed fixtures for requirements CAN-FAIL-06, CAN-LAM-ARCH-103, CAN-LAM-ARCH-382, CAN-LAM-EDGE-07, CAN-LAM-PERSON-008, CAN-LAM-PERSON-009, CAN-LAM-PERSON-027, CAN-LAM-PERSON-033, CAN-LAM-PERSON-034; verification methods include Face-cluster human-review gate.; Cluster-split fixture with assignment and undo verification.; Cluster fixture.; Accidental-merge fixture with snapshot and undo verification.",Adjacent phase ownership was rejected because it does not own this bounded surface.,CONFIRMED,CONFIRMED,"WP-I7-003 is the final owner of CAN-FAIL-06 because its bounded surface 'Face clustering and curation' executes the requirement obligation in phase I7. Ownership is implemented through 'WP-I7-003 is the architectural owner because its objective — Implement and verify the bounded face clustering and curation surface. — is the surface that must execute the obligation 'Face-cluster analysis may create typed merge candidates, but Lamha must not persist a clus'; prerequisite packages WP-I7-002 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-06; requirement-membership.csv:CAN-FAIL-06; work-packages.json:WP-I7-003; reviewed-actionable-requirements-v3.csv:CAN-FAIL-06,GPT_5_6_FINAL_MEMBERSHIP_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED
CAN-FAIL-07,"The AI worker must communicate only through the reviewed private local transport owned by Rust and must not open an HTTP, WebSocket, TCP, UDP, or other listener reachable by unrelated clients.",WP-I10-002,WP-I10-002,I10,I10,Private local worker transport,"The AI worker must communicate only through the reviewed private local transport owned by Rust and must not open an HTTP, WebSocket, TCP, UDP, or other listener reachable by unrelated clients.",WP-I10-002 is the architectural owner because its objective — Implement and verify the bounded private local worker transport surface. — is the surface that must execute the obligation 'The AI worker must communicate only through the reviewed private local transport owned by '; prerequisite packages WP-I10-001 supply the underlying schema/identity/journal it needs.,"Contracts affected by requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B; schema paths are resolved in the package packet.",Implementation symbols are created only inside the bounded WP-I10-002 surface during execution.,"Run reviewed fixtures for requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B; verification methods include Private worker transport and listener-isolation gate.; AI-status fixture with no-mutation assertion.; AI-reuse fixture with gate checks.; Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regressio.",Adjacent phase ownership was rejected because it does not own this bounded surface.,CONFIRMED,CONFIRMED,"WP-I10-002 is the final owner of CAN-FAIL-07 because its bounded surface 'Private local worker transport' executes the requirement obligation in phase I10. Ownership is implemented through 'WP-I10-002 is the architectural owner because its objective — Implement and verify the bounded private local worker transport surface. — is the surface that must execute the obligation 'The AI worker must communicate only through the reviewed private local transport owned by '; prerequisite packages WP-I10-001 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-07; requirement-membership.csv:CAN-FAIL-07; work-packages.json:WP-I10-002; reviewed-actionable-requirements-v3.csv:CAN-FAIL-07,GPT_5_6_FINAL_MEMBERSHIP_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED
CAN-FAIL-08,"At ingestion Lamha must persist the original filename once in the authoritative asset record, and every later rename, move, relink, or restore must preserve that value unchanged.",WP-I3-002,WP-I3-002,I3,I3,Stable asset identity,"At ingestion Lamha must persist the original filename once in the authoritative asset record, and every later rename, move, relink, or restore must preserve that value unchanged.",WP-I3-002 is the architectural owner because its objective — Implement and verify the bounded stable asset identity surface. — is the surface that must execute the obligation 'At ingestion Lamha must persist the original filename once in the authoritative asset reco'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.,"Contracts affected by requirements CAN-FAIL-08, CAN-LAM-AI-045, CAN-LAM-ASSET-042, CAN-LAM-ASSET-094, CAN-LAM-ASSET-100, CAN-LAM-ASSET-197, CAN-LAM-BACKUP-005, CAN-LAM-EDGE-11...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-08, CAN-LAM-AI-045, CAN-LAM-ASSET-042, CAN-LAM-ASSET-094, CAN-LAM-ASSET-100, CAN-LAM-ASSET-197, CAN-LAM-BACKUP-005, CAN-LAM-EDGE-11...; schema paths are resolved in the package packet.",Implementation symbols are created only inside the bounded WP-I3-002 surface during execution.,"Run reviewed fixtures for requirements CAN-FAIL-08, CAN-LAM-AI-045, CAN-LAM-ASSET-042, CAN-LAM-ASSET-094, CAN-LAM-ASSET-100, CAN-LAM-ASSET-197, CAN-LAM-BACKUP-005, CAN-LAM-EDGE-11, CAN-LAM-EDGE-15, CAN-LAM-EVENT-013, CAN-LAM-EVENT-014, CAN-LAM-INV-ASSET-05...; verification methods include Original-filename immutability and restore gate.; Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regressio; Filename-preservation fixture.; Rename fixture with original-name checks..",Adjacent phase ownership was rejected because it does not own this bounded surface.,CONFIRMED,CONFIRMED,"WP-I3-002 is the final owner of CAN-FAIL-08 because its bounded surface 'Stable asset identity' executes the requirement obligation in phase I3. Ownership is implemented through 'WP-I3-002 is the architectural owner because its objective — Implement and verify the bounded stable asset identity surface. — is the surface that must execute the obligation 'At ingestion Lamha must persist the original filename once in the authoritative asset reco'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-08; requirement-membership.csv:CAN-FAIL-08; work-packages.json:WP-I3-002; reviewed-actionable-requirements-v3.csv:CAN-FAIL-08,GPT_5_6_FINAL_MEMBERSHIP_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED
CAN-FAIL-09,"Lamha must not remove a legacy subsystem until every retained caller has migrated, replacement behavior and applicable gates pass, and a dependency rescan proves the subsystem is no longer load-bearing.",WP-I15-015,WP-I15-015,I15,I15,Replacement-verified legacy removal,"Lamha must not remove a legacy subsystem until every retained caller has migrated, replacement behavior and applicable gates pass, and a dependency rescan proves the subsystem is no longer load-bearing.","WP-I15-015 is the architectural owner because its objective — Remove legacy runtime, server, database, queue, container, generated-client, and obsolete workflow paths only after retained callers have verified replacements. — is the surface that must execute the obligation 'Lamha must not remove a legacy subsystem until every retained caller has migrated, replace'; prerequisite packages WP-I15-008, WP-I15-014 supply the underlying schema/identity/journal it needs.",Legacy contracts only after every retained consumer uses a reviewed replacement.,Legacy-only schemas after authoritative migration and rebuild proof.,Implementation symbols are created only inside the bounded WP-I15-015 surface during execution.,"Focused replacement parity, affected regression, clean-package launch, dependency scan, runtime listener scan, and installer inspection.",Adjacent phase ownership was rejected because it does not own this bounded surface.,CONFIRMED,CONFIRMED,"WP-I15-015 is the final owner of CAN-FAIL-09 because its bounded surface 'Replacement-verified legacy removal' executes the requirement obligation in phase I15. Ownership is implemented through 'WP-I15-015 is the architectural owner because its objective — Remove legacy runtime, server, database, queue, container, generated-client, and obsolete workflow paths only after retained callers have verified replacements. — is the surface that must execute the obligation 'Lamha must not remove a legacy subsystem until every retained caller has migrated, replace'; prerequisite packages WP-I15-008, WP-I15-014 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-09; requirement-membership.csv:CAN-FAIL-09; work-packages.json:WP-I15-015; reviewed-actionable-requirements-v3.csv:CAN-FAIL-09,GPT_5_6_FINAL_MEMBERSHIP_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED
CAN-FAIL-10,Lamha must persist approved user knowledge in its declared authoritative records and must be able to rebuild every derived SQLite index without losing those decisions.,WP-I3-009,WP-I3-009,I3,I3,Derived-index rebuild contract,Lamha must persist approved user knowledge in its declared authoritative records and must be able to rebuild every derived SQLite index without losing those decisions.,WP-I3-009 is the architectural owner because its objective — Implement and verify the bounded derived-index rebuild contract surface. — is the surface that must execute the obligation 'Lamha must persist approved user knowledge in its declared authoritative records and must '; prerequisite packages WP-I3-008 supply the underlying schema/identity/journal it needs.,"Contracts affected by requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; schema paths are resolved in the package packet.",Implementation symbols are created only inside the bounded WP-I3-009 surface during execution.,"Run reviewed fixtures for requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032, CAN-LAM-META-068; verification methods include Derived-index rebuild and decision-survival gate.; Given versioned AI authority records and a populated SQLite ; Rebuild fixture must restore embeddings/index from authority; Per-asset XMP fixture..",Adjacent phase ownership was rejected because it does not own this bounded surface.,CONFIRMED,CONFIRMED,"WP-I3-009 is the final owner of CAN-FAIL-10 because its bounded surface 'Derived-index rebuild contract' executes the requirement obligation in phase I3. Ownership is implemented through 'WP-I3-009 is the architectural owner because its objective — Implement and verify the bounded derived-index rebuild contract surface. — is the surface that must execute the obligation 'Lamha must persist approved user knowledge in its declared authoritative records and must '; prerequisite packages WP-I3-008 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-10; requirement-membership.csv:CAN-FAIL-10; work-packages.json:WP-I3-009; reviewed-actionable-requirements-v3.csv:CAN-FAIL-10,GPT_5_6_FINAL_MEMBERSHIP_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED
