canonical_id,original_requirement_ids,parent_requirement_id,requirement_type,title,statement,rationale,source_plan,source_section,source_text,source_locator,code_evidence_references,target_capability,product_invariant_relationships,acceptance_criteria,priority,mandatory_status,implementation_status,verification_method,risk_links,decision_links,normalization_status,duplicate_of,supersession_status,notes,planning_stage,primary_implementation_phase,verification_phases,removal_phase,release_gate,global_invariant,phase_mapping_rationale,legacy_work_package_id,old_primary_phase,phase_mapping_changed,legacy_target_capability,canonical_capability,normalization_reviewer_status,review_notes
CAN-FAIL-01,FAIL-01,CAN-SECTION-0001,PROHIBITION,"Lamha ingestion must classify every approved media class and must either index supported video, ","Lamha ingestion must classify every approved media class and must either index supported video, HEIF, RAW, and companion-media bundles or return a typed, user-visible unsupported-format error; silent skipping and original-media overwrite are prohibited.",Media coverage requires explicit outcomes for every approved class.,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-01; Skipping video, HEIF, supported RAW, or companion-media handling during ingestion.; Narrative mentioned “photos and videos” without a verified format/pairing matrix.; The local media layer MUST decode/preview and extract metadata for File 3 Section 24 formats. Derived previews may transcode through bundled tooling; originals are never silently transcoded/overwritten; Live Photo and RAW+JPEG containers remain linked independent bundles.; Mapped cross-format ingestion/preview and Companion Set tests; exact command recorded in Phase 1.",lines 98-98,EXTRACTED current evidence: Codebase/mobile/lib/models/download/livephotos_medatada.model.dart:L1-L44 (LivePhotosMetadata); Codebase/mobile/packages/ui/lib/src/previews/formatted_text.dart:L1-L50 (previews/formatted_text.dart); Codebase/docs/docs/features/supported-formats.md:L1-L45 (supported-formats.md); Codebase/server/src/commands/media-location.command.ts:L1-L1 (media-location.command.ts),Desktop shell,,"Given one approved fixture for each media class, when ingestion runs, then each asset is indexed with its companions intact or returns a typed visible unsupported-format error, and every original hash is unchanged.",P0,MANDATORY,NOT_STARTED,Cross-format ingestion and companion-set fixture gate.,Silent asset loss or unreported format exclusion.,ADR-0001;ADR-0002,NORMALIZED_FAILURE_CONTROL,,ACTIVE,"Original classification=REPLACE; required change=Tauri 2 desktop process, static Svelte client, local commands, permissions, and packaging.",P1,I4,I2;I15,I15,RG-FINAL,false,"Desktop shell or trust-boundary responsibility. The decision used capability, source section, full statement, and final-state classification.",WP-I2-001,1,true,Desktop shell,Media format classification,REVIEWED_CORRECTED,Normalized overloaded audit text into a media-ingestion control.
CAN-FAIL-02,FAIL-02,,VERIFICATION_GATE,"Completed production paths must contain no stub success, todo macro, empty success return, or ha","Completed production paths must contain no stub success, todo macro, empty success return, or hard-coded mock dataset that substitutes for required behavior.",Compilation without behavior is not implementation evidence.,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-02; Writing stub functions (todo!() or empty Ok(())) or mock data arrays to pass compilation.; Lacked explicit prohibition against stubbing and prototyping.; Anti-Prototype Rule (LAM-INV-COMP-02): Zero stubs, TODO macros, or dummy mock JSON arrays are permitted as completed production behaviour.; Mapped placeholder-production scan plus symbol review.",lines 99-99,EXTRACTED current evidence: Codebase/server/test/repositories/metadata.repository.mock.ts:L1-L1 (metadata.repository.mock.ts); Codebase/server/test/repositories/system-metadata.repository.mock.ts:L1-L1 (system-metadata.repository.mock.ts); Codebase/mobile/packages/ui/lib/src/previews/password_input.dart:L1-L18 (previews/password_input.dart); Codebase/server/test/repositories/config.repository.mock.ts:L108-L108 (mockEnvData()),Planning and verification governance,,"Given the changed production symbols, when the placeholder scan and focused behavior tests run, then no stub marker or dummy success remains and each required path produces real state-derived output.",P0,MANDATORY,NOT_STARTED,No-placeholder production behavior gate.,False completion and hidden runtime failure.,ADR-0001;ADR-0002,NORMALIZED_FAILURE_CONTROL,,ACTIVE,"Original classification=KEEP UNCHANGED; required change=Requirement, safety, phase, proof, and autonomous-execution rules maintained under Graphify.",P1,I0,I0;I15,,,false,Planning/governance item; it constrains or verifies implementation but never owns feature implementation.,,1,true,Planning and verification governance,Active-plan authority adoption,REVIEWED_CORRECTED,Added a concrete scan and behavior gate.
CAN-FAIL-03,FAIL-03,CAN-SECTION-0001,PROHIBITION,A completed target screen must obtain mutable or persisted state through its reviewed typed Taur,A completed target screen must obtain mutable or persisted state through its reviewed typed Tauri command and render the returned local data; hard-coded production mock state is prohibited.,UI completion depends on the live local command contract.,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-03; Building Svelte UI screens with hardcoded mock data without wiring Tauri IPC or SQLite.; Allowed marking frontend done separately from backend logic.; Gate 5 (Tauri IPC Wiring): Completed target screens must invoke live mapped Tauri commands and display real local data.; Mapped UI/IPC end-to-end test; exact runner and test path recorded in Phase 1.,lines 100-100,EXTRACTED current evidence: Codebase/web/src/test-data/mocks/UserPageLayout.mock.svelte:L1-L1 (UserPageLayout.mock.svelte); Codebase/server/test/repositories/metadata.repository.mock.ts:L1-L1 (metadata.repository.mock.ts); Codebase/server/test/repositories/system-metadata.repository.mock.ts:L1-L1 (system-metadata.repository.mock.ts); Codebase/web/src/lib/components/TestWrapper.svelte:L1-L1 (TestWrapper.svelte),Desktop shell,,"Given seeded local state, when a user opens and exercises the target screen, then the expected reviewed command is invoked and the visible result reflects returned local data rather than a bundled mock.",P0,MANDATORY,NOT_STARTED,Live Tauri IPC wiring gate.,A visually complete but nonfunctional desktop surface.,ADR-0001;ADR-0002,NORMALIZED_FAILURE_CONTROL,,ACTIVE,"Original classification=REPLACE; required change=Tauri 2 desktop process, static Svelte client, local commands, permissions, and packaging.",P1,I2,I2;I15,I15,RG-FINAL,false,"Desktop shell or trust-boundary responsibility. The decision used capability, source section, full statement, and final-state classification.",WP-I2-001,4,true,Desktop shell,Typed frontend command bridge,REVIEWED_CORRECTED,Created a live-data integration prohibition and criterion.
CAN-FAIL-04,FAIL-04,CAN-SECTION-0002,PROHIBITION,"For every writable managed asset whose approved metadata is XMP-compatible, Lamha must write the","For every writable managed asset whose approved metadata is XMP-compatible, Lamha must write the co-located asset record and XMP mirror or expose a typed degraded state until reconciliation succeeds; silent XMP omission is prohibited.",XMP is a reviewed mirror with visible convergence rules.,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-04; Silently dropping XMP sidecar generation to save disk I/O.; JSON sidecars were emphasized over XMP.; LAM-INV-ASSET-03: Every writable managed asset must converge to co-located .asset.json and .xmp; degraded/read-only states remain visible until repaired/reconciled.; Mapped sidecar coexistence, degraded-state, and reconciliation tests.",lines 101-101,EXTRACTED current evidence: Codebase/web/src/lib/components/sharedlinks-page/covers/__tests__/AssetCover.spec.ts:L1-L1 (AssetCover.spec.ts); Codebase/server/src/schema/migrations/1764698859174-SidecarInAssetFile.ts:L1-L1 (1764698859174-SidecarInAssetFile.ts); Codebase/docs/docs/features/xmp-sidecars.md:L1-L68 (xmp-sidecars.md); Codebase/web/src/lib/components/AssetViewerEvents.svelte:L1-L1 (lib/components/AssetViewerEvents.svelte),Metadata,,"Given a writable managed asset with XMP-compatible metadata, when the sidecar transaction commits, then both sidecars exist with the expected revision or a visible degraded state identifies the failed mirror and retry path.",P0,MANDATORY,NOT_STARTED,Sidecar coexistence and reconciliation gate.,Metadata divergence and invisible sidecar loss.,ADR-0001;ADR-0002,NORMALIZED_FAILURE_CONTROL,,ACTIVE,"Original classification=REPLACE; required change=Metadata inspection, authority, EXIF/XMP handling, privacy, and reversible mutation.",P1,I3,I10;I15,I15,RG-FINAL,false,"Local AI/search responsibility. The decision used capability, source section, full statement, and final-state classification.",WP-I10-005,4,true,Metadata,Sidecar write protocol,REVIEWED_CORRECTED,Added transactional convergence and failure visibility.
CAN-FAIL-05,FAIL-05,CAN-SECTION-0003,PROHIBITION,"Event materialization must create only approved physical placement classes; people, group, album","Event materialization must create only approved physical placement classes; people, group, album, and tag organization must remain virtual and must not create or duplicate category folders.","Category views are projections, not filesystem authority.",02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-05; Creating physical directories on disk for People, Groups, Albums, or Tags.; Lacked explicit distinction between physical placement classes and virtual views.; Category folders are forbidden. Valid physical classes are dated or unknown-date normalized Event Folders, Manage Later, Linked Folders, and explicit system-controlled backup/Trash/staging/cache/overlay/export locations.; Mapped zero-category-copy safety test.",lines 102-102,EXTRACTED current evidence: Codebase/web/src/routes/(user)/people/manage/ManagePeopleVisibility.test-wrapper.svelte:L1-L1 (ManagePeopleVisibility.test-wrapper.svelte); Codebase/mobile/lib/domain/services/sync_linked_album.service.dart:L1-L124 (manageLinkedAlbums); Codebase/web/src/lib/managers/event-manager.svelte.ts:L1-L1 (event-manager.svelte.ts); Codebase/web/src/lib/utils/base-event-manager.svelte.ts:L1-L1 (base-event-manager.svelte.ts),Events and organization,,"Given assets assigned to people, groups, albums, and tags, when organization plans are simulated and committed, then no category directory or duplicate media copy is created and virtual memberships remain queryable.",P0,MANDATORY,NOT_STARTED,Zero-category-folder materialization gate.,Duplicate media and divergent physical organization.,ADR-0001;ADR-0002,NORMALIZED_FAILURE_CONTROL,,ACTIVE,"Original classification=REPLACE; required change=Manage Later, event folders, merge/link/split, normalized naming, and reversible organization.",P1,I6,I6;I15,I15,RG-FINAL,false,"Event organization responsibility. The decision used capability, source section, full statement, and final-state classification.",WP-I6-011,13,true,Events and organization,Event filesystem materialization plan,REVIEWED_CORRECTED,Defined approved physical classes and a zero-copy gate.
CAN-FAIL-06,FAIL-06,CAN-SECTION-0004,PROHIBITION,"Face-cluster analysis may create typed merge candidates, but Lamha must not persist a cluster me","Face-cluster analysis may create typed merge candidates, but Lamha must not persist a cluster merge until a user or an explicitly reviewed narrow rule approves it through the Review Centre.",Consequential identity changes require reviewed authority.,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-06; Automatically merging face clusters without user review in Review Centre.; AI section didn't specify human-in-the-loop gating for cluster merges.; LAM-INV-AI-01: Workers return typed results to Rust; consequential candidates enter Review; only the Rust core may persist approved JSON after user action/approved narrow rule.; Mapped AI zero-authority and cluster-review tests.,lines 103-103,EXTRACTED current evidence: Codebase/packages/plugin-core/package.json:L1-L1 (plugin-core/package.json); Codebase/packages/plugin-core/manifest.json:L1-L1 (plugin-core/manifest.json); Codebase/packages/plugin-core/tsconfig.json:L1-L1 (plugin-core/tsconfig.json); Codebase/docs/docs/guides/better-facial-clusters.md:L1-L72 (better-facial-clusters.md),Local AI worker,,"Given two candidate face clusters, when the model proposes a merge, then identities remain separate until approval and only the approved Rust command persists the merge with provenance.",P0,MANDATORY,NOT_STARTED,Face-cluster human-review gate.,Irreversible identity corruption from model error.,ADR-0001;ADR-0002,NORMALIZED_FAILURE_CONTROL,,ACTIVE,"Original classification=REPLACE; required change=Bundled, supervised, local-only inference worker with no network listener or unrelated-client access.",P1,I7,I10;I15,I15,RG-FINAL,false,"Local AI/search responsibility. The decision used capability, source section, full statement, and final-state classification.",WP-I10-001,7,true,Local AI worker,Face clustering and curation,REVIEWED_CORRECTED,Added proposal-versus-authority behavior.
CAN-FAIL-07,FAIL-07,CAN-SECTION-0002,PROHIBITION,The AI worker must communicate only through the reviewed private local transport owned by Rust a,"The AI worker must communicate only through the reviewed private local transport owned by Rust and must not open an HTTP, WebSocket, TCP, UDP, or other listener reachable by unrelated clients.","The worker is a private child process, not a service.",02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-07; Exposing the local AI worker through HTTP, WebSocket, TCP, UDP, or another listener available to unrelated clients.; “Worker” was underspecified and models default to service processes.; LAM-AI-001: Svelte-to-Rust transport is Tauri IPC. Rust-to-worker transport is a non-network local IPC mechanism chosen after Phase 1 maps existing ML transport, lifecycle, streaming, cancellation, Windows/macOS/Linux compatibility, packaging, and security. Standard input/output, named pipes, Unix-domain sockets, Tauri sidecar communication, or another validated local mechanism may be used, but no listening TCP/UDP port or HTTP/WebSocket service is permitted.; Mapped process/listener isolation and IPC lifecycle tests.",lines 104-104,EXTRACTED current evidence: Codebase/web/src/lib/managers/timeline-manager/internal/websocket-support.svelte.ts:L8-L8 (WebsocketSupport); Codebase/web/src/service-worker/index.ts:L1-L1 (service-worker/index.ts); Codebase/web/src/service-worker/request.ts:L1-L1 (service-worker/request.ts); Codebase/server/src/maintenance/maintenance-worker.service.ts:L1-L1 (maintenance-worker.service.ts),Metadata,,"Given the packaged worker on each supported platform, when Rust starts and exercises it, then requests complete through the private transport and socket inspection finds no listening network endpoint.",P0,MANDATORY,NOT_STARTED,Private worker transport and listener-isolation gate.,"Remote access, data exposure, and undeclared network dependency.",ADR-0001;ADR-0002,NORMALIZED_FAILURE_CONTROL,,ACTIVE,"Original classification=REPLACE; required change=Metadata inspection, authority, EXIF/XMP handling, privacy, and reversible mutation.",P1,I10,I10;I15,I15,RG-FINAL,false,"Local AI/search responsibility. The decision used capability, source section, full statement, and final-state classification.",WP-I10-004,15,true,Metadata,Private local worker transport,REVIEWED_CORRECTED,"Specified transport, ownership, and observable listener absence."
CAN-FAIL-08,FAIL-08,CAN-SECTION-0002,PROHIBITION,"At ingestion Lamha must persist the original filename once in the authoritative asset record, an","At ingestion Lamha must persist the original filename once in the authoritative asset record, and every later rename, move, relink, or restore must preserve that value unchanged.",Original name is immutable provenance.,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-08; Overwriting original filename when renaming or moving assets into Event folders.; Filename preservation rule was not marked immutable.; LAM-INV-ASSET-05: Original filename at ingestion must be permanently saved in .asset.json under the Phase 1-mapped schema field and never overwritten.; Mapped original-filename immutability and restore test.,lines 105-105,EXTRACTED current evidence: Codebase/server/src/schema/migrations/1754389095885-ResetAlbumAssetSync.ts:L1-L1 (1754389095885-ResetAlbumAssetSync.ts); Codebase/server/src/schema/migrations/1777897107000-PartnerAssetSyncReset.ts:L1-L1 (1777897107000-PartnerAssetSyncReset.ts); Codebase/server/src/schema/migrations/1773956345315-DuplicateSharedLinkAssets.ts:L1-L1 (1773956345315-DuplicateSharedLinkAssets.ts); Codebase/server/src/dtos/asset.dto.ts:L51-L51 (UpdateAssetSchema),Metadata,,"Given an ingested asset, when it is renamed, moved, relinked, and restored, then the current path changes as expected while originalFilename and its initial provenance remain byte-for-byte unchanged.",P0,MANDATORY,NOT_STARTED,Original-filename immutability and restore gate.,Loss of recovery and provenance information.,ADR-0001;ADR-0002,NORMALIZED_FAILURE_CONTROL,,ACTIVE,"Original classification=REPLACE; required change=Metadata inspection, authority, EXIF/XMP handling, privacy, and reversible mutation.",P1,I3,I6;I15,I15,RG-FINAL,false,"Event organization responsibility. The decision used capability, source section, full statement, and final-state classification.",WP-I6-005,6,false,Metadata,Stable asset identity,REVIEWED_CORRECTED,Added lifecycle triggers and an immutable observable.
CAN-FAIL-09,FAIL-09,,VERIFICATION_GATE,"Lamha must not remove a legacy subsystem until every retained caller has migrated, replacement b","Lamha must not remove a legacy subsystem until every retained caller has migrated, replacement behavior and applicable gates pass, and a dependency rescan proves the subsystem is no longer load-bearing.",Removal is safe only after replacement verification.,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),"FAIL-09; Deleting Docker, PostgreSQL, Redis, or server code before exact callers and retained behaviour are mapped and replaced.; Deletion list did not specify objective lifecycle prerequisites.; Replacement-Before-Removal Guardrail: Phase 0/1 perform no source deletion. Later removal occurs only in the assigned safe phase after mapping, replacement, caller migration, focused/regression/build/desktop-launch proof, Graphify/Ponytail agreement, baseline/rollback evidence, and recorded removal proof.; Assigned-phase dependency scan, affected gates, and final Phase 16 repository-wide rescan.",lines 106-106,EXTRACTED current evidence: Codebase/server/src/schema/migrations/1753800911775-ProfileImageCheckpointRemoval.ts:L1-L1 (1753800911775-ProfileImageCheckpointRemoval.ts); Codebase/server/src/repositories/server-info.repository.ts:L25-L25 (ServerBuildVersions); Codebase/server/test/factories/builder.factory.ts:L1-L1 (builder.factory.ts); Codebase/server/tsconfig.build.json:L1-L1 (tsconfig.build.json),Planning and verification governance,,"Given a legacy subsystem proposed for removal, when its removal package runs, then every retained caller points to a verified replacement and the final dependency/runtime scan reports zero load-bearing references before deletion begins.",P0,MANDATORY,NOT_STARTED,Replacement-before-removal gate.,Broken retained behavior and unrecoverable premature deletion.,ADR-0001;ADR-0002,NORMALIZED_FAILURE_CONTROL,,ACTIVE,"Original classification=KEEP UNCHANGED; required change=Requirement, safety, phase, proof, and autonomous-execution rules maintained under Graphify.",P1,I15,I0;I15,,,false,Planning/governance item; it constrains or verifies implementation but never owns feature implementation.,,1,true,Planning and verification governance,Legacy replacement verification and removal,REVIEWED_CORRECTED,Separated historical risk from the removal precondition.
CAN-FAIL-10,FAIL-10,CAN-SECTION-0005,PROHIBITION,Lamha must persist approved user knowledge in its declared authoritative records and must be abl,Lamha must persist approved user knowledge in its declared authoritative records and must be able to rebuild every derived SQLite index without losing those decisions.,SQLite is a derived or transactional store according to the authority registry.,02-EVERYTHING-WE-ARE-DELETING.md,1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`),FAIL-10; Treating SQLite as authoritative and failing to persist saved user decisions transparently.; SQLite speed was highlighted without defining durable JSON authority.; LAM-INV-META-03: Delete SQLite/rebuildable caches and rebuild from filesystem state plus authoritative asset/event/person/group/relationship/map/tag/album/operation JSON; saved decisions must survive.; Mapped destructive-cache-loss rebuild test on a test copy.,lines 107-107,EXTRACTED current evidence: Codebase/server/src/schema/migrations/1750780093818-AddAlbumToAssetDeleteTrigger.ts:L1-L1 (1750780093818-AddAlbumToAssetDeleteTrigger.ts); Codebase/mobile/openapi/lib/model/sync_album_to_asset_delete_v1.dart:L1-L109 (sync_album_to_asset_delete_v1.dart); Codebase/server/test/medium/specs/sync/sync-album-asset.spec.ts:L1-L1 (sync-album-asset.spec.ts); Codebase/server/test/medium/specs/sync/sync-album-to-asset.spec.ts:L1-L1 (sync-album-to-asset.spec.ts),Local data authority,,"Given authoritative records containing approved decisions and a removed derived database, when rebuild runs, then the reconstructed indexes expose the same decisions and no authoritative value is missing or changed.",P0,MANDATORY,NOT_STARTED,Derived-index rebuild and decision-survival gate.,Permanent loss of approved user knowledge.,ADR-0001;ADR-0002,NORMALIZED_FAILURE_CONTROL,,ACTIVE,"Original classification=REPLACE; required change=Versioned sidecars, embedded SQLite derived index, operation history, overlays, and rebuild.",P1,I3,I3;I15,I15,RG-FINAL,false,"Authoritative-data or transaction-foundation responsibility. The decision used capability, source section, full statement, and final-state classification.",WP-I3-008,7,true,Local data authority,Derived-index rebuild contract,REVIEWED_CORRECTED,Added rebuild source and decision-equivalence verification.
