legacy_work_package_id,legacy_name,decision,replacement_work_package_id,review_reason,reviewer_status
WP-I0-001,Immutable archive baseline,KEEP_OR_REASSIGN,WP-I0-001,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I0-002,Git baseline and rollback tag,KEEP_OR_REASSIGN,WP-I0-002,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I0-003,Mixed-version manifest investigation,KEEP_OR_REASSIGN,WP-I0-004,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I0-004,Toolchain inventory,KEEP_OR_REASSIGN,WP-I0-005,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I0-005,Disposable build workspace,KEEP_OR_REASSIGN,WP-I0-006,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I0-006,Frontend coupling inventory,KEEP_OR_REASSIGN,WP-I0-009,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I0-007,Outbound and commercial integration inventory,KEEP_OR_REASSIGN,WP-I0-010,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I1-001,Brand and identity inventory,KEEP_OR_REASSIGN,WP-I1-001,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I1-002,Visible UI rebrand,KEEP_OR_REASSIGN,WP-I1-002,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I1-003,Package and bundle identity,KEEP_OR_REASSIGN,WP-I1-003,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I1-004,Licence and attribution preservation,KEEP_OR_REASSIGN,WP-I1-005,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I1-005,Compatibility aliases and migrations,KEEP_OR_REASSIGN,MULTIPLE_EXPLICIT_PACKAGES,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I1-006,Rebrand consistency proof,KEEP_OR_REASSIGN,MULTIPLE_EXPLICIT_PACKAGES,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I2-001,Tauri shell bootstrap — source-boundary slice 1,MERGE,WP-I2-001,Mechanical source/capacity slice removed; requirements must be reviewed into an architecture-owned package.,REVIEWED
WP-I2-002,Tauri shell bootstrap — source-boundary slice 2,MERGE,WP-I2-001,Mechanical source/capacity slice removed; requirements must be reviewed into an architecture-owned package.,REVIEWED
WP-I2-003,Offline desktop launch,KEEP_OR_REASSIGN,WP-I2-003,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I2-004,Tauri capabilities and permissions,KEEP_OR_REASSIGN,WP-I2-004,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I2-005,Stable IPC errors,KEEP_OR_REASSIGN,WP-I2-008,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I2-006,Authentication and session cutover inventory,KEEP_OR_REASSIGN,MULTIPLE_EXPLICIT_PACKAGES,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I3-001,Authoritative record envelope,KEEP_OR_REASSIGN,WP-I3-001,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I3-002,Stable asset identity,KEEP_OR_REASSIGN,WP-I3-002,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I3-003,Root authorization model,KEEP_OR_REASSIGN,WP-I3-003,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I3-004,Path normalization and escape protection,KEEP_OR_REASSIGN,WP-I3-004,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
WP-I3-005,Sidecar read protocol,KEEP_OR_REASSIGN,WP-I3-005,"Title remains a candidate, but every membership and dependency is independently re-reviewed.",REVIEWED
