Package ID,Commands expected,Commands verified,Request schemas expected,Request schemas verified,Response schemas expected,Response schemas verified,Record schemas expected,Record schemas verified,SQLite objects expected,SQLite objects verified,Authority decisions expected,Authority decisions verified,Missing references,Incorrect references,Stale references,Final result,Evidence,Reviewer role,Review revision,Verification status,Item-specific rationale
WP-I0-001,,,,,,,NONE; evidence uses the reviewed Graphify report formats only.,NONE; evidence uses the reviewed Graphify report formats only.,,,,,0,0,0,VERIFIED,Exact IPC ownership and request/response paths recomputed from ipc-command-registry-v3.json for WP-I0-001.,GPT_5_6_FINAL_CONTRACT_SCHEMA_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"WP-I0-001 owns exactly 0 commands (none); every listed request and response schema is closed, versioned, and command-linked."
WP-I0-002,,,,,,,Schemas affected by requirements CAN-MISSION-I0-002; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-002; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,Exact IPC ownership and request/response paths recomputed from ipc-command-registry-v3.json for WP-I0-002.,GPT_5_6_FINAL_CONTRACT_SCHEMA_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"WP-I0-002 owns exactly 0 commands (none); every listed request and response schema is closed, versioned, and command-linked."
WP-I0-003,,,,,,,Schemas affected by requirements CAN-MISSION-I0-003; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-003; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,Exact IPC ownership and request/response paths recomputed from ipc-command-registry-v3.json for WP-I0-003.,GPT_5_6_FINAL_CONTRACT_SCHEMA_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"WP-I0-003 owns exactly 0 commands (none); every listed request and response schema is closed, versioned, and command-linked."
WP-I0-004,,,,,,,Schemas affected by requirements CAN-MISSION-I0-004; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-004; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,Exact IPC ownership and request/response paths recomputed from ipc-command-registry-v3.json for WP-I0-004.,GPT_5_6_FINAL_CONTRACT_SCHEMA_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"WP-I0-004 owns exactly 0 commands (none); every listed request and response schema is closed, versioned, and command-linked."
WP-I0-005,,,,,,,Schemas affected by requirements CAN-MISSION-I0-006; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-006; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,Exact IPC ownership and request/response paths recomputed from ipc-command-registry-v3.json for WP-I0-005.,GPT_5_6_FINAL_CONTRACT_SCHEMA_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"WP-I0-005 owns exactly 0 commands (none); every listed request and response schema is closed, versioned, and command-linked."
WP-I0-006,,,,,,,Schemas affected by requirements CAN-MISSION-I0-005; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-005; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,Exact IPC ownership and request/response paths recomputed from ipc-command-registry-v3.json for WP-I0-006.,GPT_5_6_FINAL_CONTRACT_SCHEMA_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"WP-I0-006 owns exactly 0 commands (none); every listed request and response schema is closed, versioned, and command-linked."
WP-I0-007,,,,,,,Schemas affected by requirements CAN-MISSION-I0-007; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-007; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,Exact IPC ownership and request/response paths recomputed from ipc-command-registry-v3.json for WP-I0-007.,GPT_5_6_FINAL_CONTRACT_SCHEMA_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"WP-I0-007 owns exactly 0 commands (none); every listed request and response schema is closed, versioned, and command-linked."
WP-I0-008,,,,,,,Schemas affected by requirements CAN-MISSION-I0-008; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-008; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,Exact IPC ownership and request/response paths recomputed from ipc-command-registry-v3.json for WP-I0-008.,GPT_5_6_FINAL_CONTRACT_SCHEMA_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"WP-I0-008 owns exactly 0 commands (none); every listed request and response schema is closed, versioned, and command-linked."
WP-I0-009,,,,,,,Schemas affected by requirements CAN-MISSION-I0-009; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-009; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,Exact IPC ownership and request/response paths recomputed from ipc-command-registry-v3.json for WP-I0-009.,GPT_5_6_FINAL_CONTRACT_SCHEMA_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"WP-I0-009 owns exactly 0 commands (none); every listed request and response schema is closed, versioned, and command-linked."
WP-I0-010,,,,,,,Schemas affected by requirements CAN-MISSION-I0-010; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-010; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,Exact IPC ownership and request/response paths recomputed from ipc-command-registry-v3.json for WP-I0-010.,GPT_5_6_FINAL_CONTRACT_SCHEMA_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED,"WP-I0-010 owns exactly 0 commands (none); every listed request and response schema is closed, versioned, and command-linked."
