record_id,previous_statement,disposition,why_previous_invalid,source_preserved,review_status
CAN-LAM-AI-001,"Implementation must honor this constraint: Local AI Worker (LAM-AI-001): A bundled local child process executing machine-learning inference. The desktop application launches and supervises it; it exposes no HTTP, WebSocket, TCP, or UDP listener, uploads no media or private metadata, requires no cloud service, and remains unavailable to unrelated external clients. Phase 1 selects the non-network local IPC mechanism after mapping the existing transport, lifecycle, streaming, cancellation, cross-platform, packaging, and security constraints. Permitted candidates include standard input/output, named pipes, Unix-domain sockets, Tauri sidecar communication, or another validated non-network mechanism.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 73-73,NOT_APPLICABLE
CAN-LAM-AI-002,"Recorded evidence must demonstrate: A named implementation, command, table, path, model, or library is a target constraint only when this file explicitly calls it canonical. Otherwise Graphify must verify the real repository before assigning an exact implementation.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 20-20,NOT_APPLICABLE
CAN-LAM-AI-004,"Lamha must preserve this invariant: Target Architecture (To Be Implemented): A unified, single-user, local-first desktop application built on a Tauri 2 shell, Svelte/SvelteKit UI, Rust desktop core, SQLite local rebuildable index, bundled local AI worker communicating exclusively via local IPC, and transparent JSON/XMP file sidecars.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 46-46,NOT_APPLICABLE
CAN-LAM-AI-005,"Implementation must honor this constraint: Execution Guardrail: A weaker coding model MUST NEVER implement server REST endpoints in Rust, embed PostgreSQL/Redis in Tauri, or require network ports for core application logic.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 47-47,NOT_APPLICABLE
CAN-LAM-AI-007,"Lamha must preserve this invariant: Candidate Rejection Record: A persistent authoritative decision containing the task concept, candidate identity, model identity/version, evidence, scope, and decision time.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 75-75,NOT_APPLICABLE
CAN-LAM-AI-009,"Lamha must provide Reconsideration is permitted after an explicit user reopen/reanalysis request or a material source, model, configuration, candidate-identity, or evidence change; the prior decision and provenance remain visible and the new candidate enters Review rather than approval.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 75-75,NOT_APPLICABLE
CAN-LAM-AI-010,"Recorded evidence must demonstrate: Invalidation State: A required AI-task concept tracking whether a result is current, stale, or requires re-inference because its source, model, or relevant configuration changed. Phase 1 target-schema mapping selects the exact serialized field and values.",SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 76-76,NOT_APPLICABLE
CAN-LAM-AI-011,Lamha must provide Camera make and model; Embedded EXIF; Asset JSON and XMP; SQLite index; Read from EXIF. Read-only unless explicitly overridden by the user in Inspector.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 133-133,NOT_APPLICABLE
CAN-LAM-AI-012,Lamha must provide Approved user tags; Asset JSON; Compatible XMP keyword field; SQLite tag index; JSON-to-XMP is the normal direction. Externally changed XMP keywords become Review candidates; only user-approved imports update JSON.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 142-142,NOT_APPLICABLE
CAN-LAM-AI-013,Recorded evidence must demonstrate: Successful task completion does not mean a classification is approved. Reviewable candidates follow a separate suggestion lifecycle.,SUPERSEDED_GENERATED_TEMPLATE,"Generated wrapper asserted behavior or proof without a record-specific actor, trigger, observable result, and failure criterion.",01-EVERYTHING-WE-ARE-KEEPING.md / lines 177-177,NOT_APPLICABLE
