work_package_id,prerequisite_work_package_id,dependency_type,technical_rationale,evidence,review_status,reviewer_type,review_revision,reviewer_status,artificial_adjacency
WP-I0-002,WP-I0-001,REQUIRES_PROVENANCE,Git-state inspection uses the resolved repository identity and read-only boundary established by the provenance baseline.,I0 provenance and Git-state package boundaries,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-003,WP-I0-001,REQUIRES_PROVENANCE,The repository hash manifest requires the resolved roots and exclusion boundary from the provenance baseline.,I0 integrity baseline,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-004,WP-I0-001,REQUIRES_PROVENANCE,Manifest conflict analysis requires the existing-file inventory and repository identity before comparing declarations.,I0 manifest investigation,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-005,WP-I0-004,REQUIRES_DECISION,Toolchain inventory must interpret the reviewed manifest and lockfile conflicts rather than assume a toolchain.,Toolchain and mixed-version packages,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-006,WP-I0-001,REQUIRES_PROVENANCE,Build-output isolation rules require the read-only repository provenance and integrity boundary to be recorded first; no repository copy or build is created by either package.,Prior curated dependency source: Build-output isolation rules require the read-only repository provenance and integrity boundary to be recorded first; no repository copy or build is created by either package.,REVIEWED_CORRECTED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I0-007,WP-I0-004,REQUIRES_PLATFORM_PROOF,Build proof requires resolution of manifest and lockfile version conflicts.,Prior curated dependency source: Build proof requires resolution of manifest and lockfile version conflicts.,REVIEWED_CORRECTED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I0-007,WP-I0-005,REQUIRES_RUNTIME,A baseline build requires the repository-declared toolchain inventory.,Prior curated dependency source: A baseline build requires the repository-declared toolchain inventory.,REVIEWED_CORRECTED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I0-008,WP-I0-001,REQUIRES_PROVENANCE,Missing-fixture classification requires the complete existing-file inventory to distinguish absence from an excluded path.,I0 fixture classification,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-009,WP-I0-001,REQUIRES_PROVENANCE,Frontend coupling inventory requires the resolved read-only repository corpus and exact current paths.,I0 frontend inventory,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-010,WP-I0-001,REQUIRES_PROVENANCE,Outbound and commercial integration inventory requires the complete resolved repository corpus.,I0 outbound inventory,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-011,WP-I0-001,REQUIRES_PROVENANCE,Active-plan authority adoption depends on the proven read/write boundary and repository identity.,I0 plan authority,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I1-001,WP-I0-001,REQUIRES_PROVENANCE,Brand inventory must inspect the proven existing corpus before any visible or package identity changes.,Brand inventory scope,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I1-002,WP-I1-001,REQUIRES_DECISION,Visible rebranding requires the reviewed brand and identity inventory.,Brand decision boundary,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I1-003,WP-I1-001,REQUIRES_DECISION,Package and bundle identity must use the same reviewed canonical brand identity.,Package identity decision,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I1-004,WP-I1-001,REQUIRES_DECISION,Brand asset replacement requires the approved asset inventory and canonical identity.,Brand asset inventory,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I1-005,WP-I1-001,REQUIRES_PROVENANCE,Licence and attribution preservation requires the complete brand and legal-file inventory.,Legal and attribution inventory,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-001,WP-I2-007,REQUIRES_SECURITY_BOUNDARY,"Rust owns worker launch, transport, and cancellation.","Prior curated dependency source: Rust owns worker launch, transport, and cancellation.",REVIEWED_CORRECTED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-002,WP-I10-001,REQUIRES_AI_WORKER,Private local transport requires the Rust-owned worker lifecycle and cancellation authority.,AI worker protocol,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-003,WP-I0-005,REQUIRES_COMPONENT_DECISION,Runtime/model feasibility starts from the I0 component inventory.,Prior curated dependency source: Runtime/model feasibility starts from the I0 component inventory.,REVIEWED_CORRECTED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-004,WP-I10-003,REQUIRES_MODEL_REGISTRY,Model checksums and compatibility are properties of versioned model registry entries.,Model registry schema,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-005,WP-I10-003,REQUIRES_MODEL_REGISTRY,Hardware assessment evaluates the runtime requirements declared by model registry entries.,Model registry component requirements,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-006,WP-I10-001,REQUIRES_AI_WORKER,The local scheduler requires a supervised worker lifecycle and typed cancellation.,AI worker lifecycle,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-007,WP-I10-001,REQUIRES_WORKER,Task state is enforced by the owned worker lifecycle.,Prior curated dependency source: Task state is enforced by the owned worker lifecycle.,REVIEWED_CORRECTED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-008,WP-I10-007,REQUIRES_SCHEMA,"Progress, retry, and cancellation require durable per-task queue identity and state.",AI task schema,REVIEWED_CORRECTED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-009,WP-I0-004,REQUIRES_COMPONENT_DECISION,WP-I10-009 consumes the finalized ONNX Runtime decision owned by WP-I0-004.,Pass C component ledger; component ONNX Runtime.,REVIEWED_CONFIRMED,PASS_C_DEPENDENCY_REVIEWER,2026-08-06-pass-c,REVIEWED,false
WP-I10-009,WP-I10-003,REQUIRES_COMPONENT_DECISION,OCR requires an approved model/runtime component.,Prior curated dependency source: OCR requires an approved model/runtime component.,REVIEWED_CORRECTED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-010,WP-I0-004,REQUIRES_COMPONENT_DECISION,WP-I10-010 consumes the finalized ONNX Runtime decision owned by WP-I0-004.,Pass C component ledger; component ONNX Runtime.,REVIEWED_CONFIRMED,PASS_C_DEPENDENCY_REVIEWER,2026-08-06-pass-c,REVIEWED,false
WP-I10-010,WP-I10-001,REQUIRES_WORKER,Semantic search consumes embeddings from the owned local worker.,Prior curated dependency source: Semantic search consumes embeddings from the owned local worker.,REVIEWED_CORRECTED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-010,WP-I10-003,REQUIRES_COMPONENT_DECISION,Embeddings require an approved model/runtime component.,Prior curated dependency source: Embeddings require an approved model/runtime component.,REVIEWED_CORRECTED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
