Candidate package ID,Final package ID,Previous name,Final name,Previous phase,Final phase,Previous objective,Final objective,Bounded architectural surface,Included capability set,Requirement count,Exact included requirement IDs,Explicit exclusions,Existing Codebase paths,New planned files,Exact contracts affected,Exact commands affected,Exact schemas affected,Exact SQLite objects affected,Exact components required,Exact deliverables,Exact tests,Exact failure cases,Rollback/recovery behaviour,Completion evidence,Exit gate,Commit boundary,Candidate decision,Final decision,Split/merge lineage,Item-specific rationale,Architectural evidence,Codebase evidence,Remaining concern,Reviewer role,Review revision,Review status
WP-I0-001,WP-I0-001,Read-only repository provenance and integrity baseline,Read-only repository provenance and integrity baseline,I0,I0,"Inspect the existing repository without mutation and record provenance, file inventory, SHA-256 integrity, available Git state, and toolchain/manifest evidence only inside Graphify.","Inspect the existing repository without mutation and record provenance, file inventory, SHA-256 integrity, available Git state, and toolchain/manifest evidence only inside Graphify.",Read-only repository provenance and integrity evidence,Read-only repository provenance and integrity baseline;Repository proof and feasibility,2,CAN-LAM-GOV-292;CAN-MISSION-I0-001,Archive creation; backup creation; repository copies; application-file writes; Git mutation; builds; tests; caches; generated code; package installation.,Codebase/mobile/openapi/lib/model/asset_edits_create_dto.dart;Codebase/mobile/openapi/lib/model/sync_asset_edit_delete_v1.dart;Codebase/server/src/dtos/editing.dto.ts;Codebase/server/src/schema/migrations/1768336671610-CreateAssetEditTable.ts,,NONE; this package inspects existing repository state only.,,NONE; evidence uses the reviewed Graphify report formats only.,,,"Graphify-only provenance report, existing-file inventory, SHA-256 manifest, read-only Git-state report when available, and toolchain/manifest analysis.","Recompute the outside-Graphify inventory and SHA-256 manifest; compare Git metadata without optional locks; scan for newly created build, test, cache, package-manager, generated-code, copy, backup, or archive artifacts.","Unreadable files, unstable files during hashing, unavailable Git metadata, reparse-point escape, destination escape, or any observed repository mutation must block the package.",Not applicable: the package is read-only and must produce no repository or Git mutation to roll back.,"Graphify-only reports proving zero outside-Graphify additions, removals, modifications, or renames and explicitly confirming no archive, backup, copy, build, test, cache, installation, or Git mutation.",All provenance evidence is inside Graphify; no archive or backup exists; no application file or Git state changed; the final outside-Graphify comparison reports zero changes.,Planning evidence may change only inside Graphify; application and Git state remain read-only.,KEEP,KEEP,,WP-I0-001 currently holds 2 requirements across 2 capabilities; generic fields present: none; Codebase map status: EXISTING_VERIFIED.,"The package is a read-only foundation: repository identity, existing file integrity, existing Git state, and declared toolchain evidence are observed together before any implementation package may write application state.",EXISTING_VERIFIED,None identified.,PASS_B_PACKAGE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-002,WP-I0-002,Read-only Git-state inspection,Read-only Git-state inspection,I0,I0,"Inspect existing Git state without creating or modifying commits, branches, tags, stashes, worktrees, the index, or configuration.","Inspect existing Git state without creating or modifying commits, branches, tags, stashes, worktrees, the index, or configuration.",Existing Git-state provenance inspection,Repository proof and feasibility,1,CAN-MISSION-I0-002,Excludes behaviors outside Existing Git-state provenance inspection for requirements CAN-MISSION-I0-002; other package-owned capabilities and later-phase release/cleanup work.,,,Contracts affected by requirements CAN-MISSION-I0-002; registry references are resolved in the package packet.,,Schemas affected by requirements CAN-MISSION-I0-002; schema paths are resolved in the package packet.,,,Graphify-only report of existing Git state and before/after metadata integrity evidence.,Run read-only Git inspection with optional locks disabled and prove relevant Git metadata is unchanged.,Failures must preserve authoritative state for requirements CAN-MISSION-I0-002; invalid input returns typed errors and no partial commit.,Not applicable because Git mutation is prohibited.,"Changed-file list, focused test commands/results, contract/schema diffs, and recovery evidence when applicable.",Existing Git state is recorded and before/after metadata integrity is identical; no Git mutation occurred.,One bounded commit containing only this package and its directly required contract/schema/test changes.,KEEP,KEEP,,WP-I0-002 currently holds 1 requirements across 1 capabilities; generic fields present: none; Codebase map status: NOT_APPLICABLE.,The package records existing Git provenance while prohibiting every Git mutation.,NOT_APPLICABLE,None identified.,PASS_B_PACKAGE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-003,WP-I0-003,Existing repository SHA-256 manifest,Existing repository SHA-256 manifest,I0,I0,"Calculate and verify path, size, and SHA-256 evidence for existing repository files without creating an archive, backup, or duplicate tree.","Calculate and verify path, size, and SHA-256 evidence for existing repository files without creating an archive, backup, or duplicate tree.",Existing-file integrity manifest,Repository proof and feasibility,1,CAN-MISSION-I0-003,Excludes behaviors outside Existing-file integrity manifest for requirements CAN-MISSION-I0-003; other package-owned capabilities and later-phase release/cleanup work.,,,Contracts affected by requirements CAN-MISSION-I0-003; registry references are resolved in the package packet.,,Schemas affected by requirements CAN-MISSION-I0-003; schema paths are resolved in the package packet.,,,Graphify-only existing-file SHA-256 manifest and verification report.,"Rehash every manifest entry and verify path, byte size, and digest equality.",Failures must preserve authoritative state for requirements CAN-MISSION-I0-003; invalid input returns typed errors and no partial commit.,Not applicable because source files remain read-only.,"Changed-file list, focused test commands/results, contract/schema diffs, and recovery evidence when applicable.","Every manifest entry verifies and no archive, backup, copy, or repository mutation exists.",One bounded commit containing only this package and its directly required contract/schema/test changes.,KEEP,KEEP,,WP-I0-003 currently holds 1 requirements across 1 capabilities; generic fields present: none; Codebase map status: NOT_APPLICABLE.,The package proves integrity directly from existing files; no container or duplicate copy is required.,NOT_APPLICABLE,None identified.,PASS_B_PACKAGE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-004,WP-I0-004,Mixed-version manifest investigation,Mixed-version manifest investigation,I0,I0,"Implement the reviewed Mixed-version manifest investigation for requirements CAN-MISSION-I0-004 covering 1 requirements: Investigate and record mixed-version package, lockfile, gene.","Implement the reviewed Mixed-version manifest investigation for requirements CAN-MISSION-I0-004 covering 1 requirements: Investigate and record mixed-version package, lockfile, gene.",Mixed-version manifest investigation,Repository proof and feasibility,1,CAN-MISSION-I0-004,Excludes behaviors outside Mixed-version manifest investigation for requirements CAN-MISSION-I0-004; other package-owned capabilities and later-phase release/cleanup work.,,,Contracts affected by requirements CAN-MISSION-I0-004; registry references are resolved in the package packet.,,Schemas affected by requirements CAN-MISSION-I0-004; schema paths are resolved in the package packet.,,,Deliver reviewed implementations and evidence for requirements CAN-MISSION-I0-004; existing Codebase evidence: none recorded.,Run reviewed fixtures for requirements CAN-MISSION-I0-004; verification methods include Work-package evidence plus phase exit gate.,Failures must preserve authoritative state for requirements CAN-MISSION-I0-004; invalid input returns typed errors and no partial commit.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,"Changed-file list, focused test commands/results, contract/schema diffs, and recovery evidence when applicable.",Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-004 pass and completion evidence is recorded.,One bounded commit containing only this package and its directly required contract/schema/test changes.,KEEP,KEEP,,WP-I0-004 currently holds 1 requirements across 1 capabilities; generic fields present: none; Codebase map status: NOT_APPLICABLE.,"The package is bounded to the mixed-version manifest investigation architectural surface and its direct contracts, records, and tests.",NOT_APPLICABLE,None identified.,PASS_B_PACKAGE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-005,WP-I0-005,Toolchain inventory,Toolchain inventory,I0,I0,"Implement the reviewed Toolchain inventory for requirements CAN-MISSION-I0-006 covering 1 requirements: During read-only I0 inspection, the implementation team must.","Implement the reviewed Toolchain inventory for requirements CAN-MISSION-I0-006 covering 1 requirements: During read-only I0 inspection, the implementation team must.",Toolchain inventory,Repository proof and feasibility,1,CAN-MISSION-I0-006,Excludes behaviors outside Toolchain inventory for requirements CAN-MISSION-I0-006; other package-owned capabilities and later-phase release/cleanup work.,,,Contracts affected by requirements CAN-MISSION-I0-006; registry references are resolved in the package packet.,,Schemas affected by requirements CAN-MISSION-I0-006; schema paths are resolved in the package packet.,,,Deliver reviewed implementations and evidence for requirements CAN-MISSION-I0-006; existing Codebase evidence: none recorded.,"Run reviewed fixtures for requirements CAN-MISSION-I0-006; verification methods include Given the existing repository and host, when toolchain inspe.",Failures must preserve authoritative state for requirements CAN-MISSION-I0-006; invalid input returns typed errors and no partial commit.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,"Changed-file list, focused test commands/results, contract/schema diffs, and recovery evidence when applicable.",Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-006 pass and completion evidence is recorded.,One bounded commit containing only this package and its directly required contract/schema/test changes.,KEEP,KEEP,,WP-I0-005 currently holds 1 requirements across 1 capabilities; generic fields present: none; Codebase map status: NOT_APPLICABLE.,"The package is bounded to the toolchain inventory architectural surface and its direct contracts, records, and tests.",NOT_APPLICABLE,None identified.,PASS_B_PACKAGE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-006,WP-I0-006,Build-output isolation decision,Build-output isolation decision,I0,I0,Define where later authorized build and test outputs may be written without creating a repository copy during the read-only provenance baseline.,Define where later authorized build and test outputs may be written without creating a repository copy during the read-only provenance baseline.,Build-output isolation rules,Repository proof and feasibility,1,CAN-MISSION-I0-005,Excludes behaviors outside Build-output isolation rules for requirements CAN-MISSION-I0-005; other package-owned capabilities and later-phase release/cleanup work.,,,Contracts affected by requirements CAN-MISSION-I0-005; registry references are resolved in the package packet.,,Schemas affected by requirements CAN-MISSION-I0-005; schema paths are resolved in the package packet.,,,Graphify-only decision recording authorized future output roots and forbidden write locations.,"Validate that the decision authorizes no current build, test, cache, generated-code, package-manager, or duplicate-tree output.",Failures must preserve authoritative state for requirements CAN-MISSION-I0-005; invalid input returns typed errors and no partial commit.,Not applicable because the package records a decision only.,"Changed-file list, focused test commands/results, contract/schema diffs, and recovery evidence when applicable.","The later writable boundary is explicit and no workspace, copy, build, test, cache, or generated output was created.",One bounded commit containing only this package and its directly required contract/schema/test changes.,KEEP,KEEP,,WP-I0-006 currently holds 1 requirements across 1 capabilities; generic fields present: none; Codebase map status: NOT_APPLICABLE.,"The package defines the future writable boundary; it does not create a workspace, run a build, or duplicate the repository.",NOT_APPLICABLE,None identified.,PASS_B_PACKAGE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-007,WP-I0-007,Baseline build and test attempts,Baseline build and test attempts,I0,I0,Implement the reviewed Baseline build and test attempts for requirements CAN-MISSION-I0-007 covering 1 requirements: Attempt baseline builds and tests in the disposable workspac.,Implement the reviewed Baseline build and test attempts for requirements CAN-MISSION-I0-007 covering 1 requirements: Attempt baseline builds and tests in the disposable workspac.,Baseline build and test attempts,Repository proof and feasibility,3,CAN-LAM-RISK-TEST-005;CAN-LAM-RISK-TEST-029;CAN-MISSION-I0-007,Excludes behaviors outside Baseline build and test attempts for requirements CAN-MISSION-I0-007; other package-owned capabilities and later-phase release/cleanup work.,,,Contracts affected by requirements CAN-MISSION-I0-007; registry references are resolved in the package packet.,,Schemas affected by requirements CAN-MISSION-I0-007; schema paths are resolved in the package packet.,,,Deliver reviewed implementations and evidence for requirements CAN-MISSION-I0-007; existing Codebase evidence: none recorded.,Run reviewed fixtures for requirements CAN-MISSION-I0-007; verification methods include Work-package evidence plus phase exit gate. Risk-gate obligations: R-05/CAN-LAM-RISK-TEST-005 executes 'Disposable baseline build'; R-29/CAN-LAM-RISK-TEST-029 executes 'Baseline execution'.,Failures must preserve authoritative state for requirements CAN-MISSION-I0-007; invalid input returns typed errors and no partial commit.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,"Changed-file list, focused test commands/results, contract/schema diffs, and recovery evidence when applicable.",Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-007 pass and completion evidence is recorded. Risk-gate exit: raw PASS evidence tied to WP-I0-007 and its implementation commit is required for R-05; R-29; absence or failure blocks WP-I0-007:EXIT and I15:RELEASE.,One bounded commit containing only this package and its directly required contract/schema/test changes.,KEEP,KEEP,,WP-I0-007 currently holds 1 requirements across 1 capabilities; generic fields present: none; Codebase map status: NOT_APPLICABLE.,"The package is bounded to the baseline build and test attempts architectural surface and its direct contracts, records, and tests.",NOT_APPLICABLE,None identified.,PASS_B_PACKAGE_REVIEWER,2026-08-11-wp-i0-011-ownership-repair,REVIEWED_CONFIRMED
WP-I0-008,WP-I0-008,Missing fixture classification,Missing fixture classification,I0,I0,"Implement the reviewed Missing fixture classification for requirements CAN-MISSION-I0-008 covering 1 requirements: During read-only I0 inspection, the implementation team must.","Implement the reviewed Missing fixture classification for requirements CAN-MISSION-I0-008 covering 1 requirements: During read-only I0 inspection, the implementation team must.",Missing fixture classification,Repository proof and feasibility,1,CAN-MISSION-I0-008,Excludes behaviors outside Missing fixture classification for requirements CAN-MISSION-I0-008; other package-owned capabilities and later-phase release/cleanup work.,,,Contracts affected by requirements CAN-MISSION-I0-008; registry references are resolved in the package packet.,,Schemas affected by requirements CAN-MISSION-I0-008; schema paths are resolved in the package packet.,,,Deliver reviewed implementations and evidence for requirements CAN-MISSION-I0-008; existing Codebase evidence: none recorded.,"Run reviewed fixtures for requirements CAN-MISSION-I0-008; verification methods include Given a missing prerequisite, when classification runs, then.",Failures must preserve authoritative state for requirements CAN-MISSION-I0-008; invalid input returns typed errors and no partial commit.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,"Changed-file list, focused test commands/results, contract/schema diffs, and recovery evidence when applicable.",Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-008 pass and completion evidence is recorded.,One bounded commit containing only this package and its directly required contract/schema/test changes.,KEEP,KEEP,,WP-I0-008 currently holds 1 requirements across 1 capabilities; generic fields present: none; Codebase map status: NOT_APPLICABLE.,"The package is bounded to the missing fixture classification architectural surface and its direct contracts, records, and tests.",NOT_APPLICABLE,None identified.,PASS_B_PACKAGE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-009,WP-I0-009,Frontend coupling inventory,Frontend coupling inventory,I0,I0,"Implement the reviewed Frontend coupling inventory for requirements CAN-MISSION-I0-009 covering 1 requirements: During read-only I0 inspection, the implementation team must.","Implement the reviewed Frontend coupling inventory for requirements CAN-MISSION-I0-009 covering 1 requirements: During read-only I0 inspection, the implementation team must.",Frontend coupling inventory,Repository proof and feasibility,1,CAN-MISSION-I0-009,Excludes behaviors outside Frontend coupling inventory for requirements CAN-MISSION-I0-009; other package-owned capabilities and later-phase release/cleanup work.,,,Contracts affected by requirements CAN-MISSION-I0-009; registry references are resolved in the package packet.,,Schemas affected by requirements CAN-MISSION-I0-009; schema paths are resolved in the package packet.,,,Deliver reviewed implementations and evidence for requirements CAN-MISSION-I0-009; existing Codebase evidence: none recorded.,"Run reviewed fixtures for requirements CAN-MISSION-I0-009; verification methods include Given the frontend source, when coupling inspection runs, th.",Failures must preserve authoritative state for requirements CAN-MISSION-I0-009; invalid input returns typed errors and no partial commit.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,"Changed-file list, focused test commands/results, contract/schema diffs, and recovery evidence when applicable.",Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-009 pass and completion evidence is recorded.,One bounded commit containing only this package and its directly required contract/schema/test changes.,KEEP,KEEP,,WP-I0-009 currently holds 1 requirements across 1 capabilities; generic fields present: none; Codebase map status: NOT_APPLICABLE.,"The package is bounded to the frontend coupling inventory architectural surface and its direct contracts, records, and tests.",NOT_APPLICABLE,None identified.,PASS_B_PACKAGE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
WP-I0-010,WP-I0-010,Outbound and commercial integration inventory,Outbound and commercial integration inventory,I0,I0,"Implement the reviewed Outbound and commercial integration inventory for requirements CAN-MISSION-I0-010 covering 1 requirements: Inventory outbound hosts, telemetry, update checks, cloud se.","Implement the reviewed Outbound and commercial integration inventory for requirements CAN-MISSION-I0-010 covering 1 requirements: Inventory outbound hosts, telemetry, update checks, cloud se.",Outbound and commercial integration inventory,Repository proof and feasibility,1,CAN-MISSION-I0-010,Excludes behaviors outside Outbound and commercial integration inventory for requirements CAN-MISSION-I0-010; other package-owned capabilities and later-phase release/cleanup work.,,,Contracts affected by requirements CAN-MISSION-I0-010; registry references are resolved in the package packet.,,Schemas affected by requirements CAN-MISSION-I0-010; schema paths are resolved in the package packet.,,,Deliver reviewed implementations and evidence for requirements CAN-MISSION-I0-010; existing Codebase evidence: none recorded.,Run reviewed fixtures for requirements CAN-MISSION-I0-010; verification methods include Work-package evidence plus phase exit gate.,Failures must preserve authoritative state for requirements CAN-MISSION-I0-010; invalid input returns typed errors and no partial commit.,No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,"Changed-file list, focused test commands/results, contract/schema diffs, and recovery evidence when applicable.",Exit only when the reviewed fixtures for requirements CAN-MISSION-I0-010 pass and completion evidence is recorded.,One bounded commit containing only this package and its directly required contract/schema/test changes.,KEEP,KEEP,,WP-I0-010 currently holds 1 requirements across 1 capabilities; generic fields present: none; Codebase map status: NOT_APPLICABLE.,"The package is bounded to the outbound and commercial integration inventory architectural surface and its direct contracts, records, and tests.",NOT_APPLICABLE,None identified.,PASS_B_PACKAGE_REVIEWER,2026-08-06-pass-b,REVIEWED_CONFIRMED
