"RelativePath","TopLevel","Extension","Bytes","Category","GraphPolicy","Reason"
".devcontainer/devcontainer.json",".devcontainer",".json","4050","DEPLOYMENT","MAP","Container/deployment/packaging configuration"
".devcontainer/mobile/container-compose-overrides.yml",".devcontainer",".yml","1027","DEPLOYMENT","MAP","Container/deployment/packaging configuration"
".devcontainer/mobile/devcontainer.json",".devcontainer",".json","1625","DEPLOYMENT","MAP","Container/deployment/packaging configuration"
".devcontainer/server/container-common.sh",".devcontainer",".sh","806","DEPLOYMENT","MAP","Container/deployment/packaging configuration"
".devcontainer/server/container-compose-overrides.yml",".devcontainer",".yml","1191","DEPLOYMENT","MAP","Container/deployment/packaging configuration"
".devcontainer/server/container-start-backend.sh",".devcontainer",".sh","528","DEPLOYMENT","MAP","Container/deployment/packaging configuration"
".devcontainer/server/container-start-frontend.sh",".devcontainer",".sh","866","DEPLOYMENT","MAP","Container/deployment/packaging configuration"
".dockerignore",".dockerignore",".dockerignore","387","ROOT_CONFIG","MAP","Root build, package, configuration, or repository file"
".editorconfig",".editorconfig",".editorconfig","321","ROOT_CONFIG","MAP","Root build, package, configuration, or repository file"
".gitattributes",".gitattributes",".gitattributes","1040","ROOT_CONFIG","MAP","Root build, package, configuration, or repository file"
".github/.prettierignore",".github",".prettierignore","81","CI_CD","MAP","CI/CD and repository automation"
".github/DISCUSSION_TEMPLATE/feature-request.yaml",".github",".yaml","823","CI_CD","MAP","CI/CD and repository automation"
".github/FUNDING.yml",".github",".yml","59","CI_CD","MAP","CI/CD and repository automation"
".github/ISSUE_TEMPLATE/bug_report.yaml",".github",".yaml","2924","CI_CD","MAP","CI/CD and repository automation"
".github/ISSUE_TEMPLATE/config.yml",".github",".yml","801","CI_CD","MAP","CI/CD and repository automation"
".github/labeler.yml",".github",".yml","741","CI_CD","MAP","CI/CD and repository automation"
".github/mise.toml",".github",".toml","233","CI_CD","MAP","CI/CD and repository automation"
".github/package.json",".github",".json","184","CI_CD","MAP","CI/CD and repository automation"
".github/pull_request_template.md",".github",".md","1470","DOCUMENTATION","MAP","Repository or package documentation; classify and semantically map when relevant"
".github/PULL_REQUEST_TEMPLATE/config.yml",".github",".yml","43","CI_CD","MAP","CI/CD and repository automation"
".github/release.yml",".github",".yml","641","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/auto-close.yml",".github",".yml","5387","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/build-mobile.yml",".github",".yml","11632","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/cache-cleanup.yml",".github",".yml","1489","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/check-openapi.yml",".github",".yml","853","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/cli.yml",".github",".yml","3795","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/close-duplicates.yml",".github",".yml","4067","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/codeql-analysis.yml",".github",".yml","3533","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/docker.yml",".github",".yml","7007","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/docs-build.yml",".github",".yml","2594","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/docs-deploy.yml",".github",".yml","9322","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/docs-destroy.yml",".github",".yml","1820","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/fix-format.yml",".github",".yml","1866","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/merge-translations.yml",".github",".yml","4416","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/org-pr-require-conventional-commit.yml",".github",".yml","318","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/org-zizmor.yml",".github",".yml","276","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/prepare-release.yml",".github",".yml","5313","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/preview-label.yaml",".github",".yaml","2591","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/pr-labeler.yml",".github",".yml","712","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/pr-label-validation.yml",".github",".yml","1125","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/sdk.yml",".github",".yml","1230","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/static_analysis.yml",".github",".yml","3506","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/test.yml",".github",".yml","29830","CI_CD","MAP","CI/CD and repository automation"
".github/workflows/weblate-lock.yml",".github",".yml","2458","CI_CD","MAP","CI/CD and repository automation"
".gitignore",".gitignore",".gitignore","518","ROOT_CONFIG","MAP","Root build, package, configuration, or repository file"
".gitmodules",".gitmodules",".gitmodules","103","ROOT_CONFIG","MAP","Root build, package, configuration, or repository file"
".nvmrc",".nvmrc",".nvmrc","8","ROOT_CONFIG","MAP","Root build, package, configuration, or repository file"
".pnpmfile.cjs",".pnpmfile.cjs",".cjs","698","ROOT_CONFIG","MAP","Root build, package, configuration, or repository file"
".prettierrc",".prettierrc",".prettierrc","122","ROOT_CONFIG","MAP","Root build, package, configuration, or repository file"
".vscode/extensions.json",".vscode",".json","412","PROJECT_SUPPORT","MAP","Design or repository support material"
".vscode/launch.json",".vscode",".json","1072","PROJECT_SUPPORT","MAP","Design or repository support material"
".vscode/settings.json",".vscode",".json","2550","PROJECT_SUPPORT","MAP","Design or repository support material"
"CODE_OF_CONDUCT.md","CODE_OF_CONDUCT.md",".md","5222","LEGAL","MAP","Legal, governance, security, or contribution material"
"CODEOWNERS","CODEOWNERS","(none)","159","LEGAL","MAP","Legal, governance, security, or contribution material"
"CONTRIBUTING.md","CONTRIBUTING.md",".md","3661","LEGAL","MAP","Legal, governance, security, or contribution material"
"deployment/.env","deployment",".env","222","DEPLOYMENT","MAP","Container/deployment/packaging configuration"
