Package ID,Canonical ID,Candidate placement,Final placement,Exact authority owner,Exact implementation owner,Exact shared mechanism,Exact Codebase evidence,Exact contract evidence,Exact schema evidence,Exact test evidence,Exact failure/recovery evidence,Alternative considered,Final decision,Item-specific rationale,Evidence sources,Reviewer role,Review revision,Verification status
WP-I4-003,CAN-FAIL-01,WP-I4-003,WP-I4-003,Media format classification,"Implement the reviewed Media format classification for requirements CAN-FAIL-01, CAN-LAM-ASSET-004, CAN-LAM-ASSET-130 covering 3 requirements: Lamha ingestion must classify every approved media class and; During ingestion, Lamha must classify each approved image, R; Duplicate asset ID.",WP-I4-003 is the architectural owner because its objective — Implement and verify the bounded media format classification surface. — is the surface that must execute the obligation 'Lamha ingestion must classify every approved media class and must either index supported v'; prerequisite packages WP-I4-001 supply the underlying schema/identity/journal it needs.,EXTRACTED current evidence: Codebase/mobile/lib/models/download/livephotos_medatada.model.dart:L1-L44 (LivePhotosMetadata); Codebase/mobile/packages/ui/lib/src/previews/formatted_text.dart:L1-L50 (previews/formatted_text.dart); Codebase/docs/docs/features/supported-formats.md:L1-L45 (supported-formats.md); Codebase/server/src/commands/media-location.command.ts:L1-L1 (media-location.command.ts),"Contracts affected by requirements CAN-FAIL-01, CAN-LAM-ASSET-004, CAN-LAM-ASSET-130; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-01, CAN-LAM-ASSET-004, CAN-LAM-ASSET-130; schema paths are resolved in the package packet.","Run reviewed fixtures for requirements CAN-FAIL-01, CAN-LAM-ASSET-004, CAN-LAM-ASSET-130; verification methods include Cross-format ingestion and companion-set fixture gate.; Given one approved fixture for each declared media class, wh; Duplicate-ID fixture..","Failures must preserve authoritative state for requirements CAN-FAIL-01, CAN-LAM-ASSET-004, CAN-LAM-ASSET-130; invalid input returns typed errors and no partial commit. No partial authoritative state; use the package-specific transaction/recovery contract for mutations.",No other package owns the same bounded surface and phase obligation.,VERIFIED,"WP-I4-003 is the final owner of CAN-FAIL-01 because its bounded surface 'Media format classification' executes the requirement obligation in phase I4. Ownership is implemented through 'WP-I4-003 is the architectural owner because its objective — Implement and verify the bounded media format classification surface. — is the surface that must execute the obligation 'Lamha ingestion must classify every approved media class and must either index supported v'; prerequisite packages WP-I4-001 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-01;requirement-membership.csv:CAN-FAIL-01;work-packages.json:WP-I4-003,GPT_5_6_FINAL_PACKAGE_MEMBER_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED
WP-I0-011,CAN-FAIL-02,WP-I0-011,WP-I0-011,"Active-plan authority, completion tracker, evidence gates, and planning pass obligations","Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obligations before any package advances.","WP-I0-011 is the architectural owner because its objective — Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obliga — is the surface that must execute the obligation 'Completed production paths must contain no stub success, todo macro, empty success return,'; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.",EXTRACTED current evidence: Codebase/server/test/repositories/metadata.repository.mock.ts:L1-L1 (metadata.repository.mock.ts); Codebase/server/test/repositories/system-metadata.repository.mock.ts:L1-L1 (system-metadata.repository.mock.ts); Codebase/mobile/packages/ui/lib/src/previews/password_input.dart:L1-L18 (previews/password_input.dart); Codebase/server/test/repositories/config.repository.mock.ts:L108-L108 (mockEnvData()),Planning tracker and completion-status contracts,Completion tracker and planning evidence records,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.","Missing evidence, stale tracker revisions, canonical ID copying, incomplete pass maps, unverified blocker claims. Tracker updates are journaled; failed validation preserves the prior revision.",No other package owns the same bounded surface and phase obligation.,VERIFIED,"WP-I0-011 is the final owner of CAN-FAIL-02 because its bounded surface 'Active-plan authority, completion tracker, evidence gates, and planning pass obligations' executes the requirement obligation in phase I0. Ownership is implemented through 'WP-I0-011 is the architectural owner because its objective — Enforce planning authority: canonical requirement IDs, evidence gates, completion-tracker revisions, no-stub completion, and double-check/bottom-up audit obliga — is the surface that must execute the obligation 'Completed production paths must contain no stub success, todo macro, empty success return,'; prerequisite packages WP-I0-001 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-02;requirement-membership.csv:CAN-FAIL-02;work-packages.json:WP-I0-011,GPT_5_6_FINAL_PACKAGE_MEMBER_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED
WP-I2-011,CAN-FAIL-03,WP-I2-011,WP-I2-011,Typed frontend command bridge,Implement the reviewed Typed frontend command bridge for requirements CAN-FAIL-03 covering 1 requirements: A completed target screen must obtain mutable or persisted s.,WP-I2-011 is the architectural owner because its objective — Implement and verify the bounded typed frontend command bridge surface. — is the surface that must execute the obligation 'A completed target screen must obtain mutable or persisted state through its reviewed type'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.,EXTRACTED current evidence: Codebase/web/src/test-data/mocks/UserPageLayout.mock.svelte:L1-L1 (UserPageLayout.mock.svelte); Codebase/server/test/repositories/metadata.repository.mock.ts:L1-L1 (metadata.repository.mock.ts); Codebase/server/test/repositories/system-metadata.repository.mock.ts:L1-L1 (system-metadata.repository.mock.ts); Codebase/web/src/lib/components/TestWrapper.svelte:L1-L1 (TestWrapper.svelte),Contracts affected by requirements CAN-FAIL-03; registry references are resolved in the package packet.,Schemas affected by requirements CAN-FAIL-03; schema paths are resolved in the package packet.,Run reviewed fixtures for requirements CAN-FAIL-03; verification methods include Live Tauri IPC wiring gate..,Failures must preserve authoritative state for requirements CAN-FAIL-03; invalid input returns typed errors and no partial commit. No partial authoritative state; use the package-specific transaction/recovery contract for mutations.,No other package owns the same bounded surface and phase obligation.,VERIFIED,"WP-I2-011 is the final owner of CAN-FAIL-03 because its bounded surface 'Typed frontend command bridge' executes the requirement obligation in phase I2. Ownership is implemented through 'WP-I2-011 is the architectural owner because its objective — Implement and verify the bounded typed frontend command bridge surface. — is the surface that must execute the obligation 'A completed target screen must obtain mutable or persisted state through its reviewed type'; prerequisite packages WP-I2-007 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-03;requirement-membership.csv:CAN-FAIL-03;work-packages.json:WP-I2-011,GPT_5_6_FINAL_PACKAGE_MEMBER_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED
WP-I3-006,CAN-FAIL-04,WP-I3-006,WP-I3-006,Sidecar write protocol and authoritative sidecar separation,"Write co-located asset JSON and XMP mirrors through a schema-valid sidecar write protocol, preserve exact bytes on validation failure, and keep authoritative knowledge separate from rebuildable indexes.","WP-I3-006 is the architectural owner because its objective — Write co-located asset JSON and XMP mirrors through a schema-valid sidecar write protocol, preserve exact bytes on validation failure, and keep authoritative kn — is the surface that must execute the obligation 'For every writable managed asset whose approved metadata is XMP-compatible, Lamha must wri'; prerequisite packages WP-I3-005 supply the underlying schema/identity/journal it needs.",EXTRACTED current evidence: Codebase/web/src/lib/components/sharedlinks-page/covers/__tests__/AssetCover.spec.ts:L1-L1 (AssetCover.spec.ts); Codebase/server/src/schema/migrations/1764698859174-SidecarInAssetFile.ts:L1-L1 (1764698859174-SidecarInAssetFile.ts); Codebase/docs/docs/features/xmp-sidecars.md:L1-L68 (xmp-sidecars.md); Codebase/web/src/lib/components/AssetViewerEvents.svelte:L1-L1 (lib/components/AssetViewerEvents.svelte),Sidecar write protocol contracts,Asset and XMP sidecar records,"Fixture suite covering JSON/XMP writes, schema validation failure preservation, mirror alignment, and index separation.","Schema-invalid writes, mirror mismatch, write interruption. Writes are journaled; failed validation preserves the prior sidecar bytes.",No other package owns the same bounded surface and phase obligation.,VERIFIED,"WP-I3-006 is the final owner of CAN-FAIL-04 because its bounded surface 'Sidecar write protocol and authoritative sidecar separation' executes the requirement obligation in phase I3. Ownership is implemented through 'WP-I3-006 is the architectural owner because its objective — Write co-located asset JSON and XMP mirrors through a schema-valid sidecar write protocol, preserve exact bytes on validation failure, and keep authoritative kn — is the surface that must execute the obligation 'For every writable managed asset whose approved metadata is XMP-compatible, Lamha must wri'; prerequisite packages WP-I3-005 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-04;requirement-membership.csv:CAN-FAIL-04;work-packages.json:WP-I3-006,GPT_5_6_FINAL_PACKAGE_MEMBER_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED
WP-I6-009,CAN-FAIL-05,WP-I6-009,WP-I6-009,Event filesystem materialization plan,"Implement the reviewed Event filesystem materialization plan for requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058... covering 13 requirements: Event materialization must create only approved physical pla; Automated event organization and duplicate workflows must in; Several days of activity; Assets to move; Events; Make primary event folder; Rename event folder; Move event folder.","WP-I6-009 is the architectural owner because its objective — Implement and verify the bounded event filesystem materialization plan surface. — is the surface that must execute the obligation 'Event materialization must create only approved physical placement classes; people, group,'; prerequisite packages WP-I3-011, WP-I6-002 supply the underlying schema/identity/journal it needs.",EXTRACTED current evidence: Codebase/web/src/routes/(user)/people/manage/ManagePeopleVisibility.test-wrapper.svelte:L1-L1 (ManagePeopleVisibility.test-wrapper.svelte); Codebase/mobile/lib/domain/services/sync_linked_album.service.dart:L1-L124 (manageLinkedAlbums); Codebase/web/src/lib/managers/event-manager.svelte.ts:L1-L1 (event-manager.svelte.ts); Codebase/web/src/lib/utils/base-event-manager.svelte.ts:L1-L1 (base-event-manager.svelte.ts),"Contracts affected by requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058...; schema paths are resolved in the package packet.","Run reviewed fixtures for requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058, CAN-LAM-FOLDER-007, CAN-LAM-FOLDER-018, CAN-LAM-FOLDER-025, CAN-LAM-FOLDER-038...; verification methods include Zero-category-folder materialization gate.; Linked-folder immobility gate.; Multi-day event fixture with split confirmation.; Planned-move fixture with scope checks..","Failures must preserve authoritative state for requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058...; invalid input returns typed errors and no partial commit. No partial authoritative state; use the package-specific transaction/recovery contract for mutations.",No other package owns the same bounded surface and phase obligation.,VERIFIED,"WP-I6-009 is the final owner of CAN-FAIL-05 because its bounded surface 'Event filesystem materialization plan' executes the requirement obligation in phase I6. Ownership is implemented through 'WP-I6-009 is the architectural owner because its objective — Implement and verify the bounded event filesystem materialization plan surface. — is the surface that must execute the obligation 'Event materialization must create only approved physical placement classes; people, group,'; prerequisite packages WP-I3-011, WP-I6-002 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-05;requirement-membership.csv:CAN-FAIL-05;work-packages.json:WP-I6-009,GPT_5_6_FINAL_PACKAGE_MEMBER_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED
WP-I7-003,CAN-FAIL-06,WP-I7-003,WP-I7-003,Face clustering and curation,"Implement the reviewed Face clustering and curation for requirements CAN-FAIL-06, CAN-LAM-ARCH-103, CAN-LAM-ARCH-382, CAN-LAM-EDGE-07, CAN-LAM-PERSON-008, CAN-LAM-PERSON-009, CAN-LAM-PERSON-027, CAN-LAM-PERSON-033... covering 9 requirements: Face-cluster analysis may create typed merge candidates, but; Split mixed clusters; Clusters; LAM-EDGE-07; People; Accidental Person Merge; User merges fa; Face recognition; Face clustering; Group face clusters; The required workflow is: Detect faces / → Group similar fac.","WP-I7-003 is the architectural owner because its objective — Implement and verify the bounded face clustering and curation surface. — is the surface that must execute the obligation 'Face-cluster analysis may create typed merge candidates, but Lamha must not persist a clus'; prerequisite packages WP-I7-002 supply the underlying schema/identity/journal it needs.",EXTRACTED current evidence: Codebase/packages/plugin-core/package.json:L1-L1 (plugin-core/package.json); Codebase/packages/plugin-core/manifest.json:L1-L1 (plugin-core/manifest.json); Codebase/packages/plugin-core/tsconfig.json:L1-L1 (plugin-core/tsconfig.json); Codebase/docs/docs/guides/better-facial-clusters.md:L1-L72 (better-facial-clusters.md),"Contracts affected by requirements CAN-FAIL-06, CAN-LAM-ARCH-103, CAN-LAM-ARCH-382, CAN-LAM-EDGE-07, CAN-LAM-PERSON-008, CAN-LAM-PERSON-009, CAN-LAM-PERSON-027, CAN-LAM-PERSON-033...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-06, CAN-LAM-ARCH-103, CAN-LAM-ARCH-382, CAN-LAM-EDGE-07, CAN-LAM-PERSON-008, CAN-LAM-PERSON-009, CAN-LAM-PERSON-027, CAN-LAM-PERSON-033...; schema paths are resolved in the package packet.","Run reviewed fixtures for requirements CAN-FAIL-06, CAN-LAM-ARCH-103, CAN-LAM-ARCH-382, CAN-LAM-EDGE-07, CAN-LAM-PERSON-008, CAN-LAM-PERSON-009, CAN-LAM-PERSON-027, CAN-LAM-PERSON-033, CAN-LAM-PERSON-034; verification methods include Face-cluster human-review gate.; Cluster-split fixture with assignment and undo verification.; Cluster fixture.; Accidental-merge fixture with snapshot and undo verification.","Failures must preserve authoritative state for requirements CAN-FAIL-06, CAN-LAM-ARCH-103, CAN-LAM-ARCH-382, CAN-LAM-EDGE-07, CAN-LAM-PERSON-008, CAN-LAM-PERSON-009, CAN-LAM-PERSON-027, CAN-LAM-PERSON-033...; invalid input returns typed errors and no partial commit. No partial authoritative state; use the package-specific transaction/recovery contract for mutations.",No other package owns the same bounded surface and phase obligation.,VERIFIED,"WP-I7-003 is the final owner of CAN-FAIL-06 because its bounded surface 'Face clustering and curation' executes the requirement obligation in phase I7. Ownership is implemented through 'WP-I7-003 is the architectural owner because its objective — Implement and verify the bounded face clustering and curation surface. — is the surface that must execute the obligation 'Face-cluster analysis may create typed merge candidates, but Lamha must not persist a clus'; prerequisite packages WP-I7-002 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-06;requirement-membership.csv:CAN-FAIL-06;work-packages.json:WP-I7-003,GPT_5_6_FINAL_PACKAGE_MEMBER_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED
WP-I10-002,CAN-FAIL-07,WP-I10-002,WP-I10-002,Private local worker transport,"Implement the reviewed Private local worker transport for requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B covering 4 requirements: The AI worker must communicate only through the reviewed pri; AI status; Proven local AI logic where adaptable; AI Workers; Persistent Rejection with Controlled Reconsidera.",WP-I10-002 is the architectural owner because its objective — Implement and verify the bounded private local worker transport surface. — is the surface that must execute the obligation 'The AI worker must communicate only through the reviewed private local transport owned by '; prerequisite packages WP-I10-001 supply the underlying schema/identity/journal it needs.,EXTRACTED current evidence: Codebase/web/src/lib/managers/timeline-manager/internal/websocket-support.svelte.ts:L8-L8 (WebsocketSupport); Codebase/web/src/service-worker/index.ts:L1-L1 (service-worker/index.ts); Codebase/web/src/service-worker/request.ts:L1-L1 (service-worker/request.ts); Codebase/server/src/maintenance/maintenance-worker.service.ts:L1-L1 (maintenance-worker.service.ts),"Contracts affected by requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B; schema paths are resolved in the package packet.","Run reviewed fixtures for requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B; verification methods include Private worker transport and listener-isolation gate.; AI-status fixture with no-mutation assertion.; AI-reuse fixture with gate checks.; Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regressio.","Failures must preserve authoritative state for requirements CAN-FAIL-07, CAN-LAM-AI-028, CAN-LAM-AI-046, CAN-LAM-INV-AI-02-B; invalid input returns typed errors and no partial commit. No partial authoritative state; use the package-specific transaction/recovery contract for mutations.",No other package owns the same bounded surface and phase obligation.,VERIFIED,"WP-I10-002 is the final owner of CAN-FAIL-07 because its bounded surface 'Private local worker transport' executes the requirement obligation in phase I10. Ownership is implemented through 'WP-I10-002 is the architectural owner because its objective — Implement and verify the bounded private local worker transport surface. — is the surface that must execute the obligation 'The AI worker must communicate only through the reviewed private local transport owned by '; prerequisite packages WP-I10-001 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-07;requirement-membership.csv:CAN-FAIL-07;work-packages.json:WP-I10-002,GPT_5_6_FINAL_PACKAGE_MEMBER_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED
WP-I3-002,CAN-FAIL-08,WP-I3-002,WP-I3-002,Stable asset identity,"Implement the reviewed Stable asset identity for requirements CAN-FAIL-08, CAN-LAM-AI-045, CAN-LAM-ASSET-042, CAN-LAM-ASSET-094, CAN-LAM-ASSET-100, CAN-LAM-ASSET-197, CAN-LAM-BACKUP-005, CAN-LAM-EDGE-11... covering 13 requirements: At ingestion Lamha must persist the original filename once i; Only a stable asset UUID carried by a trustworthy sidecar or; Original filename preservation; Preserve original filename in JSON; Original filename; Asset JSON; Operation history; Original filenames are recoverable; Restored; LAM-EDGE-11; Naming; Two Files Share Exact Same Original Fil.",WP-I3-002 is the architectural owner because its objective — Implement and verify the bounded stable asset identity surface. — is the surface that must execute the obligation 'At ingestion Lamha must persist the original filename once in the authoritative asset reco'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.,EXTRACTED current evidence: Codebase/server/src/schema/migrations/1754389095885-ResetAlbumAssetSync.ts:L1-L1 (1754389095885-ResetAlbumAssetSync.ts); Codebase/server/src/schema/migrations/1777897107000-PartnerAssetSyncReset.ts:L1-L1 (1777897107000-PartnerAssetSyncReset.ts); Codebase/server/src/schema/migrations/1773956345315-DuplicateSharedLinkAssets.ts:L1-L1 (1773956345315-DuplicateSharedLinkAssets.ts); Codebase/server/src/dtos/asset.dto.ts:L51-L51 (UpdateAssetSchema),"Contracts affected by requirements CAN-FAIL-08, CAN-LAM-AI-045, CAN-LAM-ASSET-042, CAN-LAM-ASSET-094, CAN-LAM-ASSET-100, CAN-LAM-ASSET-197, CAN-LAM-BACKUP-005, CAN-LAM-EDGE-11...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-08, CAN-LAM-AI-045, CAN-LAM-ASSET-042, CAN-LAM-ASSET-094, CAN-LAM-ASSET-100, CAN-LAM-ASSET-197, CAN-LAM-BACKUP-005, CAN-LAM-EDGE-11...; schema paths are resolved in the package packet.","Run reviewed fixtures for requirements CAN-FAIL-08, CAN-LAM-AI-045, CAN-LAM-ASSET-042, CAN-LAM-ASSET-094, CAN-LAM-ASSET-100, CAN-LAM-ASSET-197, CAN-LAM-BACKUP-005, CAN-LAM-EDGE-11, CAN-LAM-EDGE-15, CAN-LAM-EVENT-013, CAN-LAM-EVENT-014, CAN-LAM-INV-ASSET-05...; verification methods include Original-filename immutability and restore gate.; Gate 1 scope; Gate 2 compile/build; Gate 3 focused/regressio; Filename-preservation fixture.; Rename fixture with original-name checks..","Failures must preserve authoritative state for requirements CAN-FAIL-08, CAN-LAM-AI-045, CAN-LAM-ASSET-042, CAN-LAM-ASSET-094, CAN-LAM-ASSET-100, CAN-LAM-ASSET-197, CAN-LAM-BACKUP-005, CAN-LAM-EDGE-11...; invalid input returns typed errors and no partial commit. No partial authoritative state; use the package-specific transaction/recovery contract for mutations.",No other package owns the same bounded surface and phase obligation.,VERIFIED,"WP-I3-002 is the final owner of CAN-FAIL-08 because its bounded surface 'Stable asset identity' executes the requirement obligation in phase I3. Ownership is implemented through 'WP-I3-002 is the architectural owner because its objective — Implement and verify the bounded stable asset identity surface. — is the surface that must execute the obligation 'At ingestion Lamha must persist the original filename once in the authoritative asset reco'; prerequisite packages WP-I3-001 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-08;requirement-membership.csv:CAN-FAIL-08;work-packages.json:WP-I3-002,GPT_5_6_FINAL_PACKAGE_MEMBER_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED
WP-I15-015,CAN-FAIL-09,WP-I15-015,WP-I15-015,Replacement-verified legacy removal,"Remove legacy runtime, server, database, queue, container, generated-client, and obsolete workflow paths only after retained callers have verified replacements.","WP-I15-015 is the architectural owner because its objective — Remove legacy runtime, server, database, queue, container, generated-client, and obsolete workflow paths only after retained callers have verified replacements. — is the surface that must execute the obligation 'Lamha must not remove a legacy subsystem until every retained caller has migrated, replace'; prerequisite packages WP-I15-008, WP-I15-014 supply the underlying schema/identity/journal it needs.",EXTRACTED current evidence: Codebase/server/src/schema/migrations/1753800911775-ProfileImageCheckpointRemoval.ts:L1-L1 (1753800911775-ProfileImageCheckpointRemoval.ts); Codebase/server/src/repositories/server-info.repository.ts:L25-L25 (ServerBuildVersions); Codebase/server/test/factories/builder.factory.ts:L1-L1 (builder.factory.ts); Codebase/server/tsconfig.build.json:L1-L1 (tsconfig.build.json),Legacy contracts only after every retained consumer uses a reviewed replacement.,Legacy-only schemas after authoritative migration and rebuild proof.,"Focused replacement parity, affected regression, clean-package launch, dependency scan, runtime listener scan, and installer inspection.","A retained caller, missing replacement, unverified migration, runtime start path, installer dependency, or unresolved authority blocks removal. Removal proceeds in bounded sets only after replacement evidence; failed absence or parity proof blocks the set.",No other package owns the same bounded surface and phase obligation.,VERIFIED,"WP-I15-015 is the final owner of CAN-FAIL-09 because its bounded surface 'Replacement-verified legacy removal' executes the requirement obligation in phase I15. Ownership is implemented through 'WP-I15-015 is the architectural owner because its objective — Remove legacy runtime, server, database, queue, container, generated-client, and obsolete workflow paths only after retained callers have verified replacements. — is the surface that must execute the obligation 'Lamha must not remove a legacy subsystem until every retained caller has migrated, replace'; prerequisite packages WP-I15-008, WP-I15-014 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-09;requirement-membership.csv:CAN-FAIL-09;work-packages.json:WP-I15-015,GPT_5_6_FINAL_PACKAGE_MEMBER_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED
WP-I3-009,CAN-FAIL-10,WP-I3-009,WP-I3-009,Derived-index rebuild contract,"Implement the reviewed Derived-index rebuild contract for requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032... covering 9 requirements: Lamha must persist approved user knowledge in its declared a; The SQLite AI projection must remain rebuildable from versio; AI embeddings; Local cache/index; Rebuildable; Per-asset XMP; The OS application-data tree is not a second media library. ; Event XMP; LAM-INV-META-03; Metadata; SQLite Derived Cache Status; The ; Search; SQLite; Rebuildable.",WP-I3-009 is the architectural owner because its objective — Implement and verify the bounded derived-index rebuild contract surface. — is the surface that must execute the obligation 'Lamha must persist approved user knowledge in its declared authoritative records and must '; prerequisite packages WP-I3-008 supply the underlying schema/identity/journal it needs.,EXTRACTED current evidence: Codebase/server/src/schema/migrations/1750780093818-AddAlbumToAssetDeleteTrigger.ts:L1-L1 (1750780093818-AddAlbumToAssetDeleteTrigger.ts); Codebase/mobile/openapi/lib/model/sync_album_to_asset_delete_v1.dart:L1-L109 (sync_album_to_asset_delete_v1.dart); Codebase/server/test/medium/specs/sync/sync-album-asset.spec.ts:L1-L1 (sync-album-asset.spec.ts); Codebase/server/test/medium/specs/sync/sync-album-to-asset.spec.ts:L1-L1 (sync-album-to-asset.spec.ts),"Contracts affected by requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; schema paths are resolved in the package packet.","Run reviewed fixtures for requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032, CAN-LAM-META-068; verification methods include Derived-index rebuild and decision-survival gate.; Given versioned AI authority records and a populated SQLite ; Rebuild fixture must restore embeddings/index from authority; Per-asset XMP fixture..","Failures must preserve authoritative state for requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; invalid input returns typed errors and no partial commit. No partial authoritative state; use the package-specific transaction/recovery contract for mutations.",No other package owns the same bounded surface and phase obligation.,VERIFIED,"WP-I3-009 is the final owner of CAN-FAIL-10 because its bounded surface 'Derived-index rebuild contract' executes the requirement obligation in phase I3. Ownership is implemented through 'WP-I3-009 is the architectural owner because its objective — Implement and verify the bounded derived-index rebuild contract surface. — is the surface that must execute the obligation 'Lamha must persist approved user knowledge in its declared authoritative records and must '; prerequisite packages WP-I3-008 supply the underlying schema/identity/journal it needs.'. The package tests and exit gate jointly require the canonical ID, the observable criterion, typed failure, and preservation evidence.",requirements.csv:CAN-FAIL-10;requirement-membership.csv:CAN-FAIL-10;work-packages.json:WP-I3-009,GPT_5_6_FINAL_PACKAGE_MEMBER_REVIEWER,2026-08-08-gpt-5.6-final,VERIFIED
