concept,authority_classification,authoritative_schema,embedding_parent,derived_table_or_index,persistence_location,rebuild_source,revision_semantics,migration_owner,work_package,rationale
Saved views,DEDICATED_AUTHORITATIVE_SCHEMA,records/saved_view.schema.json,,saved_view_index,Versioned library records,records/saved_view.schema.json,Monotonic per-view revision with optimistic concurrency,WP-I5-011,WP-I5-011,"A user-named query and presentation choice is durable user knowledge and cannot exist only in SQLite."
Memories,DERIVED_ONLY_PROJECTION,,,memory_projection_index,Rebuildable SQLite and in-memory projection,"Asset capture metadata, event records, album/favorite state, and explicit suppression decisions",Recomputed projection version keyed by source revisions,WP-I5-007,WP-I5-007,"A memory is a reproducible projection; explicit suppression or curation decisions persist in review/saved-view records."
Location records,EMBEDDED_AUTHORITATIVE_STRUCTURE,,records/asset.schema.json;records/event.schema.json,location_index,Asset and event authoritative records,Typed Gps structures in asset and event records,Parent record revision controls location changes,WP-I5-008,WP-I5-008,"Asset coordinates and event location are domain-owned fields; a second location authority would introduce conflicts."
Export manifests,DEDICATED_AUTHORITATIVE_SCHEMA,records/export_manifest.schema.json,,export_manifest_index,Versioned export evidence records,records/export_manifest.schema.json,Immutable completed revision plus linked retry attempt revisions,WP-I11-006,WP-I11-006,"Exports need reproducible source revisions, output hashes, collision decisions, and completion state."
Restore manifests,DEDICATED_AUTHORITATIVE_SCHEMA,records/restore_manifest.schema.json,,restore_manifest_index,Versioned restore evidence records,records/restore_manifest.schema.json,Plan revision is immutable after commit; recovery creates a new attempt revision,WP-I13-005,WP-I13-005,"Restore collision and recovery decisions must remain auditable independently of rebuildable indexes."
Privacy-export recipes,DEDICATED_AUTHORITATIVE_SCHEMA,records/privacy_export_recipe.schema.json,,privacy_recipe_index,Versioned user recipe records,records/privacy_export_recipe.schema.json,Monotonic recipe revision; each export pins the applied revision,WP-I11-009,WP-I11-009,"Privacy removal choices are reusable durable user decisions and must be explicit and typed."
Filename templates,EMBEDDED_AUTHORITATIVE_STRUCTURE,,records/settings.schema.json,filename_template_index,Versioned settings record,Typed filenameTemplates array in records/settings.schema.json,Parent settings revision controls template changes,WP-I6-007,WP-I6-007,"Filename templates are library/application settings and share settings migration and concurrency semantics."
Drive registry,DEDICATED_AUTHORITATIVE_SCHEMA,records/drive_registry.schema.json,,drive_registry_index,Versioned OS application-data record,records/drive_registry.schema.json,Monotonic drive observation revision with stable hardware identity,WP-I12-001,WP-I12-001,"Drive identity and last-seen state must survive disconnection and cannot depend on a mounted path or SQLite alone."
Derivative manifests,DEDICATED_AUTHORITATIVE_SCHEMA,records/derivative_manifest.schema.json,,derivative_index,Versioned derivative evidence records,records/derivative_manifest.schema.json,Immutable derivative revision keyed to source and recipe revisions,WP-I11-006,WP-I11-006,"A derivative must be traceable to its source bytes, edit recipe, export parameters, and output hash."
AI candidate and proposal records,DEDICATED_AUTHORITATIVE_SCHEMA,records/ai_candidate.schema.json,,ai_candidate_index,Versioned review-candidate records,records/ai_candidate.schema.json,Monotonic candidate revision with immutable model/source fingerprint,WP-I10-013,WP-I10-013,"Consequential AI output requires durable provenance, decision history, equivalence fingerprint, and suppression scope."
