record_id,candidate_value,final_reviewed_value,acceptance_criterion,related_phase,related_package,review_status,review_rationale,evidence,reviewer_type,review_revision,correction_applied
CAN-LAM-AI-014,OCR,"When Lamha indexes OCR text, it must store the recognized text with asset identity, source region, model version, source revision, and confidence so local search can return traceable results and identify stale or unavailable OCR data.","Given an asset with known text and a changed source revision, when OCR indexing and search run, then the matching asset and provenance are returned for the current revision and the stale entry is rejected or requeued.",I10,WP-I10-009,REVIEWED_CORRECTED,"Expanded a noun-only source clause into OCR indexing and staleness behavior.","Master Plan File 1 section 2.1 and CAN-LAM-AI-014 code evidence",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added actor, trigger, persisted fields, stale behavior, and fixture."
CAN-LAM-ARCH-025,Tags,"When a local workflow proposes or changes a tag, Lamha must persist a namespaced, revisioned candidate or approved assignment, expose the decision state for review, and preserve the prior assignment if validation or storage fails.","Given an asset with an existing tag, when a new tag candidate is approved and a storage failure is injected, then the prior assignment remains authoritative and the failed revision is visible for retry.",I8,WP-I8-002,REVIEWED_CORRECTED,"Expanded a noun-only source clause into a revisioned review workflow.","Master Plan File 1 section 2.1 and tag authority rules",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added review state, revision, and preservation behavior."
CAN-LAM-ARCH-027,Albums,"When a user changes album membership or favorite state, Lamha must persist the affected asset relationship with a new revision, update the local view, and preserve the prior relationship if the authoritative write fails.","Given an asset in an album, when membership is removed with an injected write failure, then the UI reports failure and the prior authoritative membership remains visible after reload.",I5,WP-I5-006,REVIEWED_CORRECTED,"Expanded a noun-only source clause into album/favorite persistence behavior.","Master Plan File 1 section 2.1 and album authority rules",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added user trigger, revision, UI result, and failure preservation."
CAN-LAM-ARCH-057,Renamed,"When Lamha renames a managed asset, it must update the authorized current path through a journaled filesystem plan while preserving the original filename, stable asset identity, companion links, and original bytes.","Given a managed companion bundle, when an approved rename commits, then every planned path is updated, originalFilename and asset IDs remain unchanged, and rollback restores all paths after an injected failure.",I3,WP-I3-011,REVIEWED_CORRECTED,"The prior viewer template treated a completed filesystem action as a UI label.","Master Plan File 1 Asset Bundle Standard and operation-plan contracts",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Reclassified rename as a journaled filesystem operation."
CAN-LAM-ARCH-058,Moved,"When Lamha moves a managed asset, it must execute a validated journaled plan that preserves stable identity, original filename, companion links, metadata sidecars, and source bytes until destination verification succeeds.","Given a managed bundle and authorized destination, when a move fails before verification, then every source member remains intact and recovery reaches a complete source or verified destination state without a partial bundle.",I3,WP-I3-011,REVIEWED_CORRECTED,"The prior viewer template omitted transaction and bundle-integrity behavior.","Master Plan File 1 Asset Bundle Standard and file-operation plan contract",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Reclassified move as a validated transaction with recovery."
CAN-LAM-ARCH-170,Reject,"When a reviewer rejects a proposal, Lamha must persist the rejected transition, provenance, candidate fingerprint, and suppression scope while leaving authoritative metadata unchanged.","Given a pending proposal, when the user rejects it, then reload shows the rejected decision and an equivalent routine rerun does not create a new pending item.",I5,WP-I5-010,REVIEWED_CORRECTED,"Expanded a button label into a persisted Review Centre transition.","Master Plan File 1 section 15.3 and Review Centre state rules",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added decision persistence, authority preservation, and suppression."
CAN-LAM-ARCH-291,GPS,"When privacy removal targets GPS metadata, Lamha must create a reviewed mutation/export plan that preserves source provenance and the managed original while removing approved coordinate fields only from the selected output or authoritative revision.","Given an asset with embedded, JSON, and XMP coordinates, when a privacy-clean export is approved, then the export contains none of the selected GPS fields, the managed original hash is unchanged, and the recipe records every removed field.",I11,WP-I11-003,REVIEWED_CORRECTED,"Expanded a noun-only privacy field into a scoped removal workflow.","Master Plan File 1 section 30.2 and privacy-removal contracts",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added scope, preservation, output, and recipe evidence."
CAN-LAM-ARCH-416,Scan,"Before the initial scanner package exits, Lamha must scan a fixture root containing supported, unsupported, nested, hidden, unreadable, and symlinked entries and report indexed, skipped-with-reason, and rejected counts without changing any source byte.","Given the reviewed scanner fixture, when the scan runs, then every entry has one typed outcome, symlink escape is rejected, counts reconcile to the fixture inventory, and all source hashes remain unchanged.",I4,WP-I4-001,REVIEWED_CORRECTED,"Replaced a one-word gate with an adversarial scanner acceptance test.","Master Plan File 3 section 24.3 and initial scanner package",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added fixture composition, typed outcomes, counts, and integrity proof."
CAN-LAM-ARCH-444,Maintain,"When any requirement or package status changes, the completion tracker must preserve prior revisions and record the actor, timestamp, evidence links, applicable gates, and resulting status transition.","Given an existing tracker row, when its status changes, then the new revision links its predecessor and evidence while the previous revision remains queryable.",I0,WP-I0-011,REVIEWED_CORRECTED,"Replaced a one-word tracker gate with revisioned status behavior.","Master Plan File 3 section 28 and active-plan authority package",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added trigger, required fields, and history verification."
CAN-LAM-DELETE-267,Use,"Destructive actions must use the shared typed confirmation contract with explicit target summary, consequence text, authorization token, collision behavior, and cancel path; feature-specific duplicate dialogs must be removed after parity proof.","Given each destructive action, when confirmation is opened, cancelled, and approved, then the shared contract displays the exact targets, cancellation writes nothing, and approval invokes only the typed authorized command.",I13,WP-I13-007,REVIEWED_CORRECTED,"Replaced a one-word removal gate with the retained confirmation behavior and deletion condition.","Master Plan File 2 section 37 and trash/permanent-delete contracts",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Defined shared behavior, observable cancel/approve paths, and removal prerequisite."
CAN-LAM-GOV-179,Tests,"Every actionable canonical requirement must identify at least one focused verification that exercises its success or preservation behavior and names the owning work package.","Given the active canonical registry, when traceability validation runs, then every actionable row links a focused verification and an existing owning package or an explicit reviewed exception.",I0,WP-I0-011,REVIEWED_CORRECTED,"Replaced a one-word extraction field with a traceability requirement.","Master Plan File 3 section 10 and active registry contract",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added scope, required links, and validator result."
CAN-LAM-GOV-180,Proof,"Every actionable canonical requirement must link exact observable evidence or a reasoned not-applicable decision for each required gate before its status can become complete.","Given a requirement proposed as complete, when proof validation runs, then exact evidence exists for every applicable gate and any missing or generic proof blocks completion.",I0,WP-I0-011,REVIEWED_CORRECTED,"Replaced a one-word proof field with a completion invariant.","Master Plan File 3 section 10 and tracker proof rules",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added evidence granularity and blocking behavior."
CAN-LAM-GOV-273,Keep,"For every discovered production capability, the bottom-up audit must record the exact current paths and symbols, the retained behavior, its target owner, and verification evidence before classifying it as kept.","Given the discovered production inventory, when bottom-up audit validation runs, then every kept capability has path/symbol evidence, a target owner, and a verification link.",I0,WP-I0-011,REVIEWED_CORRECTED,"Replaced a one-word audit category with the evidence needed for a keep decision.","Master Plan File 3 section 20.2",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added classification inputs and completeness validation."
CAN-LAM-GOV-274,Remove,"For every discovered legacy capability proposed for removal, the bottom-up audit must record exact paths, retained callers, replacement owner, removal condition, and absence verification before authorizing deletion.","Given the discovered production inventory, when removal-audit validation runs, then every removal row has a verified replacement and zero unresolved retained callers; otherwise deletion remains blocked.",I15,WP-I15-015,REVIEWED_CORRECTED,"Replaced a one-word audit category with replacement-before-removal evidence.","Master Plan File 3 section 20.2 and removal guardrail",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added callers, replacement, removal condition, and blocking result."
