Item type,Item ID,Review status,Provenance found,Result
requirement,CAN-FAIL-01,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-02,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-03,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-04,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-05,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-06,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-07,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-08,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-09,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-10,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-11,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-12,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-13,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-14,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-15,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-16,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-17,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-18,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-19,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-20,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-21,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-22,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-23,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-24,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-25,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-26,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-27,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-28,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-29,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-30,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-31,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-FAIL-32,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-LAM-AI-001,NOT_APPLICABLE,YES,PASS
requirement,CAN-LAM-AI-002,NOT_APPLICABLE,YES,PASS
requirement,CAN-LAM-AI-003,REVIEWED_CONFIRMED,YES,PASS
requirement,CAN-LAM-AI-004,NOT_APPLICABLE,YES,PASS
requirement,CAN-LAM-AI-005,NOT_APPLICABLE,YES,PASS
requirement,CAN-LAM-AI-006,REVIEWED_CORRECTED,YES,PASS
requirement,CAN-LAM-AI-007,NOT_APPLICABLE,YES,PASS
requirement,CAN-LAM-AI-008,REVIEWED_CONFIRMED,YES,PASS
requirement,CAN-LAM-AI-009,NOT_APPLICABLE,YES,PASS
requirement,CAN-LAM-AI-010,NOT_APPLICABLE,YES,PASS
requirement,CAN-LAM-AI-011,NOT_APPLICABLE,YES,PASS
requirement,CAN-LAM-AI-012,NOT_APPLICABLE,YES,PASS
requirement,CAN-LAM-AI-013,NOT_APPLICABLE,YES,PASS
requirement,CAN-LAM-AI-014,REVIEWED_CONFIRMED,YES,PASS
