component,owning_phase,decision_package,blocking_work_package,required_before_packages,version_status,licence_status,redistribution_status,platform_impact,packaging_impact,alternatives,final_decision_evidence,reviewer_status,selected_technology,version_rule,final_status,licence,redistribution,platform_support,offline_suitability,privacy_impact,security_impact,reason,consumer_packages,required_verification,failure_strategy,evidence,reviewer_role,review_revision,review_status,model_selection_rule
Tauri,I2,WP-I2-001,WP-I2-001,WP-I2-001;WP-I2-003;WP-I2-004;WP-I2-007;WP-I2-008;WP-I2-011,RESOLVED,APPROVED,BUNDLED_SOURCE,Windows/macOS/Linux,Bundled desktop shell; WebView platform dependency,Tauri 1; Electron,Codebase has no Tauri shell; target architecture requires Tauri 2,REVIEWED_CONFIRMED,Tauri 2,Tauri 2.x stable; exact version pinned by I0 Cargo.lock,SELECTED,MIT OR Apache-2.0,BUNDLED_SOURCE,Windows/macOS/Linux,Fully offline,Local-only; no telemetry,Capability enforcement; typed IPC,Reviewed native desktop shell,WP-I2-001;WP-I2-003;WP-I2-004;WP-I2-007;WP-I2-008;WP-I2-011,I0 manifest lock; desktop smoke launch; capability tests,Fallback: pin an older compatible Tauri release and re-run smoke proof,Codebase has no Tauri shell; target architecture requires Tauri 2,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,
Rust toolchain,I0,WP-I0-005,WP-I0-005,WP-I2-001;WP-I3-008;WP-I3-012,RESOLVED,APPROVED,BUILD_ONLY,Windows/macOS/Linux,Compiler and target triples,Rust nightly; C++ core,Codebase repository manifests available,REVIEWED_CONFIRMED,Rust stable toolchain,Exact stable version from reconciled rust-toolchain file verified by WP-I0-005,SELECTED,MIT OR Apache-2.0,BUILD_ONLY,Windows/macOS/Linux,Offline build supported,Local-only,Memory-safe boundary,Repository-declared stable toolchain,WP-I2-001;WP-I3-008;WP-I3-012,I0 toolchain inventory; build smoke,Fallback: reconcile toolchain before consumers start,Codebase repository manifests available,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,
Node/package-manager toolchain,I0,WP-I0-004,WP-I0-004,WP-I2-002;WP-I2-005,RESOLVED,APPROVED,BUILD_ONLY,Windows/macOS/Linux,Static frontend build only; no runtime server,npm/yarn; Bun,Codebase package manifests and lockfiles present,REVIEWED_CONFIRMED,Node LTS + pnpm,Exact versions from reconciled package manifests/lockfiles verified by WP-I0-004,SELECTED,MIT,BUILD_ONLY,Windows/macOS/Linux,Offline build supported,Local-only,Supply-chain pinning,Corepack with reconciled lockfile,WP-I2-002;WP-I2-005,I0 mixed-version inventory; static build proof,Fallback: reconcile manifests before static frontend work,Codebase package manifests and lockfiles present,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,
Svelte/SvelteKit,I2,WP-I2-002,WP-I2-002,WP-I2-002;WP-I2-005;WP-I2-011,RESOLVED,APPROVED,BUNDLED_SOURCE,Platform WebView compatibility,Static frontend artifacts; no server,Svelte; plain Vite; React,Codebase web package.json present,REVIEWED_CONFIRMED,SvelteKit static adapter,Exact SvelteKit version from package.json; static adapter pinned,SELECTED,MIT,BUNDLED_SOURCE,Platform WebView compatibility,Fully offline,Local-only,No server surface,Plain Svelte/Vite if server coupling remains,WP-I2-002;WP-I2-005;WP-I2-011,I0 manifest; static adapter proof,Fallback: plain Vite static build,Codebase web package.json present,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,
SQLite Rust library,I3,WP-I3-008,WP-I3-008,WP-I3-008;WP-I3-009;WP-I4-010,RESOLVED,APPROVED,BUNDLED_SOURCE,Windows/macOS/Linux,Embedded derived-index engine,sqlx; sqlite3 C binding,Codebase has no Rust core yet; target architecture specifies SQLite,REVIEWED_CONFIRMED,rusqlite,Exact crate version from Cargo.lock verified by WP-I0-005,SELECTED,MIT,BUNDLED_SOURCE,Windows/macOS/Linux,Offline,Local-only,SQL injection-safe typed layer,rusqlite with bundled SQLite,WP-I3-008;WP-I3-009;WP-I4-010,Cargo.lock; migration execution; rebuild proof,Fallback: sqlx if transaction semantics require it,Codebase has no Rust core yet; target architecture specifies SQLite,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,
FFmpeg,I4,WP-I4-005,WP-I4-005,WP-I4-005;WP-I5-004,RESOLVED,APPROVED_WITH_NOTICE,OPTIONAL_NOT_BUNDLED,Platform codec availability,No bundling in default package,ExoPlayer; VLC; pure Rust decoders,Codebase uses server-side video; desktop target uses local playback,REVIEWED_CONFIRMED,Platform media frameworks; FFmpeg optional not bundled,Not bundled; platform-native video support; optional FFmpeg binding later with licence notice,OPTIONAL_NOT_BUNDLED,LGPL/GPL review required before bundling,OPTIONAL_NOT_BUNDLED,Platform codec availability,Offline after install,Local playback,No network listener,Platform media frameworks,WP-I4-005;WP-I5-004,Platform probe/playback proof,Fallback: typed unsupported-format error,Codebase uses server-side video; desktop target uses local playback,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,
ExifTool or replacement,I4,WP-I4-008,WP-I4-008,WP-I4-008;WP-I4-010,RESOLVED,APPROVED,BUNDLED_SOURCE,Windows/macOS/Linux,No external process,ExifTool subprocess,Codebase has server metadata extraction; target uses pure Rust,REVIEWED_CONFIRMED,Pure-Rust metadata parsers (kamadak-exif plus format parsers),Exact crates from Cargo.lock; format matrix verified,SELECTED,MIT/Apache-2.0 (selected crates),BUNDLED_SOURCE,Windows/macOS/Linux,Offline,Local-only,No shell injection,kamadak-exif plus format-specific parsers,WP-I4-008;WP-I4-010,Cargo.lock; format extraction fixtures,Fallback: keep ExifTool build-only with licence review,Codebase has server metadata extraction; target uses pure Rust,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,
HEIF decoder,I4,WP-I4-004,WP-I4-004,WP-I4-004;WP-I4-009;WP-I5-003,RESOLVED,APPROVED_WITH_NOTICE,PLATFORM_PROVIDED,Windows/macOS/Linux platform APIs,No default bundling,libheif; pure Rust heif-rs,Codebase has HEIC support in mobile/server; desktop platform APIs apply,REVIEWED_CONFIRMED,Platform HEIF decoder (Windows Imaging/WebKit) with libheif optional,Platform API minimum versions; optional libheif pinned if bundled,PLATFORM_PROVIDED,Platform component; libheif LGPL if bundled,PLATFORM_PROVIDED,Windows/macOS/Linux platform APIs,Offline,Local decode,No network,Platform decoder first,WP-I4-004;WP-I4-009;WP-I5-003,Platform HEIF fixture decode,Fallback: typed unsupported-format error,Codebase has HEIC support in mobile/server; desktop platform APIs apply,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,
RAW decoder,I4,WP-I4-004,WP-I4-004,WP-I4-004;WP-I4-009;WP-I5-003,RESOLVED,APPROVED_WITH_NOTICE,OPTIONAL_NOT_BUNDLED,Camera-specific support,No default bundling,dcraw; rawloader,Codebase has server RAW support; desktop needs reviewed decoder,REVIEWED_CONFIRMED,LibRaw or reviewed Rust RAW decoder; not bundled by default,Exact decoder pinned only when bundled; camera matrix verified,OPTIONAL_NOT_BUNDLED,LGPL-2.1/CDDL review before bundling,OPTIONAL_NOT_BUNDLED,Camera-specific support,Offline,Local decode,No network,LibRaw with camera matrix or platform previews,WP-I4-004;WP-I4-009;WP-I5-003,Supported-camera fixture matrix,Fallback: typed unsupported-format error,Codebase has server RAW support; desktop needs reviewed decoder,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,
Image thumbnail library,I4,WP-I4-009,WP-I4-009,WP-I4-009;WP-I5-001;WP-I5-003,RESOLVED,APPROVED,BUNDLED_SOURCE,Windows/macOS/Linux,Bundled pure-Rust thumbnail generation,libvips; thumbnailer,Codebase has thumbnail services; target uses local generation,REVIEWED_CONFIRMED,Rust image crate,Exact crate version from Cargo.lock verified,SELECTED,MIT OR Apache-2.0,BUNDLED_SOURCE,Windows/macOS/Linux,Offline,Local-only,No external process,image crate,WP-I4-009;WP-I5-001;WP-I5-003,Cargo.lock; deterministic thumbnail fixtures,Fallback: libvips if performance requires,Codebase has thumbnail services; target uses local generation,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,
ONNX Runtime,I0,WP-I0-004,WP-I0-004,WP-I7-001;WP-I10-009;WP-I10-010;WP-I10-011,RESOLVED,APPROVED,BUNDLED_SOURCE,CPU/GPU providers per platform,Large native runtime bundled,Candle; tract; platform ML,Codebase has ML runtime; target must be local-only,REVIEWED_CONFIRMED,ONNX Runtime,Exact version/checksum from model registry verified by WP-I0-004,SELECTED,MIT,BUNDLED_SOURCE,CPU/GPU providers per platform,Offline,Local inference,No network; sandboxed worker,ONNX Runtime with provider matrix,WP-I7-001;WP-I10-009;WP-I10-010;WP-I10-011,Model registry; checksums; local-only proof,Fallback: Candle or tract if packaging proves smaller,Codebase has ML runtime; target must be local-only,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,"The default recommendation may depend on detected hardware, but every stronger model that passes the hard compatibility gate remains manually selectable. Estimated slowness alone must not make the model unavailable."
Python runtime or alternative AI host,I0,WP-I0-004,WP-I0-004,WP-I7-001;WP-I10-009;WP-I10-010,RESOLVED,REJECTED,REJECTED,Windows/macOS/Linux,No Python sidecar,Python/ONNX service,Codebase has Python ML; target explicitly Rust-native,REVIEWED_CONFIRMED,Rust-native inference host (Candle/tract); Python rejected,No Python runtime bundled; Rust-native crates pinned,REJECTED,N/A,REJECTED,Windows/macOS/Linux,Offline,Local-only,No remote host,Rust-native inference,WP-I7-001;WP-I10-009;WP-I10-010,ADR; packaging comparison; local inference proof,Fallback: revisit only if a model has no Rust-native path,Codebase has Python ML; target explicitly Rust-native,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,"The default recommendation may depend on detected hardware, but every stronger model that passes the hard compatibility gate remains manually selectable. Estimated slowness alone must not make the model unavailable."
OCR model/runtime,I10,WP-I10-009,WP-I10-009,WP-I10-009;WP-I10-011,RESOLVED,APPROVED,BUNDLED_SOURCE,Language/model coverage,Model/runtime bundled with notices,Windows OCR; EasyOCR,Codebase has OCR ML; target local,REVIEWED_CONFIRMED,Tesseract via reviewed Rust binding or ONNX OCR,Exact model card/checksum pinned in model registry,SELECTED,Apache-2.0,BUNDLED_SOURCE,Language/model coverage,Offline,Local OCR; no upload,No network,Reviewed local OCR model,WP-I10-009;WP-I10-011,Model card; checksum; language matrix,Fallback: platform OCR if licence/codec blocks,Codebase has OCR ML; target local,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,"The default recommendation may depend on detected hardware, but every stronger model that passes the hard compatibility gate remains manually selectable. Estimated slowness alone must not make the model unavailable."
Embedding model/runtime,I10,WP-I10-010,WP-I10-010,WP-I10-010;WP-I10-011,RESOLVED,APPROVED,BUNDLED_SOURCE,CPU/GPU per platform,Model/runtime bundled,Cloud embedding; CLIP variants,Codebase has ML embeddings; target local,REVIEWED_CONFIRMED,Local embedding ONNX model,Exact model card/checksum pinned in model registry,SELECTED,Model-specific; registry pins licence,BUNDLED_SOURCE,CPU/GPU per platform,Offline,Local embeddings; no upload,No network,Reviewed local embedding model,WP-I10-010;WP-I10-011,Model card; checksum; resource and offline proof,Fallback: smaller reviewed model if budget fails,Codebase has ML embeddings; target local,PASS_C_COMPONENT_REVIEWER,2026-08-06-pass-c,REVIEWED_CONFIRMED,"The default recommendation may depend on detected hardware, but every stronger model that passes the hard compatibility gate remains manually selectable. Estimated slowness alone must not make the model unavailable."
