occurrence_id,source_type,record_id,field,term,classification,text,rationale
BAR-0001,requirement,CAN-FAIL-05,source_text,backup,Legitimate future product backup feature,"FAIL-05; Creating physical directories on disk for People, Groups, Albums, or Tags.; Lacked explicit distinction between physical placement classes and virtual views.; Category folders are forbidden. Valid physical classes are dated or unknown-date normalized Event Folders, Manage Later, Linked Folders, and explicit system-controlled backup/Trash/staging/cache/overlay/export locations.; Mapped zero-category-copy safety test.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0002,requirement,CAN-FAIL-22,source_text,backup,Legitimate future product backup feature,"FAIL-22; Inventing cloud backup, S3 sync, or multi-user login screens to make the app feature-rich.; Scope limits were not enforced against creative expansion.; Scope Drift Prohibition: Zero cloud, remote sync, multi-user accounts, or server listening sockets are permitted. Local desktop only.; Linter & architectural dependency review.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0003,requirement,CAN-LAM-AI-066,statement,backup,Superseded,"The final Lamha desktop runtime must not retain or require as defined in File 1, Lamha-normalized managed storage is event-first (Year/YYYY-MM-DDEvent-Name/ or Unknown Date/Unknown-DateEvent-Name/). The only other valid placement classes are Manage Later, Linked Folders, and explicit system-controlled backup/Trash/staging/cache/overlay/export locations. A weaker coding model MUST NEVER create category folders for People, Groups, Relationships, Albums, or Tags or copy authoritative media to simulate categorization.",Inactive source trace; it cannot instruct implementation.
BAR-0004,requirement,CAN-LAM-AI-066,source_text,backup,Superseded,"As defined in File 1, Lamha-normalized managed storage is event-first (Year/YYYY-MM-DD_Event-Name/ or Unknown Date/Unknown-Date_Event-Name/). The only other valid placement classes are Manage Later, Linked Folders, and explicit system-controlled backup/Trash/staging/cache/overlay/export locations. A weaker coding model MUST NEVER create category folders for People, Groups, Relationships, Albums, or Tags or copy authoritative media to simulate categorization.",Inactive source trace; it cannot instruct implementation.
BAR-0005,requirement,CAN-LAM-AI-066,acceptance_criteria,backup,Superseded,"ACCEPT::Implementation must honor this constraint: As defined in File 1, Lamha-normalized managed storage is event-first (Year/YYYY-MM-DDEvent-Name/ or Unknown Date/Unknown-DateEvent-Name/). The only other valid placement classes are Manage Later, Linked Folders, and explicit system-controlled backup/Trash/staging/cache/overlay/export locations. A weaker coding model MUST NEVER create category folders for People, Groups, Relationships, Albums, or Tags or copy authoritative media to simulate categorization.",Inactive source trace; it cannot instruct implementation.
BAR-0006,requirement,CAN-LAM-AI-081,statement,Backup,Legitimate future product backup feature,"When AI cache rebuild participates in Phase 13 — Backup, Trash & Rebuild, the authoritative record or transaction must persist its revision and provenance before derived-index publication, and any failed write must leave a recoverable prior state.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0007,requirement,CAN-LAM-ARCH-405,statement,Backup,Legitimate future product backup feature,"When the Phase 13 — Backup, Trash & Rebuild workflow reads or changes Sidecar verification, it must preserve the value, authority, and provenance in the appropriate durable record and expose the resulting revision to the derived index. Missing, malformed, or conflicting input must be reported without discarding the last valid value.","Active product behavior concerns Lamha-managed user media or recovery data, not a planning repository copy."
BAR-0008,requirement,CAN-LAM-ASSET-019,statement,backup,Superseded,Lamha must provide Original GPS coordinates; Embedded EXIF at ingestion; Asset JSON source snapshot; SQLite index; Preserve for provenance until a reviewed privacy operation deliberately removes it from the media; the pre-mutation snapshot remains in backup.,Inactive source trace; it cannot instruct implementation.
BAR-0009,requirement,CAN-LAM-ASSET-019,source_text,backup,Superseded,Original GPS coordinates; Embedded EXIF at ingestion; Asset JSON source snapshot; SQLite index; Preserve for provenance until a reviewed privacy operation deliberately removes it from the media; the pre-mutation snapshot remains in backup.,Inactive source trace; it cannot instruct implementation.
BAR-0010,requirement,CAN-LAM-ASSET-019,acceptance_criteria,backup,Superseded,ACCEPT::Lamha must provide Original GPS coordinates; Embedded EXIF at ingestion; Asset JSON source snapshot; SQLite index; Preserve for provenance until a reviewed privacy operation deliberately removes it from the media; the pre-mutation snapshot remains in backup.,Inactive source trace; it cannot instruct implementation.
BAR-0011,requirement,CAN-LAM-ASSET-025,statement,backup,Superseded,"Recorded evidence must demonstrate: The rows above lock authority and behaviour, not serialization. Phase 1 target-schema mapping must select the exact schema-version field name and initial value, JSON key spellings, database filename, table/column/index names, and migration framework. Each authoritative JSON format requires formal validation, migration rules, backward compatibility, appropriate unknown-field preservation, future-version safety, corruption handling, backup/restore, and tests.",Inactive source trace; it cannot instruct implementation.
BAR-0012,requirement,CAN-LAM-ASSET-025,source_text,backup,Superseded,"The rows above lock authority and behaviour, not serialization. Phase 1 target-schema mapping must select the exact schema-version field name and initial value, JSON key spellings, database filename, table/column/index names, and migration framework. Each authoritative JSON format requires formal validation, migration rules, backward compatibility, appropriate unknown-field preservation, future-version safety, corruption handling, backup/restore, and tests.",Inactive source trace; it cannot instruct implementation.
BAR-0013,requirement,CAN-LAM-ASSET-034,statement,backup,Superseded,"Lamha must provide Physical Storage: Exactly one physical media file on disk per asset bundle, strictly organized under Year/YYYY-MM-DDEvent-Name/Photos/ (or Videos/, .backup/) or Unknown Date/Unknown-DateEvent-Name/.",Inactive source trace; it cannot instruct implementation.
BAR-0014,requirement,CAN-LAM-ASSET-034,source_text,backup,Superseded,"Physical Storage: Exactly one physical media file on disk per asset bundle, strictly organized under Year/YYYY-MM-DD_Event-Name/Photos/ (or Videos/, .backup/) or Unknown Date/Unknown-Date_Event-Name/.",Inactive source trace; it cannot instruct implementation.
BAR-0015,requirement,CAN-LAM-ASSET-034,acceptance_criteria,backup,Superseded,"ACCEPT::Lamha must provide Physical Storage: Exactly one physical media file on disk per asset bundle, strictly organized under Year/YYYY-MM-DDEvent-Name/Photos/ (or Videos/, .backup/) or Unknown Date/Unknown-DateEvent-Name/.",Inactive source trace; it cannot instruct implementation.
BAR-0016,requirement,CAN-LAM-ASSET-041,title,Backup,Superseded,Backup before direct media mutation,Inactive source trace; it cannot instruct implementation.
BAR-0017,requirement,CAN-LAM-ASSET-041,statement,Backup,Superseded,The final Lamha desktop runtime must not retain or require Backup before direct media mutation.,Inactive source trace; it cannot instruct implementation.
BAR-0018,requirement,CAN-LAM-ASSET-041,source_text,Backup,Superseded,Backup before direct media mutation,Inactive source trace; it cannot instruct implementation.
