component,owning_phase,decision_package,blocking_work_package,required_before_packages,version_status,licence_status,redistribution_status,platform_impact,packaging_impact,alternatives,final_decision_evidence,reviewer_status
Tauri,I2,WP-I2-001,WP-I2-001,WP-I2-003;WP-I2-004;WP-I2-007,PENDING_I0_INVENTORY,PENDING,PENDING,Windows/macOS/Linux shell and capability behavior,Rust/WebView bundle and platform installers,Reviewed native shells,"Pinned manifest, licence text, platform launch proof",REVIEWED_CORRECTED
Rust toolchain,I0,WP-I0-005,WP-I0-005,WP-I2-001;WP-I3-008,PENDING_REPOSITORY_PROOF,PENDING,BUILD_ONLY_PENDING,All targets,"Compiler, target triples, native dependencies",Repository-declared stable toolchain,rust-toolchain/manifest reconciliation and successful focused build,REVIEWED_CORRECTED
Node/package-manager toolchain,I0,WP-I0-004,WP-I0-004,WP-I2-002,PENDING_REPOSITORY_PROOF,PENDING,BUILD_ONLY_PENDING,All targets,Static frontend build only; no runtime server,Corepack with reconciled repository declaration,Manifest-lockfile reconciliation and static build proof,REVIEWED_CORRECTED
Svelte/SvelteKit,I2,WP-I2-002,WP-I2-002,WP-I2-011;WP-I2-003,PENDING_I0_INVENTORY,PENDING,BUNDLED_SOURCE_PENDING,Platform WebView compatibility,Static frontend artifacts,Plain Svelte/Vite if server coupling cannot be removed,"Pinned manifest, static adapter proof, licence evidence",REVIEWED_CORRECTED
SQLite Rust library,I3,WP-I3-008,WP-I3-008,WP-I4-010;WP-I4-001,PENDING,PENDING,PENDING,Native library/toolchain variance,Bundled derived-index engine,rusqlite or sqlx-sqlite,"ADR, pinned crate, migration execution and rebuild proof",REVIEWED_CORRECTED
FFmpeg,I4,WP-I4-005,WP-I4-005,WP-I5-004;WP-I4-009,PENDING,PENDING,PENDING,Codec and hardware support differs by platform,"Native binary size, notices, codec redistribution",Platform media frameworks or reviewed ffmpeg binding,"ADR, exact build/version, notices, platform probe/playback proof",REVIEWED_CORRECTED
ExifTool or replacement,I4,WP-I4-008,WP-I4-008,WP-I11-001,PENDING,PENDING,PENDING,Process and path behavior differs,Sidecar binary or pure-Rust parsers,kamadak-exif plus format-specific parsers,"ADR, format matrix, pinned version, licence and extraction proof",REVIEWED_CORRECTED
HEIF decoder,I4,WP-I4-004,WP-I4-004,WP-I4-009;WP-I5-003,PENDING,PENDING,PENDING,OS codec availability and color handling,Native decoder and patent/licence review,Platform ImageIO/WIC or libheif,"ADR, licence review, HEIF fixture decode and platform proof",REVIEWED_CORRECTED
RAW decoder,I4,WP-I4-004,WP-I4-004,WP-I4-009;WP-I5-003,PENDING,PENDING,PENDING,Camera profiles and platform variance,Native library and camera profiles,LibRaw or reviewed Rust decoder,"ADR, supported-camera matrix, licence and fixture proof",REVIEWED_CORRECTED
Image thumbnail library,I4,WP-I4-009,WP-I4-009,WP-I5-001;WP-I5-003,PENDING,PENDING,PENDING,SIMD and format support differs,Bundled Rust/native dependency,image or libvips,"ADR, pinned version, licence, deterministic preview tests",REVIEWED_CORRECTED
ONNX Runtime,I0,WP-I0-004,WP-I0-004,WP-I7-001;WP-I10-009;WP-I10-010,PENDING_I0_INVENTORY,PENDING,PENDING,CPU/GPU providers differ,Large native runtime,"Candle, tract, or platform ML APIs","I0 ADR, provider matrix, version/checksum, licence and local-only proof before I7/I10 consumers",REVIEWED_CORRECTED
Python runtime or alternative AI host,I0,WP-I0-004,WP-I0-004,WP-I7-001;WP-I10-009;WP-I10-010,PENDING_OPTIONAL,PENDING,PENDING,Embedding differs by platform,Potential sidecar/runtime size,Rust-native inference worker,"I0 worker-host ADR, pinned runtime if selected, packaging and licence proof before I7/I10 consumers",REVIEWED_CORRECTED
OCR model/runtime,I10,WP-I10-009,WP-I10-009,WP-I10-009,PENDING,PENDING,PENDING,Language/model coverage,"Model checksum, notices, size",Tesseract or reviewed ONNX OCR,"Model card, checksum, licence, language matrix and offline fixture proof",REVIEWED_CORRECTED
Embedding model/runtime,I10,WP-I10-010,WP-I10-010,WP-I10-010,PENDING,PENDING,PENDING,Acceleration and memory differ,Model/runtime size,Reviewed local embedding model,"Model card, checksum, licence, resource and offline proof",REVIEWED_CORRECTED
Face model/runtime,I7,WP-I7-001,WP-I7-001,WP-I7-002;WP-I7-003,PENDING,PENDING,PENDING,CPU/GPU and sensitive-data handling,Model/runtime packaging and privacy,Reviewed local detector/embedding pair,"Model cards, checksums, licences, privacy and platform proof",REVIEWED_CORRECTED
Platform WebView dependencies,I2,WP-I2-003,WP-I2-003,WP-I2-013,PENDING_PLATFORM_INVENTORY,OS_COMPONENT_REVIEW_PENDING,OS_COMPONENT,WebView2/WebKit/WKWebView,Installer prerequisite/minimum-version checks,Bundled WebView where legally and technically appropriate,"Per-platform minimums, prerequisite detection and launch proof",REVIEWED_CORRECTED
Installer/signing tools,I15,WP-I15-005,WP-I15-005,WP-I15-001,PENDING,PENDING,BUILD_ONLY_PENDING,Platform-specific certificates/notarization,Release pipeline and provenance,Tauri bundler plus native signing tools,"Per-platform signing ADR, tool versions and signed-package verification",REVIEWED_CORRECTED
