Package ID,Name,Phase,Requirement count,Capability list,Review result,Boundary exception required,Shared architectural boundary,Why one package safer than splitting,Shared contracts/schemas,Shared tests,Final decision,Reviewer rationale
WP-I0-011,Active-plan authority adoption,I0,22,Active-plan authority adoption;Planning and verification governance;Repository proof and feasibility,PASS,YES,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.","Members span 3 capabilities but operate on the same Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface; they share contracts (Planning tracker and completion-status contracts) and schemas (Completion tracker and planning evidence records), so one package is safer than splitting.",Planning tracker and completion-status contracts | Completion tracker and planning evidence records,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates. Risk-gate obligations: R-30/CAN-LAM-RISK-TEST-030 executes 'Per-phase simplicity review'; R-32/CAN-LAM-RISK-TEST-032 executes 'Audit prompt/output'.",KEEP_WITH_COHESION_BOUNDARY_EXCEPTION,"WP-I0-011 remains cohesive because CAN-LAM-TEST-020 plus R-30/R-32 exercise governance mapping, bounded-package simplicity, and blocked-item protocol at the same tracker/evidence authority boundary; downstream product mitigation tests remain excluded."
WP-I10-011,Duplicate and similarity candidates,I10,21,Albums and favorites;Duplicates;Metadata;Tags,PASS,YES,All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.,"Package holds 21 requirements; all members share the Duplicate/similarity detection, comparison evidence, reviewable candidates, burst grouping, and duplicate data control boundary, contracts (Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts), and schemas (Duplicate candidate, comparison evidence, burst group, and similarity projection records). Splitting would duplicate the shared validation, revision, and transaction behavior without separating engineering work.","Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts | Duplicate candidate, comparison evidence, burst group, and similarity projection records","Fixture suite covering hash/similarity detection, comparison evidence for each dimension, burst grouping, preview, retained selection, no-auto-delete/merge, and similarity-data rebuild.",KEEP_WITH_COHESION_REVIEW,"WP-I10-011 is retained as one bounded package because its requirements all execute the Duplicate/similarity detection, comparison evidence, reviewable candidates, burst grouping, and duplicate data control surface; the cohesion rationale 'All members produce or compare duplicate/similarity evidence and keep every destructive outcome behind explicit review/plan approval.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I11-010,Metadata snapshots and restore,I11,5,Asset identity and records;Duplicates;Editing;Metadata,PASS,YES,"Reviewed cross-capability package: Metadata snapshots and restore is a shared architectural surface used by Duplicates, Editing, Metadata. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 4 capabilities but operate on the same Metadata snapshots and restore surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for metadata snapshots and restore; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I11-010 is retained as one bounded package because its requirements all execute the Metadata snapshots and restore surface; the cohesion rationale 'Reviewed cross-capability package: Metadata snapshots and restore is a shared architectural surface used by Duplicates, Editing, Metadata. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I14-003,Gallery and viewer performance,I14,5,Asset viewer;Desktop shell;Gallery and timeline,PASS,YES,"The package is bounded to the gallery and viewer performance architectural surface and its direct contracts, records, and tests.","Members span 3 capabilities but operate on the same Gallery and viewer performance surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for gallery and viewer performance; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I14-003 is retained as one bounded package because its requirements all execute the Gallery and viewer performance surface; the cohesion rationale 'The package is bounded to the gallery and viewer performance architectural surface and its direct contracts, records, and tests.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I14-013,Accessibility semantics and keyboard operation,I14,4,Desktop shell;Gallery and timeline;Metadata;People and faces,PASS,YES,All members require equivalent accessible actions and state for pointer-driven surfaces.,"Members span 4 capabilities but operate on the same Accessibility semantics and keyboard operation surface; they share contracts (Accessibility semantics contracts) and schemas (Accessibility evidence records), so one package is safer than splitting.",Accessibility semantics contracts | Accessibility evidence records,Keyboard-only and screen-reader fixtures for every reviewed surface.,KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I14-013 is retained as one bounded package because its requirements all execute the Accessibility semantics and keyboard operation surface; the cohesion rationale 'All members require equivalent accessible actions and state for pointer-driven surfaces.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I3-001,Authoritative record envelope,I3,31,Filesystem transactions and recovery;Local data authority;Metadata;Planning and verification governance;Sidecars and metadata authority,PASS,YES,"Reviewed cross-capability package: Authoritative record envelope is a shared architectural surface used by Filesystem transactions and recovery, Local data authority, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Package holds 31 requirements; all members share the Authoritative record envelope boundary, contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.), and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.). Splitting would duplicate the shared validation, revision, and transaction behavior without separating engineering work.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for authoritative record envelope; affected integration checks.",KEEP_WITH_COHESION_REVIEW,"WP-I3-001 is retained as one bounded package because its requirements all execute the Authoritative record envelope surface; the cohesion rationale 'Reviewed cross-capability package: Authoritative record envelope is a shared architectural surface used by Filesystem transactions and recovery, Local data authority, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I3-006,Sidecar write protocol,I3,3,Metadata;Sidecar write protocol;Sidecars and metadata authority,PASS,YES,All members concern writing or separating authoritative sidecar content without corrupting existing bytes.,"Members span 3 capabilities but operate on the same Sidecar write protocol and authoritative sidecar separation surface; they share contracts (Sidecar write protocol contracts) and schemas (Asset and XMP sidecar records), so one package is safer than splitting.",Sidecar write protocol contracts | Asset and XMP sidecar records,"Fixture suite covering JSON/XMP writes, schema validation failure preservation, mirror alignment, and index separation.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I3-006 is retained as one bounded package because its requirements all execute the Sidecar write protocol and authoritative sidecar separation surface; the cohesion rationale 'All members concern writing or separating authoritative sidecar content without corrupting existing bytes.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I3-008,SQLite migration framework,I3,9,Asset identity and records;Filesystem transactions and recovery;Local data authority;Metadata;Sidecars and metadata authority,PASS,YES,"Reviewed cross-capability package: SQLite migration framework is a shared architectural surface used by Asset identity and records, Filesystem transactions and recovery, Local data authority, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 5 capabilities but operate on the same SQLite migration framework surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for sqlite migration framework; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I3-008 is retained as one bounded package because its requirements all execute the SQLite migration framework surface; the cohesion rationale 'Reviewed cross-capability package: SQLite migration framework is a shared architectural surface used by Asset identity and records, Filesystem transactions and recovery, Local data authority, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I3-009,Derived-index rebuild contract,I3,9,Derived-index rebuild contract;Filesystem transactions and recovery;Local data authority;Sidecars and metadata authority,PASS,YES,"Reviewed cross-capability package: Derived-index rebuild contract is a shared architectural surface used by Filesystem transactions and recovery, Local data authority, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.","Members span 4 capabilities but operate on the same Derived-index rebuild contract surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for derived-index rebuild contract; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I3-009 is retained as one bounded package because its requirements all execute the Derived-index rebuild contract surface; the cohesion rationale 'Reviewed cross-capability package: Derived-index rebuild contract is a shared architectural surface used by Filesystem transactions and recovery, Local data authority, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
WP-I3-011,File-operation plan contract,I3,11,File-operation plan contract;Filesystem transactions and recovery;Local data authority,PASS,YES,"The package is bounded to the file-operation plan contract architectural surface and its direct contracts, records, and tests.","Members span 3 capabilities but operate on the same File-operation plan contract surface; they share contracts (Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.) and schemas (Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.), so one package is safer than splitting.",Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified. | Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,"Focused success, boundary, and failure tests for file-operation plan contract; affected integration checks.",KEEP_WITH_BOUNDARY_EXCEPTION,"WP-I3-011 is retained as one bounded package because its requirements all execute the File-operation plan contract surface; the cohesion rationale 'The package is bounded to the file-operation plan contract architectural surface and its direct contracts, records, and tests.' and the shared contracts/schemas confirm this is a real architectural boundary, not a leftover collection."
