Package ID,Requirement ID,Capability,Exact architectural owner,Exact shared implementation mechanism,Exact shared files,Exact shared contracts,Exact shared schemas,Exact shared command handlers,Exact shared state,Exact shared tests,Exact shared recovery behaviour,Alternative package,Final keep/move decision,Item-specific rationale,Reviewer role,Review revision,Review status
WP-I0-011,CAN-FAIL-02,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/packages/ui/lib/src/previews/password_input.dart;Codebase/server/test/repositories/config.repository.mock.ts;Codebase/server/test/repositories/metadata.repository.mock.ts;Codebase/server/test/repositories/system-metadata.repository.mock.ts,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,,reviewed package state,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Tracker updates are journaled; failed validation preserves the prior revision.,,KEEP,"Requirement CAN-FAIL-02 shares the Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface and reviewed package evidence with 20 other members.",PASS_B_MULTI_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I0-011,CAN-FAIL-19,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/android/app/src/main/kotlin/app/alextran/immich/sync/MediaTrashDelegate.kt;Codebase/mobile/integration_test/module_login/login_input_validation_test.dart;Codebase/mobile/lib/widgets/settings/asset_viewer_settings/image_viewer_tap_to_navigate_setting.dart;Codebase/mobile/test/presentation/widgets/images/cache_aware_listener_tracker_mixin_test.dart,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,,reviewed package state,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Tracker updates are journaled; failed validation preserves the prior revision.,,KEEP,"Requirement CAN-FAIL-19 shares the Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface and reviewed package evidence with 20 other members.",PASS_B_MULTI_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I0-011,CAN-FAIL-23,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/server/src/schema/migrations/1776332807985-SetOAuthAllowInsecureRequests.ts;Codebase/server/src/services/storage.service.ts;Codebase/web/src/lib/components/layouts/AuthPageLayout.svelte;Codebase/web/src/lib/components/shared-components/side-bar/UserSidebar.svelte,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,,reviewed package state,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Tracker updates are journaled; failed validation preserves the prior revision.,,KEEP,"Requirement CAN-FAIL-23 shares the Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface and reviewed package evidence with 20 other members.",PASS_B_MULTI_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I0-011,CAN-FAIL-24,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/openapi/lib/model/asset_metadata_upsert_dto.dart;Codebase/mobile/openapi/lib/model/search_album_response_dto.dart;Codebase/open-api/templates/mobile/serialization/native/native_class_nullable_items_in_arrays.patch;Codebase/web/src/lib/components/shared-components/tree/TreeItems.svelte,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,,reviewed package state,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Tracker updates are journaled; failed validation preserves the prior revision.,,KEEP,"Requirement CAN-FAIL-24 shares the Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface and reviewed package evidence with 20 other members.",PASS_B_MULTI_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I0-011,CAN-FAIL-27,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/test/medium/repositories/backup_repository_test.dart;Codebase/mobile/test/medium/repositories/settings_repository_test.dart;Codebase/mobile/test/medium/repositories/timeline_repository_test.dart;Codebase/mobile/test/unit/repositories/settings_repository_test.dart,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,,reviewed package state,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Tracker updates are journaled; failed validation preserves the prior revision.,,KEEP,"Requirement CAN-FAIL-27 shares the Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface and reviewed package evidence with 20 other members.",PASS_B_MULTI_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I0-011,CAN-FAIL-32,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/lib/widgets/forms/pin_verification_form.dart;Codebase/server/src/utils/workflow.ts;Codebase/server/test/medium/specs/services/workflow.service.spec.ts;Codebase/server/test/medium/specs/workflow/workflow-core-plugin.spec.ts,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,,reviewed package state,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Tracker updates are journaled; failed validation preserves the prior revision.,,KEEP,"Requirement CAN-FAIL-32 shares the Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface and reviewed package evidence with 20 other members.",PASS_B_MULTI_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I0-011,CAN-LAM-ARCH-444,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,,reviewed package state,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Tracker updates are journaled; failed validation preserves the prior revision.,,KEEP,"Requirement CAN-LAM-ARCH-444 shares the Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface and reviewed package evidence with 20 other members.",PASS_B_MULTI_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I0-011,CAN-LAM-GOV-052,Planning and verification governance,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/server/src/dtos/user-preferences.dto.ts;Codebase/server/src/utils/preferences.ts;Codebase/web/src/lib/stores/preferences.store.ts;Codebase/web/src/test-data/factories/preferences-factory.ts,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,,reviewed package state,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Tracker updates are journaled; failed validation preserves the prior revision.,,KEEP,"Requirement CAN-LAM-GOV-052 shares the Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface and reviewed package evidence with 20 other members.",PASS_B_MULTI_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I0-011,CAN-LAM-GOV-054,Planning and verification governance,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/lib/services/download.service.dart;Codebase/mobile/packages/ui/test/formatted_text_test.dart;Codebase/web/src/lib/managers/timeline-manager/timeline-day.svelte.ts;Codebase/web/src/lib/utils/cast/gcast-destination.svelte.ts,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,,reviewed package state,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Tracker updates are journaled; failed validation preserves the prior revision.,,KEEP,"Requirement CAN-LAM-GOV-054 shares the Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface and reviewed package evidence with 20 other members.",PASS_B_MULTI_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I0-011,CAN-LAM-GOV-165,Planning and verification governance,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/docs/docs/install/requirements.md;Codebase/mobile/lib/widgets/common/feature_check.dart;Codebase/server/src/repositories/move.repository.ts;Codebase/server/src/services/storage-template.service.ts,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,,reviewed package state,"Fixture suite asserting requirement/package status transitions require evidence, tracker revisions are preserved, planning passes reject incomplete maps, and stubs cannot satisfy gates.",Tracker updates are journaled; failed validation preserves the prior revision.,,KEEP,"Requirement CAN-LAM-GOV-165 shares the Active-plan authority, completion tracker, evidence gates, and planning pass obligations surface and reviewed package evidence with 20 other members.",PASS_B_MULTI_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
