Package ID,Canonical ID,Candidate placement,Final placement,Exact authority owner,Exact implementation owner,Exact shared mechanism,Exact Codebase evidence,Exact contract evidence,Exact schema evidence,Exact test evidence,Exact failure/recovery evidence,Alternative considered,Final decision,Item-specific rationale,Evidence sources,Reviewer role,Review revision,Verification status
WP-I0-011,CAN-FAIL-02,WP-I0-011,WP-I0-011,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/packages/ui/lib/src/previews/password_input.dart;Codebase/server/test/repositories/config.repository.mock.ts;Codebase/server/test/repositories/metadata.repository.mock.ts;Codebase/server/test/repositories/system-metadata.repository.mock.ts,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,No-placeholder production behavior gate.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-FAIL-02 source locator lines 99-99 and Codebase evidence ['Codebase/mobile/packages/ui/lib/src/previews/password_input.dart', 'Codebase/server/test/repositories/config.repository.mock.ts'] support placement in WP-I0-011.",requirements.csv:lines 99-99; reviewed-actionable-requirements-v3.csv:CAN-FAIL-02; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I3-006,CAN-FAIL-04,WP-I3-006,WP-I3-006,Sidecar write protocol,Sidecar write protocol,All members concern writing or separating authoritative sidecar content without corrupting existing bytes.,Codebase/docs/docs/features/xmp-sidecars.md;Codebase/server/src/schema/migrations/1764698859174-SidecarInAssetFile.ts;Codebase/web/src/lib/components/AssetViewerEvents.svelte;Codebase/web/src/lib/components/sharedlinks-page/covers/__tests__/AssetCover.spec.ts,Sidecar write protocol contracts,Asset and XMP sidecar records,Sidecar coexistence and reconciliation gate.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-FAIL-04 source locator lines 101-101 and Codebase evidence ['Codebase/docs/docs/features/xmp-sidecars.md', 'Codebase/server/src/schema/migrations/1764698859174-SidecarInAssetFile.ts'] support placement in WP-I3-006.",requirements.csv:lines 101-101; reviewed-actionable-requirements-v3.csv:CAN-FAIL-04; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I6-009,CAN-FAIL-05,WP-I6-009,WP-I6-009,Event filesystem materialization plan,Event filesystem materialization plan,"The package is bounded to the event filesystem materialization plan architectural surface and its direct contracts, records, and tests.",Codebase/mobile/lib/domain/services/sync_linked_album.service.dart;Codebase/web/src/lib/managers/event-manager.svelte.ts;Codebase/web/src/lib/utils/base-event-manager.svelte.ts;Codebase/web/src/routes/(user)/people/manage/ManagePeopleVisibility.test-wrapper.svelte,"Contracts affected by requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058...; schema paths are resolved in the package packet.",Zero-category-folder materialization gate.,Explicit failure/preservation clause in the statement is preserved; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-FAIL-05 source locator lines 102-102 and Codebase evidence ['Codebase/mobile/lib/domain/services/sync_linked_album.service.dart', 'Codebase/web/src/lib/managers/event-manager.svelte.ts'] support placement in WP-I6-009.",requirements.csv:lines 102-102; reviewed-actionable-requirements-v3.csv:CAN-FAIL-05; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I3-009,CAN-FAIL-10,WP-I3-009,WP-I3-009,Derived-index rebuild contract,Derived-index rebuild contract,"Reviewed cross-capability package: Derived-index rebuild contract is a shared architectural surface used by Filesystem transactions and recovery, Local data authority, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/mobile/openapi/lib/model/sync_album_to_asset_delete_v1.dart;Codebase/server/src/schema/migrations/1750780093818-AddAlbumToAssetDeleteTrigger.ts;Codebase/server/test/medium/specs/sync/sync-album-asset.spec.ts;Codebase/server/test/medium/specs/sync/sync-album-to-asset.spec.ts,"Contracts affected by requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-10, CAN-LAM-AI-006, CAN-LAM-AI-027, CAN-LAM-ASSET-040, CAN-LAM-ASSET-044, CAN-LAM-EVENT-005, CAN-LAM-INV-META-03, CAN-LAM-META-032...; schema paths are resolved in the package packet.",Derived-index rebuild and decision-survival gate.,Explicit failure/preservation clause in the statement is preserved; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-FAIL-10 source locator lines 107-107 and Codebase evidence ['Codebase/mobile/openapi/lib/model/sync_album_to_asset_delete_v1.dart', 'Codebase/server/src/schema/migrations/1750780093818-AddAlbumToAssetDeleteTrigger.ts'] support placement in WP-I3-009.",requirements.csv:lines 107-107; reviewed-actionable-requirements-v3.csv:CAN-FAIL-10; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I6-009,CAN-FAIL-11,WP-I6-009,WP-I6-009,Event filesystem materialization plan,Event filesystem materialization plan,"The package is bounded to the event filesystem materialization plan architectural surface and its direct contracts, records, and tests.",Codebase/machine-learning/test_main.py;Codebase/mobile/test/modules/map/map_theme_override_test.dart;Codebase/web/src/lib/assets/empty-folders.svg;Codebase/web/src/lib/components/AssetViewerEvents.svelte,"Contracts affected by requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-05, CAN-FAIL-11, CAN-LAM-ARCH-037, CAN-LAM-ASSET-070, CAN-LAM-EVENT-002, CAN-LAM-EVENT-045, CAN-LAM-EVENT-057, CAN-LAM-EVENT-058...; schema paths are resolved in the package packet.",Linked-folder immobility gate.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-FAIL-11 source locator lines 108-108 and Codebase evidence ['Codebase/machine-learning/test_main.py', 'Codebase/mobile/test/modules/map/map_theme_override_test.dart'] support placement in WP-I6-009.",requirements.csv:lines 108-108; reviewed-actionable-requirements-v3.csv:CAN-FAIL-11; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I8-007,CAN-FAIL-12,WP-I8-007,WP-I8-007,Photographer camera-owner importer attribution,Photographer camera-owner importer attribution,"The package is bounded to the photographer camera-owner importer attribution architectural surface and its direct contracts, records, and tests.",Codebase/server/src/dtos/system-metadata.dto.ts;Codebase/server/src/services/metadata.service.spec.ts;Codebase/server/src/services/metadata.service.ts;Codebase/web/src/lib/utils/duplicate-utils.ts,"Contracts affected by requirements CAN-FAIL-12, CAN-LAM-ARCH-177, CAN-LAM-ARCH-390, CAN-LAM-ASSET-013, CAN-LAM-ASSET-037, CAN-LAM-ASSET-060, CAN-LAM-ASSET-066, CAN-LAM-ASSET-088...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-12, CAN-LAM-ARCH-177, CAN-LAM-ARCH-390, CAN-LAM-ASSET-013, CAN-LAM-ASSET-037, CAN-LAM-ASSET-060, CAN-LAM-ASSET-066, CAN-LAM-ASSET-088...; schema paths are resolved in the package packet.",Attribution role-separation gate.,Explicit failure/preservation clause in the statement is preserved; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-FAIL-12 source locator lines 109-109 and Codebase evidence ['Codebase/server/src/dtos/system-metadata.dto.ts', 'Codebase/server/src/services/metadata.service.spec.ts'] support placement in WP-I8-007.",requirements.csv:lines 109-109; reviewed-actionable-requirements-v3.csv:CAN-FAIL-12; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I6-002,CAN-FAIL-13,WP-I6-002,WP-I6-002,Event authoritative records,Event authoritative records,"All members define, persist, or project authoritative event records and keep them consistent with reviewed schemas.",Codebase/web/src/lib/components/AssetViewerEvents.svelte;Codebase/web/src/lib/components/asset-viewer/PhotoViewer.svelte;Codebase/web/src/routes/(user)/people/[personId]/[[photos=photos]]/[[assetId=id]]/+page.svelte;Codebase/web/src/routes/(user)/people/[personId]/[[photos=photos]]/[[assetId=id]]/+page.ts,Event authoritative record and projection contracts,Event record and event projection schemas,Attendee-versus-visible-person separation gate.,Typed failure result; no partial authoritative state is claimed; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-FAIL-13 source locator lines 110-110 and Codebase evidence ['Codebase/web/src/lib/components/AssetViewerEvents.svelte', 'Codebase/web/src/lib/components/asset-viewer/PhotoViewer.svelte'] support placement in WP-I6-002.",requirements.csv:lines 110-110; reviewed-actionable-requirements-v3.csv:CAN-FAIL-13; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I7-007,CAN-FAIL-15,WP-I7-007,WP-I7-007,Group identity model,Group identity model,"The package is bounded to the group identity model architectural surface and its direct contracts, records, and tests.",Codebase/mobile/lib/widgets/settings/asset_list_settings/asset_list_group_settings.dart;Codebase/server/src/dtos/duplicate.dto.ts;Codebase/server/src/schema/migrations/1775165531374-AddPersonNameTrigramIndex.ts;Codebase/web/src/lib/utils/album-utils.ts,"Contracts affected by requirements CAN-FAIL-15, CAN-LAM-ARCH-120, CAN-LAM-ARCH-383, CAN-LAM-ARCH-384, CAN-LAM-EVENT-041, CAN-LAM-INV-PERSON-01, CAN-LAM-PERSON-010, CAN-LAM-PERSON-013...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-15, CAN-LAM-ARCH-120, CAN-LAM-ARCH-383, CAN-LAM-ARCH-384, CAN-LAM-EVENT-041, CAN-LAM-INV-PERSON-01, CAN-LAM-PERSON-010, CAN-LAM-PERSON-013...; schema paths are resolved in the package packet.",Nested-group and cycle-rejection gate.,Typed failure result; no partial authoritative state is claimed; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-FAIL-15 source locator lines 112-112 and Codebase evidence ['Codebase/mobile/lib/widgets/settings/asset_list_settings/asset_list_group_settings.dart', 'Codebase/server/src/dtos/duplicate.dto.ts'] support placement in WP-I7-007.",requirements.csv:lines 112-112; reviewed-actionable-requirements-v3.csv:CAN-FAIL-15; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I6-008,CAN-FAIL-17,WP-I6-008,WP-I6-008,Date and location boundaries,Date and location boundaries,"Reviewed cross-capability package: Date and location boundaries is a shared architectural surface used by Events and organization, Libraries and storage, Map and location. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Codebase/mobile/lib/domain/models/events.model.dart;Codebase/mobile/openapi/lib/model/folders_update.dart;Codebase/mobile/test/modules/extensions/datetime_extensions_test.dart;Codebase/mobile/test/modules/utils/datetime_helpers_test.dart,"Contracts affected by requirements CAN-FAIL-17, CAN-LAM-ARCH-036, CAN-LAM-ARCH-054, CAN-LAM-ASSET-038, CAN-LAM-ASSET-047, CAN-LAM-EVENT-009, CAN-LAM-EVENT-020, CAN-LAM-EVENT-021...; registry references are resolved in the package packet.","Schemas affected by requirements CAN-FAIL-17, CAN-LAM-ARCH-036, CAN-LAM-ARCH-054, CAN-LAM-ASSET-038, CAN-LAM-ASSET-047, CAN-LAM-EVENT-009, CAN-LAM-EVENT-020, CAN-LAM-EVENT-021...; schema paths are resolved in the package packet.",Midnight continuity and suggestion-only gate.,Typed failure result; no partial authoritative state is claimed; Explicit preservation clause in the statement is preserved,,VERIFIED,"Requirement CAN-FAIL-17 source locator lines 114-114 and Codebase evidence ['Codebase/mobile/lib/domain/models/events.model.dart', 'Codebase/mobile/openapi/lib/model/folders_update.dart'] support placement in WP-I6-008.",requirements.csv:lines 114-114; reviewed-actionable-requirements-v3.csv:CAN-FAIL-17; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
WP-I0-011,CAN-FAIL-19,WP-I0-011,WP-I0-011,Active-plan authority adoption,Active-plan authority adoption,"Every member governs planning execution authority, evidence completion, or audit completeness rather than a product feature.",Codebase/mobile/android/app/src/main/kotlin/app/alextran/immich/sync/MediaTrashDelegate.kt;Codebase/mobile/integration_test/module_login/login_input_validation_test.dart;Codebase/mobile/lib/widgets/settings/asset_viewer_settings/image_viewer_tap_to_navigate_setting.dart;Codebase/mobile/test/presentation/widgets/images/cache_aware_listener_tracker_mixin_test.dart,Planning tracker and completion-status contracts,Completion tracker and planning evidence records,Tracker proof-linkage gate.,Typed failure result; no partial authoritative state is claimed; No unrelated authoritative state is modified,,VERIFIED,"Requirement CAN-FAIL-19 source locator lines 116-116 and Codebase evidence ['Codebase/mobile/android/app/src/main/kotlin/app/alextran/immich/sync/MediaTrashDelegate.kt', 'Codebase/mobile/integration_test/module_login/login_input_validation_test.dart'] support placement in WP-I0-011.",requirements.csv:lines 116-116; reviewed-actionable-requirements-v3.csv:CAN-FAIL-19; code_evidence_references,PASS_B_INDEPENDENT_EVIDENCE_REVIEWER,2026-08-06-pass-b-v2,VERIFIED
