work_package_id,prerequisite_work_package_id,dependency_type,technical_rationale,evidence,review_status,reviewer_type,review_revision,reviewer_status,artificial_adjacency
WP-I0-002,WP-I0-001,REQUIRES_PROVENANCE,Git-state inspection uses the resolved repository identity and read-only boundary established by the provenance baseline.,I0 provenance and Git-state package boundaries,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-003,WP-I0-001,REQUIRES_PROVENANCE,The repository hash manifest requires the resolved roots and exclusion boundary from the provenance baseline.,I0 integrity baseline,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-004,WP-I0-001,REQUIRES_PROVENANCE,Manifest conflict analysis requires the existing-file inventory and repository identity before comparing declarations.,I0 manifest investigation,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-005,WP-I0-004,REQUIRES_DECISION,Toolchain inventory must interpret the reviewed manifest and lockfile conflicts rather than assume a toolchain.,Toolchain and mixed-version packages,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-006,WP-I0-001,REQUIRES_PROVENANCE,Build-output isolation rules require the read-only repository provenance and integrity boundary to be recorded first; no repository copy or build is created by either package.,Prior curated dependency source: Build-output isolation rules require the read-only repository provenance and integrity boundary to be recorded first; no repository copy or build is created by either package.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I0-007,WP-I0-004,REQUIRES_PLATFORM_PROOF,Build proof requires resolution of manifest and lockfile version conflicts.,Prior curated dependency source: Build proof requires resolution of manifest and lockfile version conflicts.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I0-007,WP-I0-005,REQUIRES_RUNTIME,A baseline build requires the repository-declared toolchain inventory.,Prior curated dependency source: A baseline build requires the repository-declared toolchain inventory.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I0-008,WP-I0-001,REQUIRES_PROVENANCE,Missing-fixture classification requires the complete existing-file inventory to distinguish absence from an excluded path.,I0 fixture classification,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-009,WP-I0-001,REQUIRES_PROVENANCE,Frontend coupling inventory requires the resolved read-only repository corpus and exact current paths.,I0 frontend inventory,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-010,WP-I0-001,REQUIRES_PROVENANCE,Outbound and commercial integration inventory requires the complete resolved repository corpus.,I0 outbound inventory,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I0-011,WP-I0-001,REQUIRES_PROVENANCE,Active-plan authority adoption depends on the proven read/write boundary and repository identity.,I0 plan authority,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I1-001,WP-I0-001,REQUIRES_PROVENANCE,Brand inventory must inspect the proven existing corpus before any visible or package identity changes.,Brand inventory scope,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I1-002,WP-I1-001,REQUIRES_DECISION,Visible rebranding requires the reviewed brand and identity inventory.,Brand decision boundary,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I1-003,WP-I1-001,REQUIRES_DECISION,Package and bundle identity must use the same reviewed canonical brand identity.,Package identity decision,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I1-004,WP-I1-001,REQUIRES_DECISION,Brand asset replacement requires the approved asset inventory and canonical identity.,Brand asset inventory,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I1-005,WP-I1-001,REQUIRES_PROVENANCE,Licence and attribution preservation requires the complete brand and legal-file inventory.,Legal and attribution inventory,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-001,WP-I2-007,REQUIRES_SECURITY_BOUNDARY,"Rust owns worker launch, transport, and cancellation.","Prior curated dependency source: Rust owns worker launch, transport, and cancellation.",REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-002,WP-I10-001,REQUIRES_AI_WORKER,Private local transport requires the Rust-owned worker lifecycle and cancellation authority.,AI worker protocol,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-003,WP-I0-005,REQUIRES_COMPONENT_DECISION,Runtime/model feasibility starts from the I0 component inventory.,Prior curated dependency source: Runtime/model feasibility starts from the I0 component inventory.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-004,WP-I10-003,REQUIRES_MODEL_REGISTRY,Model checksums and compatibility are properties of versioned model registry entries.,Model registry schema,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-005,WP-I10-003,REQUIRES_MODEL_REGISTRY,Hardware assessment evaluates the runtime requirements declared by model registry entries.,Model registry component requirements,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-006,WP-I10-001,REQUIRES_AI_WORKER,The local scheduler requires a supervised worker lifecycle and typed cancellation.,AI worker lifecycle,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-007,WP-I10-001,REQUIRES_WORKER,Task state is enforced by the owned worker lifecycle.,Prior curated dependency source: Task state is enforced by the owned worker lifecycle.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-008,WP-I10-007,REQUIRES_SCHEMA,"Progress, retry, and cancellation require durable per-task queue identity and state.",AI task schema,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-009,WP-I10-003,REQUIRES_COMPONENT_DECISION,OCR requires an approved model/runtime component.,Prior curated dependency source: OCR requires an approved model/runtime component.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-010,WP-I10-001,REQUIRES_WORKER,Semantic search consumes embeddings from the owned local worker.,Prior curated dependency source: Semantic search consumes embeddings from the owned local worker.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-010,WP-I10-003,REQUIRES_COMPONENT_DECISION,Embeddings require an approved model/runtime component.,Prior curated dependency source: Embeddings require an approved model/runtime component.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-011,WP-I3-002,REQUIRES_SCHEMA,Duplicate candidates reference stable asset identities and hashes.,Prior curated dependency source: Duplicate candidates reference stable asset identities and hashes.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I10-012,WP-I10-003,REQUIRES_MODEL_REGISTRY,"Location proposals must pin the selected model, version, and compatibility evidence.",AI candidate and model schemas,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-013,WP-I5-010,REQUIRES_REVIEW_PROTOCOL,AI suppression and invalidation require the Review Centre decision states and history semantics.,Review item and AI candidate schemas,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I10-014,WP-I10-002,REQUIRES_AI_WORKER,AI privacy and outbound prohibition must be enforced at the private worker transport boundary.,Private transport listener and outbound gates,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I11-001,WP-I3-006,REQUIRES_STORAGE,Metadata mutation persists via the safe sidecar protocol.,Prior curated dependency source: Metadata mutation persists via the safe sidecar protocol.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I11-001,WP-I3-011,REQUIRES_CONTRACT,Mutating batches require previewed operation plans.,Prior curated dependency source: Mutating batches require previewed operation plans.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I11-002,WP-I11-001,REQUIRES_COMMAND_CONTRACT,Batch metadata plans require the authority-aware editor command and conflict model.,Metadata editor contract,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I11-003,WP-I11-001,REQUIRES_SCHEMA,Metadata privacy removal must read authority and provenance before planning field removal.,Metadata authority editor,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I11-004,WP-I3-001,REQUIRES_SCHEMA,Non-destructive edits are versioned authoritative recipes.,Prior curated dependency source: Non-destructive edits are versioned authoritative recipes.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I11-006,WP-I3-012,REQUIRES_STORAGE,Derivative export uses the filesystem transaction protocol.,Prior curated dependency source: Derivative export uses the filesystem transaction protocol.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I11-009,WP-I11-003,REQUIRES_SCHEMA,Privacy export recipes require the reviewed privacy-removal field and preservation semantics.,Privacy export recipe schema,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I11-010,WP-I3-006,REQUIRES_STORAGE,Metadata snapshots and restore require the transactional sidecar write protocol.,Sidecar write and snapshot schemas,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I11-011,WP-I3-015,REQUIRES_TRANSACTION_ENGINE,Edit revision conflicts require record revision and optimistic concurrency preconditions.,Revision precondition contract,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I11-012,WP-I3-014,REQUIRES_TRANSACTION_ENGINE,Editing recovery requires the durable crash recovery engine and journal terminal states.,Crash recovery engine,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I12-001,WP-I3-003,REQUIRES_SECURITY_BOUNDARY,Drive identity extends the authorized-root model.,Prior curated dependency source: Drive identity extends the authorized-root model.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I12-002,WP-I12-001,REQUIRES_STORAGE,Disconnected state is keyed by durable drive identity.,Prior curated dependency source: Disconnected state is keyed by durable drive identity.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I12-003,WP-I12-002,REQUIRES_STORAGE,Reconnection validates a previously recorded detached state.,Prior curated dependency source: Reconnection validates a previously recorded detached state.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I12-004,WP-I12-002,REQUIRES_COMPONENT,Detached read-only experience renders the drive disconnection and access-mode state machine.,Drive state machine,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I12-005,WP-I12-004,REQUIRES_STORAGE,Pending sidecar overlays are the durable write path exposed by detached read-only mode.,Pending overlay authority,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I12-006,WP-I12-001,REQUIRES_IDENTITY,Root and asset relinking require stable drive identity independent of mount path.,Drive registry schema,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I12-007,WP-I3-014,REQUIRES_TRANSACTION_ENGINE,"Cross-volume copy-and-verify requires durable staging, verification, and crash recovery.",Filesystem transaction engine,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I12-008,WP-I3-004,REQUIRES_FILESYSTEM_AUTHORITY,Cross-platform adapters must enforce normalized paths and root escape protection.,Path normalization and escape tests,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I12-009,WP-I12-007,REQUIRES_TRANSACTION_ENGINE,Drive transaction recovery replays cross-volume copy-and-verify states after disconnection.,Cross-volume transaction states,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I13-001,WP-I3-001,REQUIRES_SCHEMA,Backup manifests inventory authoritative record revisions.,Prior curated dependency source: Backup manifests inventory authoritative record revisions.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I13-002,WP-I13-001,REQUIRES_SCHEMA,Backup execution consumes an approved manifest.,Prior curated dependency source: Backup execution consumes an approved manifest.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I13-002,WP-I3-012,REQUIRES_STORAGE,"Backup copies use staged, verified filesystem operations.","Prior curated dependency source: Backup copies use staged, verified filesystem operations.",REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I13-003,WP-I13-002,REQUIRES_STORAGE,Backup verification requires completed backup outputs and their manifest hashes.,Backup manifest and execution,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I13-005,WP-I13-003,REQUIRES_STORAGE,Restore requires a verified backup set.,Prior curated dependency source: Restore requires a verified backup set.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I13-005,WP-I3-011,REQUIRES_CONTRACT,Restore collisions and effects are previewed as an operation plan.,Prior curated dependency source: Restore collisions and effects are previewed as an operation plan.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I13-006,WP-I3-011,REQUIRES_CONTRACT,Trash is a planned reversible move of a logical asset bundle.,Prior curated dependency source: Trash is a planned reversible move of a logical asset bundle.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I13-007,WP-I13-006,REQUIRES_STORAGE,Trash and permanent-delete operations require durable trash records and root-scoped placement.,Trash record schema,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I13-008,WP-I3-014,REQUIRES_TRANSACTION_ENGINE,Recovery records and audit derive from durable operation and crash-recovery states.,Operation journal and recovery engine,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I13-009,WP-I3-009,REQUIRES_DERIVED_INDEX,SQLite rebuild executes the previously defined derived-index rebuild contract and authority map.,Derived-index rebuild contract,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I13-010,WP-I10-007,REQUIRES_MODEL_REGISTRY,AI cache rebuild requires task provenance and model compatibility to decide valid recomputation.,AI task and model registry,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I13-011,WP-I3-009,REQUIRES_INDEX,Full rebuild uses the authoritative-to-derived rebuild contract.,Prior curated dependency source: Full rebuild uses the authoritative-to-derived rebuild contract.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I14-001,WP-I0-007,REQUIRES_PLATFORM_PROOF,Performance comparisons require a recorded baseline harness.,Prior curated dependency source: Performance comparisons require a recorded baseline harness.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I14-002,WP-I14-001,REQUIRES_PLATFORM_PROOF,Scan and index performance requires the reviewed scale fixtures and measurement protocol.,Performance fixture definitions,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I14-003,WP-I14-001,REQUIRES_PLATFORM_PROOF,Gallery and viewer performance requires the reviewed scale fixtures and measurement protocol.,Performance fixture definitions,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I14-003,WP-I5-001,REQUIRES_COMPONENT,Gallery performance measures the production virtualized gallery rather than a synthetic component.,Gallery component,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I14-004,WP-I10-006,REQUIRES_AI_WORKER,AI resource budgets measure the production scheduler and worker lifecycle.,AI scheduler,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I14-004,WP-I14-001,REQUIRES_PLATFORM_PROOF,AI performance and resource budgets require the reviewed fixture sizes and measurement protocol.,Performance fixture definitions,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I14-005,WP-I2-002,REQUIRES_UI_SHELL,Accessibility semantics apply to the real static frontend.,Prior curated dependency source: Accessibility semantics apply to the real static frontend.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I14-008,WP-I14-005,REQUIRES_COMPONENT,Map and graph accessibility applies the shared accessibility semantics and input model.,Accessibility semantics,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I14-008,WP-I9-001,REQUIRES_GRAPH_MODEL,"Accessible map navigation requires stable graph nodes, edges, and focus identity.",Knowledge-graph projection,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I14-009,WP-I10-008,REQUIRES_COMMAND_CONTRACT,"Background-job controls require typed progress, cancellation, and retry behavior.",AI progress commands,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I14-010,WP-I10-005,REQUIRES_PLATFORM_PROOF,Resource and power controls require the hardware assessment and provider capability results.,Hardware assessment,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-001,WP-I15-006,REQUIRES_COMPONENT_DECISION,Cross-platform packaging waits for final component/version/licence decisions.,Prior curated dependency source: Cross-platform packaging waits for final component/version/licence decisions.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I15-001,WP-I2-013,REQUIRES_PLATFORM_PROOF,Release packaging requires a proven desktop launch path.,Prior curated dependency source: Release packaging requires a proven desktop launch path.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I15-005,WP-I15-001,REQUIRES_RELEASE_GATE,Signing and notarization operate on the verified cross-platform package outputs.,Package build outputs,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-006,WP-I0-005,REQUIRES_DECISION,Runtime component licence decisions require exact selected toolchain and component versions.,Toolchain and component inventory,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-007,WP-I15-001,REQUIRES_RELEASE_GATE,The SBOM must describe the exact clean-machine package contents.,Cross-platform package outputs,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-007,WP-I15-006,REQUIRES_COMPONENT,"The SBOM and notices require final reviewed component identities, versions, and licence decisions.",Component licence manifest,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-008,WP-I15-001,REQUIRES_RELEASE_GATE,Integrated retained-feature parity runs against the final cross-platform package shape.,Clean-machine package proof,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-008,WP-I5-012,REQUIRES_RELEASE_GATE,Integrated parity requires the offline library parity surface.,Offline library parity,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-008,WP-I6-010,REQUIRES_RELEASE_GATE,Integrated parity includes event and Manage Later workflows.,Event UI package,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-008,WP-I7-011,REQUIRES_RELEASE_GATE,"Integrated parity includes people, group, and face curation workflows.",People UI package,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-014,WP-I0-010,REQUIRES_PROVENANCE,Final outbound verification compares runtime observations against the baseline outbound integration inventory.,Outbound inventory,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-014,WP-I10-014,REQUIRES_RELEASE_GATE,Final outbound verification requires the enforced AI privacy and no-listener boundary.,AI outbound prohibition,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I15-015,WP-I15-008,REQUIRES_REPLACEMENT_VERIFIED,Legacy removal requires integrated retained-feature parity and migrated-caller proof before source deletion.,Prior curated dependency source: Legacy removal requires integrated retained-feature parity and migrated-caller proof before source deletion.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I15-015,WP-I15-014,REQUIRES_RELEASE_GATE,Legacy service and network-path removal requires final outbound and listener verification evidence.,Prior curated dependency source: Legacy service and network-path removal requires final outbound and listener verification evidence.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I2-001,WP-I0-005,REQUIRES_RUNTIME,The Rust/Tauri shell cannot be selected or compiled before toolchain proof.,Prior curated dependency source: The Rust/Tauri shell cannot be selected or compiled before toolchain proof.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I2-002,WP-I0-004,REQUIRES_RUNTIME,Static packaging depends on a reconciled frontend toolchain.,Prior curated dependency source: Static packaging depends on a reconciled frontend toolchain.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I2-003,WP-I2-001,REQUIRES_RUNTIME,Offline launch requires a bootstrapped desktop runtime.,Prior curated dependency source: Offline launch requires a bootstrapped desktop runtime.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I2-003,WP-I2-002,REQUIRES_RUNTIME,Offline launch requires static frontend artifacts.,Prior curated dependency source: Offline launch requires static frontend artifacts.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I2-004,WP-I2-001,REQUIRES_COMPONENT,Tauri capabilities and permissions require a bootstrapped shell and concrete command surface.,Tauri shell architecture,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I2-005,WP-I2-007,REQUIRES_COMMAND_CONTRACT,Local settings bootstrap must use the versioned IPC envelope and typed error contract.,IPC envelope and settings commands,REVIEWED_CONFIRMED,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,REVIEWED,false
WP-I2-007,WP-I2-001,REQUIRES_RUNTIME,Typed commands require the Rust command host.,Prior curated dependency source: Typed commands require the Rust command host.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
WP-I2-008,WP-I2-007,REQUIRES_CONTRACT,Stable errors are part of the versioned IPC envelope.,Prior curated dependency source: Stable errors are part of the versioned IPC envelope.,REVIEWED_CONFIRMED,PRIOR_CURATED_SOURCE,pre-final-blocker-removal,REVIEWED,false
