record_id,decision_kind,candidate_value,final_reviewed_value,acceptance_criteria,review_status,review_rationale,evidence,reviewer_type,review_revision,exception_rationale,correction_applied
CAN-MISSION-I0-001,REQUIREMENT,"Preserve an immutable archive of the supplied repository snapshot before any application-source mutation.","During I0, the implementation team must inspect the existing Lamha repository in read-only mode and record its file inventory, SHA-256 manifest, available Git state, toolchain manifests, and provenance evidence only inside Graphify; it must create no archive, backup, repository copy, application mutation, or Git mutation.","Given the existing Lamha repository, when WP-I0-001 records provenance, then every evidence file is inside Graphify, the outside-Graphify hash comparison reports zero changes, and no archive, backup, copy, build output, cache, or Git mutation exists.",REVIEWED_CORRECTED,"The prior obligation directly violated the binding no-backup rule and omitted observable read-only integrity checks.","LAMHA GRAPHIFY — FINAL BLOCKER REMOVAL MISSION sections 1, 2, 5, 6, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,,"Replaced archive creation with read-only provenance and integrity evidence."
CAN-MISSION-I0-002,REQUIREMENT,"Create a Git baseline and rollback tag in a disposable implementation workspace.","During I0, the implementation team may inspect existing Git metadata with optional locks disabled, but it must not create or modify commits, branches, tags, stashes, worktrees, the index, or repository configuration.","Given a Lamha Git repository, when WP-I0-002 inspects repository state, then the report records the observed branch, HEAD, and working-tree state while before-and-after Git metadata hashes remain identical.",REVIEWED_CORRECTED,"The prior rollback-tag instruction was a prohibited Git mutation; read-only inspection supplies provenance without altering recovery state.","LAMHA GRAPHIFY — FINAL BLOCKER REMOVAL MISSION sections 2, 6, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,,"Removed tag creation and made Git inspection explicitly read-only."
CAN-MISSION-I0-003,REQUIREMENT,"Record archive and repository SHA-256 manifests and verify them before implementation.","During I0, the implementation team must calculate and verify a SHA-256 manifest for existing repository files without creating an archive, backup, or duplicate repository tree.","Given the existing repository files, when WP-I0-003 calculates and rechecks the manifest, then every listed path, byte size, and digest matches and all evidence remains inside Graphify.",REVIEWED_CORRECTED,"Repository hashes provide the required integrity proof; an archive hash is both unnecessary and prohibited.","LAMHA GRAPHIFY — FINAL BLOCKER REMOVAL MISSION sections 2, 5, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,,"Removed archive hashing and retained direct file-integrity verification."
CAN-MISSION-I0-005,REQUIREMENT,"Create a disposable build workspace so baseline commands cannot contaminate the preserved snapshot.","WP-I0-006 must define build-output isolation rules without creating a repository copy during the read-only provenance baseline; build or test execution requires a separately authorized implementation workspace after WP-I0-001 exits.","Given the read-only provenance baseline, when WP-I0-006 documents build isolation, then no build, test, cache, generated-code, package-manager, or duplicate-tree artifact is created and the later writable workspace requirement is explicit.",REVIEWED_CORRECTED,"The prior wording could authorize a duplicate repository before provenance was proven and conflicted with the current mission's no-write boundary.","LAMHA GRAPHIFY — FINAL BLOCKER REMOVAL MISSION sections 1, 2, 5, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,,"Changed workspace creation into a read-only isolation decision and deferred execution."
CAN-MISSION-I0-011,REQUIREMENT,"Do not delete, clean, rename, or rewrite application source during repository proof and baseline investigation.","During repository provenance and integrity inspection, every application file outside Graphify must remain byte-for-byte unchanged and no build, test, cache, generated-code, package-manager, or Git artifact may be created or modified.","Given the initial outside-Graphify SHA-256 manifest, when I0 inspection finishes, then a fresh manifest reports zero added, removed, modified, or renamed paths.",REVIEWED_CORRECTED,"The prior prohibition omitted common indirect write paths and did not state the observable integrity proof.","LAMHA GRAPHIFY — FINAL BLOCKER REMOVAL MISSION sections 1, 5, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,,"Expanded the preservation rule and added a complete hash-comparison gate."
CAN-LAM-ASSET-004,REQUIREMENT,"Lamha must provide a primary media container definition spanning approved image, RAW, and video formats.","During ingestion, Lamha must classify each approved image, RAW, and video container, preserve its original bytes, and associate any detected companion bundles by stable identity.","Given one approved fixture for each declared media class, when scanning and classification run, then each fixture is indexed with the correct media class and companions or returns a typed visible unsupported-format error, and every original hash remains unchanged.",REVIEWED_CORRECTED,"The prior capability-template wording mixed a glossary definition with runtime behavior and did not provide a testable outcome.","Master Plan File 1 section 1.1; supported-format code evidence recorded on CAN-LAM-ASSET-004",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,,"Rewrote the glossary template as ingestion behavior and moved primary ownership to media classification."
CAN-SECTION-0120,REQUIREMENT,"Lamha must implement the 2.6 Non-destructive defaults behavior for Metadata and satisfy every linked acceptance criterion.","Metadata mutation must preserve original filename provenance, create revisioned metadata snapshots, and produce privacy-clean exports without modifying the managed original or discarding the last valid authoritative value.","Given an asset with original filename and metadata, when a metadata edit, snapshot restore, or privacy-clean export runs, then the original media hash and original filename provenance remain unchanged, the authoritative revision is observable, and conflicts return a typed review item.",REVIEWED_CORRECTED,"The synthesized parent used a broad section template and was assigned to an I3 identity package despite its reviewed primary I11 metadata-mutation phase.","Master Plan File 1 section 2.6 and linked records CAN-LAM-ASSET-042, CAN-LAM-EDIT-001, CAN-LAM-META-019",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,,"Rewrote the parent semantically and reconciled membership to an I11 metadata package."
CAN-LAM-AI-006,REQUIREMENT,"It is rebuildable and is never the only authoritative copy of saved user decisions, durable history, approved metadata, suppression decisions, or unresolved pending overlays.","The SQLite AI projection must remain rebuildable from versioned AI task, candidate, decision, suppression, and overlay records; deleting and rebuilding SQLite must preserve every saved user decision and durable history entry.","Given versioned AI authority records and a populated SQLite projection, when SQLite is deleted and rebuilt, then every saved decision, suppression, pending overlay, and history revision reappears with matching identifiers and values.",REVIEWED_CORRECTED,"The pronoun had no named authority and the prior text did not state the rebuild trigger or observable preservation result.","CAN-LAM-AI-006 source trace and AI authority decision",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,,"Named both authorities and added a destructive rebuild verification."
CAN-LAM-ARCH-014,REQUIREMENT,"The final application must feel like one integrated desktop application.","Lamha must expose library, search, review, map, editing, and maintenance workflows through one desktop shell with shared navigation, identity, settings, error presentation, and operation status.","Given each primary workflow, when a user opens it and starts a supported operation, then the same shell navigation, selected-library identity, settings, typed error surface, and operation-status model remain available.",REVIEWED_CORRECTED,"Feel like one application was subjective and could not be verified.","CAN-LAM-ARCH-014 source trace and desktop-shell package boundaries",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,,"Replaced a subjective quality claim with observable shell integration behavior."
CAN-LAM-ARCH-250,REQUIREMENT,"Enabling them requires an explicit setting that identifies the external provider and network use.","When an optional external AI adapter is disabled, Lamha must make no provider request; enabling it requires an explicit setting naming the provider and network use, and the settings UI must display the active provider before any request runs.","Given the adapter disabled, when its workflow runs, then no network request occurs; given explicit enablement, when the workflow runs, then the named provider is displayed and only that configured provider may receive the request.",REVIEWED_CORRECTED,"The prior pronoun was ambiguous and omitted disabled-state behavior and a visible result.","CAN-LAM-ARCH-250 source trace and optional-adapter boundary",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,,"Named the adapter, trigger, prohibition, and visible provider evidence."
