component,owning_phase,decision_package,blocking_work_package,required_before_packages,version_status,licence_status,redistribution_status,platform_impact,packaging_impact,alternatives,final_decision_evidence,reviewer_status,selected_technology,version_rule,final_status,licence,redistribution,platform_support,offline_suitability,privacy_impact,security_impact,reason,consumer_packages,required_verification,failure_strategy,evidence,reviewer_role,review_revision,review_status,source_licence,binary_runtime_licence,model_weight_licence,model_redistribution_rights,commercial_use_rights,model_card_requirement,checksum_requirement,hardware_requirement,fallback_requirement
Tauri,I2,WP-I2-001,WP-I2-001,WP-I2-003;WP-I2-004;WP-I2-007;WP-I2-008;WP-I2-011,RESOLVED,APPROVED,BUNDLED_SOURCE,Windows/macOS/Linux,Bundled desktop shell; WebView platform dependency,Tauri 1; Electron,Codebase has no Tauri shell; target architecture requires Tauri 2,REVIEWED_CONFIRMED,Tauri 2,Tauri 2.x stable; exact version pinned by I0 Cargo.lock,SELECTED,MIT OR Apache-2.0,BUNDLED_SOURCE,Windows/macOS/Linux,Fully offline,Local-only; no telemetry,Capability enforcement; typed IPC,"Codebase has no Tauri shell; the reviewed native desktop shell is required for typed IPC, capability enforcement, and bundled local delivery.",WP-I2-003;WP-I2-004;WP-I2-007;WP-I2-008;WP-I2-011,I0 manifest lock; desktop smoke launch; capability tests,Fallback: pin an older compatible Tauri release and re-run smoke proof,Codebase has no Tauri shell; target architecture requires Tauri 2,GPT_5_6_FINAL_COMPONENT_LICENCE_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED,MIT OR Apache-2.0,MIT OR Apache-2.0,NOT_APPLICABLE,NOT_APPLICABLE,ALLOWED_ONLY_AS_RECORDED_BY_THE_COMPONENT_LICENCE_AND_NOTICES,NOT_APPLICABLE,PINNED_ARTIFACT_CHECKSUM_REQUIRED_WHEN_BUNDLED,Windows/macOS/Linux,Fallback: pin an older compatible Tauri release and re-run smoke proof
Rust toolchain,I0,WP-I0-005,WP-I0-005,WP-I2-001;WP-I3-008;WP-I3-012,RESOLVED,APPROVED,BUILD_ONLY,Windows/macOS/Linux,Compiler and target triples,Rust nightly; C++ core,Codebase repository manifests available,REVIEWED_CONFIRMED,Rust stable toolchain,Exact stable version from reconciled rust-toolchain file verified by WP-I0-005,SELECTED,MIT OR Apache-2.0,BUILD_ONLY,Windows/macOS/Linux,Offline build supported,Local-only,Memory-safe boundary,Codebase repository manifests declare the stable toolchain that must be reconciled and verified before Rust consumers begin.,WP-I2-001;WP-I3-008;WP-I3-012,I0 toolchain inventory; build smoke,Fallback: reconcile toolchain before consumers start,Codebase repository manifests available,GPT_5_6_FINAL_COMPONENT_LICENCE_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED,MIT OR Apache-2.0,MIT OR Apache-2.0,NOT_APPLICABLE,NOT_APPLICABLE,ALLOWED_ONLY_AS_RECORDED_BY_THE_COMPONENT_LICENCE_AND_NOTICES,NOT_APPLICABLE,PINNED_ARTIFACT_CHECKSUM_REQUIRED_WHEN_BUNDLED,Windows/macOS/Linux,Fallback: reconcile toolchain before consumers start
Node/package-manager toolchain,I0,WP-I0-004,WP-I0-004,WP-I2-002;WP-I2-005,RESOLVED,APPROVED,BUILD_ONLY,Windows/macOS/Linux,Static frontend build only; no runtime server,npm/yarn; Bun,Codebase package manifests and lockfiles present,REVIEWED_CONFIRMED,Node LTS + pnpm,Exact versions from reconciled package manifests/lockfiles verified by WP-I0-004,SELECTED,MIT,BUILD_ONLY,Windows/macOS/Linux,Offline build supported,Local-only,Supply-chain pinning,Codebase package manifests and lockfiles must be reconciled so the static frontend build uses one pinned Node/pnpm version set.,WP-I2-002;WP-I2-005,I0 mixed-version inventory; static build proof,Fallback: reconcile manifests before static frontend work,Codebase package manifests and lockfiles present,GPT_5_6_FINAL_COMPONENT_LICENCE_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED,MIT,MIT,NOT_APPLICABLE,NOT_APPLICABLE,ALLOWED_ONLY_AS_RECORDED_BY_THE_COMPONENT_LICENCE_AND_NOTICES,NOT_APPLICABLE,PINNED_ARTIFACT_CHECKSUM_REQUIRED_WHEN_BUNDLED,Windows/macOS/Linux,Fallback: reconcile manifests before static frontend work
Svelte/SvelteKit,I2,WP-I2-002,WP-I2-002,WP-I2-005;WP-I2-011,RESOLVED,APPROVED,BUNDLED_SOURCE,Platform WebView compatibility,Static frontend artifacts; no server,Svelte; plain Vite; React,Codebase web package.json present,REVIEWED_CONFIRMED,SvelteKit static adapter,Exact SvelteKit version from package.json; static adapter pinned,SELECTED,MIT,BUNDLED_SOURCE,Platform WebView compatibility,Fully offline,Local-only,No server surface,Plain Svelte/Vite if server coupling remains,WP-I2-005;WP-I2-011,I0 manifest; static adapter proof,Fallback: plain Vite static build,Codebase web package.json present,GPT_5_6_FINAL_COMPONENT_LICENCE_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED,MIT,MIT,NOT_APPLICABLE,NOT_APPLICABLE,ALLOWED_ONLY_AS_RECORDED_BY_THE_COMPONENT_LICENCE_AND_NOTICES,NOT_APPLICABLE,PINNED_ARTIFACT_CHECKSUM_REQUIRED_WHEN_BUNDLED,Platform WebView compatibility,Fallback: plain Vite static build
SQLite Rust library,I3,WP-I3-008,WP-I3-008,WP-I3-009;WP-I4-010,RESOLVED,APPROVED,BUNDLED_SOURCE,Windows/macOS/Linux,Embedded derived-index engine,sqlx; sqlite3 C binding,Codebase has no Rust core yet; target architecture specifies SQLite,REVIEWED_CONFIRMED,rusqlite,Exact crate version from Cargo.lock verified by WP-I0-005,SELECTED,MIT,BUNDLED_SOURCE,Windows/macOS/Linux,Offline,Local-only,SQL injection-safe typed layer,"rusqlite with bundled SQLite provides the embedded derived-index engine with a typed, injection-safe layer.",WP-I3-009;WP-I4-010,Cargo.lock; migration execution; rebuild proof,Fallback: sqlx if transaction semantics require it,Codebase has no Rust core yet; target architecture specifies SQLite,GPT_5_6_FINAL_COMPONENT_LICENCE_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED,MIT,MIT,NOT_APPLICABLE,NOT_APPLICABLE,ALLOWED_ONLY_AS_RECORDED_BY_THE_COMPONENT_LICENCE_AND_NOTICES,NOT_APPLICABLE,PINNED_ARTIFACT_CHECKSUM_REQUIRED_WHEN_BUNDLED,Windows/macOS/Linux,Fallback: sqlx if transaction semantics require it
FFmpeg,I4,WP-I4-005,WP-I4-005,WP-I5-004,RESOLVED,APPROVED_WITH_NOTICE,OPTIONAL_NOT_BUNDLED,Platform codec availability,No bundling in default package,ExoPlayer; VLC; pure Rust decoders,Codebase uses server-side video; desktop target uses local playback,REVIEWED_CONFIRMED,Platform media frameworks; FFmpeg optional not bundled,Not bundled; platform-native video support; optional FFmpeg binding later with licence notice,OPTIONAL_NOT_BUNDLED,LGPL/GPL review required before bundling,OPTIONAL_NOT_BUNDLED,Platform codec availability,Offline after install,Local playback,No network listener,Platform media frameworks cover local video playback while optional FFmpeg remains unbundled pending LGPL/GPL review.,WP-I5-004,Platform probe/playback proof,Fallback: typed unsupported-format error,Codebase uses server-side video; desktop target uses local playback,GPT_5_6_FINAL_COMPONENT_LICENCE_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED,LGPL/GPL review required before bundling,LGPL/GPL review required before bundling,NOT_APPLICABLE,NOT_APPLICABLE,ALLOWED_ONLY_AS_RECORDED_BY_THE_COMPONENT_LICENCE_AND_NOTICES,NOT_APPLICABLE,PINNED_ARTIFACT_CHECKSUM_REQUIRED_WHEN_BUNDLED,Platform codec availability,Fallback: typed unsupported-format error
ExifTool or replacement,I4,WP-I4-008,WP-I4-008,WP-I4-010,RESOLVED,APPROVED,BUNDLED_SOURCE,Windows/macOS/Linux,No external process,ExifTool subprocess,Codebase has server metadata extraction; target uses pure Rust,REVIEWED_CONFIRMED,Pure-Rust metadata parsers (kamadak-exif plus format parsers),Exact crates from Cargo.lock; format matrix verified,SELECTED,MIT/Apache-2.0 (selected crates),BUNDLED_SOURCE,Windows/macOS/Linux,Offline,Local-only,No shell injection,kamadak-exif plus format-specific parsers,WP-I4-010,Cargo.lock; format extraction fixtures,Fallback: keep ExifTool build-only with licence review,Codebase has server metadata extraction; target uses pure Rust,GPT_5_6_FINAL_COMPONENT_LICENCE_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED,MIT/Apache-2.0 (selected crates),MIT/Apache-2.0 (selected crates),NOT_APPLICABLE,NOT_APPLICABLE,ALLOWED_ONLY_AS_RECORDED_BY_THE_COMPONENT_LICENCE_AND_NOTICES,NOT_APPLICABLE,PINNED_ARTIFACT_CHECKSUM_REQUIRED_WHEN_BUNDLED,Windows/macOS/Linux,Fallback: keep ExifTool build-only with licence review
HEIF decoder,I4,WP-I4-004,WP-I4-004,WP-I4-009;WP-I5-003,RESOLVED,APPROVED_WITH_NOTICE,PLATFORM_PROVIDED,Windows/macOS/Linux platform APIs,No default bundling,libheif; pure Rust heif-rs,Codebase has HEIC support in mobile/server; desktop platform APIs apply,REVIEWED_CONFIRMED,Platform HEIF decoder (Windows Imaging/WebKit) with libheif optional,Platform API minimum versions; optional libheif pinned if bundled,PLATFORM_PROVIDED,Platform component; libheif LGPL if bundled,PLATFORM_PROVIDED,Windows/macOS/Linux platform APIs,Offline,Local decode,No network,Platform HEIF decoders are used first; optional libheif bundling remains pending LGPL review.,WP-I4-009;WP-I5-003,Platform HEIF fixture decode,Fallback: typed unsupported-format error,Codebase has HEIC support in mobile/server; desktop platform APIs apply,GPT_5_6_FINAL_COMPONENT_LICENCE_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED,Platform component; libheif LGPL if bundled,Platform component; libheif LGPL if bundled,NOT_APPLICABLE,NOT_APPLICABLE,ALLOWED_ONLY_AS_RECORDED_BY_THE_COMPONENT_LICENCE_AND_NOTICES,NOT_APPLICABLE,PINNED_ARTIFACT_CHECKSUM_REQUIRED_WHEN_BUNDLED,Windows/macOS/Linux platform APIs,Fallback: typed unsupported-format error
RAW decoder,I4,WP-I4-004,WP-I4-004,WP-I4-009;WP-I5-003,RESOLVED,APPROVED_WITH_NOTICE,OPTIONAL_NOT_BUNDLED,Camera-specific support,No default bundling,dcraw; rawloader,Codebase has server RAW support; desktop needs reviewed decoder,REVIEWED_CONFIRMED,LibRaw or reviewed Rust RAW decoder; not bundled by default,Exact decoder pinned only when bundled; camera matrix verified,OPTIONAL_NOT_BUNDLED,LGPL-2.1/CDDL review before bundling,OPTIONAL_NOT_BUNDLED,Camera-specific support,Offline,Local decode,No network,LibRaw with camera matrix or platform previews,WP-I4-009;WP-I5-003,Supported-camera fixture matrix,Fallback: typed unsupported-format error,Codebase has server RAW support; desktop needs reviewed decoder,GPT_5_6_FINAL_COMPONENT_LICENCE_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED,LGPL-2.1/CDDL review before bundling,LGPL-2.1/CDDL review before bundling,NOT_APPLICABLE,NOT_APPLICABLE,ALLOWED_ONLY_AS_RECORDED_BY_THE_COMPONENT_LICENCE_AND_NOTICES,NOT_APPLICABLE,PINNED_ARTIFACT_CHECKSUM_REQUIRED_WHEN_BUNDLED,Camera-specific support,Fallback: typed unsupported-format error
Image thumbnail library,I4,WP-I4-009,WP-I4-009,WP-I5-001;WP-I5-003,RESOLVED,APPROVED,BUNDLED_SOURCE,Windows/macOS/Linux,Bundled pure-Rust thumbnail generation,libvips; thumbnailer,Codebase has thumbnail services; target uses local generation,REVIEWED_CONFIRMED,Rust image crate,Exact crate version from Cargo.lock verified,SELECTED,MIT OR Apache-2.0,BUNDLED_SOURCE,Windows/macOS/Linux,Offline,Local-only,No external process,The Rust image crate generates deterministic local thumbnails without an external process dependency.,WP-I5-001;WP-I5-003,Cargo.lock; deterministic thumbnail fixtures,Fallback: libvips if performance requires,Codebase has thumbnail services; target uses local generation,GPT_5_6_FINAL_COMPONENT_LICENCE_REVIEWER,2026-08-08-gpt-5.6-final,REVIEWED_CONFIRMED,MIT OR Apache-2.0,MIT OR Apache-2.0,NOT_APPLICABLE,NOT_APPLICABLE,ALLOWED_ONLY_AS_RECORDED_BY_THE_COMPONENT_LICENCE_AND_NOTICES,NOT_APPLICABLE,PINNED_ARTIFACT_CHECKSUM_REQUIRED_WHEN_BUNDLED,Windows/macOS/Linux,Fallback: libvips if performance requires
