canonical_id,canonical_capability,primary_implementation_phase,integration_verification_phases,removal_phase,release_validation_phase,global_invariant_links,mapping_rationale,reviewer_status,exception_status,previous_capability,previous_primary_phase
CAN-FAIL-01,Media format classification,I4,I4;I15,I15,I15,,"Separated the prohibition, control, evidence, and fixture gate from the historical audit paragraph.",REVIEWED_CORRECTED,NONE,Desktop shell,I2
CAN-FAIL-02,Active-plan authority adoption,I0,I0;I15,,,,Converted a governance audit paragraph into an observable completion prohibition.,REVIEWED_CORRECTED,NONE,Planning and verification governance,
CAN-FAIL-03,Typed frontend command bridge,I2,I2;I15,I15,I15,,Assigned the failure to the typed frontend bridge instead of a generic shell paragraph.,REVIEWED_CORRECTED,NONE,Desktop shell,I2
CAN-FAIL-04,Sidecar write protocol,I3,I10;I15,I15,I15,,Separated XMP authority and degraded behavior from history.,REVIEWED_CORRECTED,NONE,Metadata,I10
CAN-FAIL-05,Event filesystem materialization plan,I6,I6;I15,I15,I15,,Assigned the prohibition to event filesystem materialization.,REVIEWED_CORRECTED,NONE,Events and organization,I6
CAN-FAIL-06,Face clustering and curation,I7,I10;I15,I15,I15,,Moved the control from generic AI wording to face-cluster curation.,REVIEWED_CORRECTED,NONE,Local AI worker,I10
CAN-FAIL-07,Private local worker transport,I10,I10;I15,I15,I15,,Assigned the prohibition to the private worker transport package.,REVIEWED_CORRECTED,NONE,Metadata,I10
CAN-FAIL-08,Stable asset identity,I3,I6;I15,I15,I15,,Reduced the audit paragraph to a write-once identity requirement.,REVIEWED_CORRECTED,NONE,Metadata,I6
CAN-FAIL-09,Legacy replacement verification and removal,I15,I0;I15,,,,Created an explicit removal package and order gate.,REVIEWED_CORRECTED,NONE,Planning and verification governance,
CAN-FAIL-10,Derived-index rebuild contract,I3,I3;I15,I15,I15,,Separated durable authority from the destructive test setup.,REVIEWED_CORRECTED,NONE,Local data authority,I3
CAN-FAIL-11,Event filesystem materialization plan,I6,I6;I15,I15,I15,,Assigned the rule to the filesystem materialization boundary.,REVIEWED_CORRECTED,NONE,Events and organization,I6
CAN-FAIL-12,Photographer camera-owner importer attribution,I8,I8;I15,I15,I15,,Assigned the rule to the attribution schema and importer.,REVIEWED_CORRECTED,NONE,Metadata,I8
CAN-FAIL-13,Event authoritative records,I6,I7;I15,I15,I15,,Assigned the boundary to authoritative event records.,REVIEWED_CORRECTED,NONE,Asset viewer,I7
CAN-FAIL-14,Temporal group memberships,I7,I7;I15,I15,I15,,Separated temporal behavior from schema-history prose.,REVIEWED_CORRECTED,NONE,People and faces,I7
CAN-FAIL-15,Group identity model,I7,I8;I15,I15,I15,,Assigned hierarchy authority to the group identity model.,REVIEWED_CORRECTED,NONE,People and faces,I8
CAN-FAIL-16,Pending sidecar overlays,I12,I12;I15,I15,I15,,Converted failure history into a detached-overlay state machine.,REVIEWED_CORRECTED,NONE,Libraries and storage,I12
CAN-FAIL-17,Date and location boundaries,I6,I6;I15,I15,I15,,Assigned the control to date and location boundaries.,REVIEWED_CORRECTED,NONE,Events and organization,I6
CAN-FAIL-18,AI review suppression and invalidation,I10,I10;I15,I15,I15,,"Separated suppression identity, allowed reopening, and history.",REVIEWED_CORRECTED,NONE,Review Centre,I10
CAN-FAIL-19,Active-plan authority adoption,I0,I0;I15,,,,Converted the audit prose into a status transition invariant.,REVIEWED_CORRECTED,NONE,Planning and verification governance,
CAN-FAIL-20,Crash recovery engine,I3,I10;I15,I15,I15,,Assigned the control to the crash recovery engine.,REVIEWED_CORRECTED,NONE,Metadata,I10
