SourceFile,Line,Heading,Text,Classification,RequirementIDs,Basis
01-EVERYTHING-WE-ARE-KEEPING.md,1,LAMHA — EVERYTHING WE ARE KEEPING,# LAMHA — EVERYTHING WE ARE KEEPING,HEADING,,Structural Markdown
01-EVERYTHING-WE-ARE-KEEPING.md,3,Authoritative Master Plan File 1 of 3,## Authoritative Master Plan File 1 of 3,HEADING,,Structural Markdown
01-EVERYTHING-WE-ARE-KEEPING.md,5,Authoritative Master Plan File 1 of 3,Application name: Lamha,REQUIREMENT,LAM-ARCH-001,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,6,Authoritative Master Plan File 1 of 3,Document role: Complete definition of the approved Immich-derived behaviours and new Lamha capabilities that must exist in the finished application,REQUIREMENT,LAM-ARCH-002,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,7,Authoritative Master Plan File 1 of 3,Authority: This file is authoritative together with:,EXPLANATORY,,No normative modal and no actionable list/phase rule
01-EVERYTHING-WE-ARE-KEEPING.md,9,Authoritative Master Plan File 1 of 3,02-EVERYTHING-WE-ARE-DELETING.md,EXPLANATORY,,No normative modal and no actionable list/phase rule
01-EVERYTHING-WE-ARE-KEEPING.md,10,Authoritative Master Plan File 1 of 3,03-HOW-WE-WILL-KEEP-DELETE-AND-CHANGE.md,EXPLANATORY,,No normative modal and no actionable list/phase rule
01-EVERYTHING-WE-ARE-KEEPING.md,12,Authoritative Master Plan File 1 of 3,Graphify must map every item in this file to the current codebase or explicitly record that the capability does not yet exist and must be created.,REQUIREMENT,LAM-ARCH-003,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,14,Reading contract,### Reading contract,HEADING,,Structural Markdown
01-EVERYTHING-WE-ARE-KEEPING.md,16,Reading contract,"MUST, MUST NOT, REQUIRED, and invariant-table entries are binding.",REQUIREMENT,LAM-ARCH-004,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,17,Reading contract,SHOULD is binding unless Graphify records a concrete technical blocker and an approved alternative.,REQUIREMENT,LAM-ARCH-005,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,18,Reading contract,"MAY and “optional” describe permitted behaviour, not a completion requirement.",REQUIREMENT,LAM-ARCH-006,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,19,Reading contract,Examples illustrate a rule; they do not narrow or expand it.,REQUIREMENT,LAM-ARCH-007,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,20,Reading contract,"A named implementation, command, table, path, model, or library is a target constraint only when this file explicitly calls it canonical. Otherwise Graphify must verify the real repository before assigning an exact implementation.",REQUIREMENT,LAM-AI-002,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,21,Reading contract,"File 1 owns retained final behaviour, File 2 owns final absences, and File 3 owns process, sequencing, evidence, and status. No file may be read in isolation.",REQUIREMENT,LAM-ARCH-008,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,23,Reading contract,---,STRUCTURAL,,Table/layout structure or non-normative explanatory row
01-EVERYTHING-WE-ARE-KEEPING.md,25,1. Final Product Identity,# 1. Final Product Identity,HEADING,,Structural Markdown
01-EVERYTHING-WE-ARE-KEEPING.md,27,1. Final Product Identity,"Lamha is a private, single-user, local-first photo and video management application for:",EXPLANATORY,,No normative modal and no actionable list/phase rule
01-EVERYTHING-WE-ARE-KEEPING.md,29,1. Final Product Identity,Windows,REQUIREMENT,LAM-ARCH-009,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,30,1. Final Product Identity,macOS,REQUIREMENT,LAM-ARCH-010,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,31,1. Final Product Identity,Linux,REQUIREMENT,LAM-ARCH-011,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,32,1. Final Product Identity,Internal drives,REQUIREMENT,LAM-FOLDER-003,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,33,1. Final Product Identity,External drives,REQUIREMENT,LAM-FOLDER-004,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,34,1. Final Product Identity,Portable local libraries,REQUIREMENT,LAM-ARCH-012,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,35,1. Final Product Identity,Completely offline use,REQUIREMENT,LAM-ARCH-013,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,37,1. Final Product Identity,"Lamha is derived from the useful interface and media-management capabilities of Immich, but it is not a self-hosted server product.",EXPLANATORY,,No normative modal and no actionable list/phase rule
01-EVERYTHING-WE-ARE-KEEPING.md,39,1. Final Product Identity,"Lamha keeps the parts of Immich that make it a capable gallery and media intelligence application, while converting them into a genuine local desktop architecture.",EXPLANATORY,,No normative modal and no actionable list/phase rule
01-EVERYTHING-WE-ARE-KEEPING.md,41,1. Final Product Identity,"The final application must feel like one integrated desktop application. The user must not need to understand Docker, servers, databases, network ports, or system administration.",REQUIREMENT,LAM-ARCH-014; LAM-ARCH-015,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,43,1. Final Product Identity,[!IMPORTANT],REQUIREMENT,LAM-ARCH-016,Mapped independently testable obligation
01-EVERYTHING-WE-ARE-KEEPING.md,44,1. Final Product Identity,Disambiguation Box 1: Current Architecture vs. Target Architecture,REQUIREMENT,LAM-ARCH-017,Mapped independently testable obligation
