Package ID,Commands expected,Commands verified,Request schemas expected,Request schemas verified,Response schemas expected,Response schemas verified,Record schemas expected,Record schemas verified,SQLite objects expected,SQLite objects verified,Authority decisions expected,Authority decisions verified,Missing references,Incorrect references,Stale references,Final result,Evidence,Reviewer role,Review revision,Verification status,Item-specific rationale
WP-I0-001,,,,,,,NONE; evidence uses the reviewed Graphify report formats only.,NONE; evidence uses the reviewed Graphify report formats only.,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-001; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-001: 0 IPC commands owned, 8 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
WP-I0-002,,,,,,,Schemas affected by requirements CAN-MISSION-I0-002; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-002; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-002; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-002: 0 IPC commands owned, 13 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
WP-I0-003,,,,,,,Schemas affected by requirements CAN-MISSION-I0-003; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-003; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-003; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-003: 0 IPC commands owned, 13 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
WP-I0-004,,,,,,,Schemas affected by requirements CAN-MISSION-I0-004; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-004; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-004; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-004: 0 IPC commands owned, 13 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
WP-I0-005,,,,,,,Schemas affected by requirements CAN-MISSION-I0-006; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-006; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-005; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-005: 0 IPC commands owned, 13 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
WP-I0-006,,,,,,,Schemas affected by requirements CAN-MISSION-I0-005; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-005; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-006; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-006: 0 IPC commands owned, 13 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
WP-I0-007,,,,,,,Schemas affected by requirements CAN-MISSION-I0-007; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-007; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-007; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-007: 0 IPC commands owned, 13 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
WP-I0-008,,,,,,,Schemas affected by requirements CAN-MISSION-I0-008; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-008; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-008; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-008: 0 IPC commands owned, 13 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
WP-I0-009,,,,,,,Schemas affected by requirements CAN-MISSION-I0-009; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-009; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-009; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-009: 0 IPC commands owned, 13 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
WP-I0-010,,,,,,,Schemas affected by requirements CAN-MISSION-I0-010; schema paths are resolved in the package packet.,Schemas affected by requirements CAN-MISSION-I0-010; schema paths are resolved in the package packet.,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-010; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-010: 0 IPC commands owned, 13 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
WP-I0-011,,,,,,,Completion tracker and planning evidence records,Completion tracker and planning evidence records,,,,,0,0,0,VERIFIED,IPC registry ipc-command-registry-v3.json and schema-index.csv inspected for WP-I0-011; commands: 0,DEEPSEEK_PRE_GPT_AUDIT_REVIEWER,2026-08-07-pre-gpt-audit,VERIFIED,"Cross-checked ipc-command-registry-v3.json, schema-index.csv, and authority-registry.csv against work-packages.json for WP-I0-011: 0 IPC commands owned, 6 schema/record objects referenced, and zero missing, incorrect, or stale references; the packet contract surface matches the registries."
