Canonical ID,Previous capability,Corrected capability,Previous phase,Corrected phase,Previous package,Final package,Package objective,Membership rationale,Dependencies affected,Contracts affected,Schemas affected,Packet references,Review result,Correction applied
CAN-LAM-AI-018,Duplicates,Duplicates,I10,I10,WP-I10-011,WP-I10-011,"Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, side-by-side preview, retained-file selection, and AI similarity-data export/delete with no automatic deletion or merge.","WP-I10-011 is the architectural owner because its objective — Detect exact and similar duplicates, compare resolution/format/size/album/tag/event/metadata evidence, produce reviewable candidates, support burst grouping, si — is the surface that must execute the obligation 'When duplicate candidates are found, Lamha must create reviewable candidates with evidence'; prerequisite packages WP-I3-002 supply the underlying schema/identity/journal it needs.",WP-I10-011<-WP-I3-002:REQUIRES_SCHEMA,"Duplicate candidate, comparison, burst, preview, retained-file, and AI-data-control contracts","Duplicate candidate, comparison evidence, burst group, and similarity projection records",11-model-packets/phases/I10.md;04-work-packages/packets/WP-I10-011.md,PASS,YES
CAN-LAM-AI-023,People and faces,People and faces,I7,I7,WP-I7-001,WP-I7-008,"Persist complete group membership models with active/former/inactive effective-dated intervals, historical immutability, and overlap validation.","WP-I7-008 is the architectural owner because its objective — Persist complete group membership models with active/former/inactive effective-dated intervals, historical immutability, and overlap validation. — is the surface that must execute the obligation 'Lamha must keep a complete group model that records active, former, and inactive members w'; prerequisite packages WP-I7-007 supply the underlying schema/identity/journal it needs.",WP-I7-008<-WP-I7-007:REQUIRES_IDENTITY,Temporal membership contracts,Group membership temporal records,11-model-packets/phases/I7.md;04-work-packages/packets/WP-I7-008.md,PASS,YES
CAN-LAM-ARCH-063,Gallery and timeline,Gallery and timeline,I5,I5,WP-I5-002,WP-I5-001,"Render the gallery grid from local records with adjustable density, fast thumbnail cache loading within budget, and keyboard-operable retained components.","WP-I5-001 is the architectural owner because its objective — Render the gallery grid from local records with adjustable density, fast thumbnail cache loading within budget, and keyboard-operable retained components. — is the surface that must execute the obligation 'Adjustable grid size must change the gallery grid density from local data and retain the u'; prerequisite packages WP-I4-009, WP-I4-010 supply the underlying schema/identity/journal it needs.",WP-I14-003<-WP-I5-001:REQUIRES_COMPONENT;WP-I5-001<-WP-I4-009:REQUIRES_INDEX;WP-I5-001<-WP-I4-010:REQUIRES_INDEX;WP-I5-005<-WP-I5-001:REQUIRES_COMPONENT;WP-I5-012<-WP-I5-001:REQUIRES_RELEASE_GATE,Gallery grid and thumbnail-loading contracts,Gallery view and thumbnail-cache records,11-model-packets/phases/I5.md;04-work-packages/packets/WP-I5-001.md,PASS,YES
CAN-LAM-ARCH-064,Gallery and timeline,Gallery and timeline,I5,I5,WP-I5-002,WP-I5-001,"Render the gallery grid from local records with adjustable density, fast thumbnail cache loading within budget, and keyboard-operable retained components.","WP-I5-001 is the architectural owner because its objective — Render the gallery grid from local records with adjustable density, fast thumbnail cache loading within budget, and keyboard-operable retained components. — is the surface that must execute the obligation 'Fast thumbnail loading must render thumbnails from the local cache within the reviewed bud'; prerequisite packages WP-I4-009, WP-I4-010 supply the underlying schema/identity/journal it needs.",WP-I14-003<-WP-I5-001:REQUIRES_COMPONENT;WP-I5-001<-WP-I4-009:REQUIRES_INDEX;WP-I5-001<-WP-I4-010:REQUIRES_INDEX;WP-I5-005<-WP-I5-001:REQUIRES_COMPONENT;WP-I5-012<-WP-I5-001:REQUIRES_RELEASE_GATE,Gallery grid and thumbnail-loading contracts,Gallery view and thumbnail-cache records,11-model-packets/phases/I5.md;04-work-packages/packets/WP-I5-001.md,PASS,YES
CAN-LAM-ARCH-098,Events and organization,Events and organization,,,WP-I6-003,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-099,Events and organization,Events and organization,,,WP-I6-008,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-100,Events and organization,Events and organization,,,WP-I6-003,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-101,Events and organization,Events and organization,,,WP-I6-008,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-102,Events and organization,Events and organization,,,WP-I6-003,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-106,People and faces,People and faces,,,WP-I7-004,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-107,People and faces,People and faces,,,WP-I7-005,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-108,People and faces,People and faces,,,WP-I7-004,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
CAN-LAM-ARCH-109,People and faces,People and faces,,,WP-I7-008,,,,,,,11-model-packets/phases/.md;04-work-packages/packets/.md,PASS,YES
