canonical_id,title,source_text,current_statement,matched_template_family,why_current_statement_may_be_semantically_wrong,current_capability,current_phase,current_package,required_disposition,requirement_type,source_section,parent_requirement_id,parent_title,parent_statement,source_length_category
CAN-LAM-GOV-055,Existing command verified now,Existing command verified now,"When the desktop shell handles Existing command verified now in 0.6 Pre-Commit Linter & Verification CLI Execution Commands, it must use the typed Tauri boundary, expose the result or stable error to the frontend, and reject requests outside the granted capability without side effects.",EXACT_LEGACY_OUTPUT;FAMILY:desktop_shell_handles,Detected as EXACT_LEGACY_OUTPUT;FAMILY:desktop_shell_handles; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label under the command-migration section; it constrains planning evidence rather than describing runtime behavior.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,0.6 Pre-Commit Linter & Verification CLI Execution Commands,CAN-SECTION-0181,0.6 Pre-Commit Linter & Verification CLI Execution Commands — Desktop shell,Lamha must implement the 0.6 Pre-Commit Linter & Verification CLI Execution Commands behavior for Desktop shell and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-GOV-057,Platform-specific command,Platform-specific command,"When the desktop shell handles Platform-specific command in 0.6 Pre-Commit Linter & Verification CLI Execution Commands, it must use the typed Tauri boundary, expose the result or stable error to the frontend, and reject requests outside the granted capability without side effects.",EXACT_LEGACY_OUTPUT;FAMILY:desktop_shell_handles,Detected as EXACT_LEGACY_OUTPUT;FAMILY:desktop_shell_handles; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label under the command-migration section; it constrains platform evidence.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,0.6 Pre-Commit Linter & Verification CLI Execution Commands,CAN-SECTION-0181,0.6 Pre-Commit Linter & Verification CLI Execution Commands — Desktop shell,Lamha must implement the 0.6 Pre-Commit Linter & Verification CLI Execution Commands behavior for Desktop shell and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-GOV-058,Final Phase 16 command,Final Phase 16 command,"When the desktop shell handles Final Phase 16 command in 0.6 Pre-Commit Linter & Verification CLI Execution Commands, it must use the typed Tauri boundary, expose the result or stable error to the frontend, and reject requests outside the granted capability without side effects.",EXACT_LEGACY_OUTPUT;FAMILY:desktop_shell_handles,Detected as EXACT_LEGACY_OUTPUT;FAMILY:desktop_shell_handles; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Standalone legacy label referencing a phase that no longer exists; reclassified as a planning constraint.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,0.6 Pre-Commit Linter & Verification CLI Execution Commands,,,,SHORT
CAN-LAM-GOV-059,Unavailable command with documented baseline blocker,Unavailable command with documented baseline blocker,"When the desktop shell handles Unavailable command with documented baseline blocker in 0.6 Pre-Commit Linter & Verification CLI Execution Commands, it must use the typed Tauri boundary, expose the result or stable error to the frontend, and reject requests outside the granted capability without side effects.",EXACT_LEGACY_OUTPUT;FAMILY:desktop_shell_handles,Detected as EXACT_LEGACY_OUTPUT;FAMILY:desktop_shell_handles; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Tracker-column label under the command-migration section; constrains blocker evidence.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,0.6 Pre-Commit Linter & Verification CLI Execution Commands,CAN-SECTION-0181,0.6 Pre-Commit Linter & Verification CLI Execution Commands — Desktop shell,Lamha must implement the 0.6 Pre-Commit Linter & Verification CLI Execution Commands behavior for Desktop shell and satisfy every linked acceptance criterion.,LONG
CAN-LAM-FOLDER-003,Internal drives,Internal drives,"When a configured library encounters Internal drives during 1. Final Product Identity, Rust must apply authorized-root and access-mode rules, expose the resulting root or asset state, and leave files unchanged if validation, permission, or I/O checks fail.",EXACT_LEGACY_OUTPUT;FAMILY:library_encounters,Detected as EXACT_LEGACY_OUTPUT;FAMILY:library_encounters; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Label names an internal-drive scanning obligation; rewrite replaces the generic storage template with an observable scan outcome.,Libraries and storage,I4,WP-I4-010,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,1. Final Product Identity,CAN-SECTION-0166,1. Final Product Identity — Libraries and storage,Lamha must implement the 1. Final Product Identity behavior for Libraries and storage and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-FOLDER-004,External drives,External drives,"When a configured library encounters External drives during 1. Final Product Identity, Rust must apply authorized-root and access-mode rules, expose the resulting root or asset state, and leave files unchanged if validation, permission, or I/O checks fail.",EXACT_LEGACY_OUTPUT;FAMILY:library_encounters,Detected as EXACT_LEGACY_OUTPUT;FAMILY:library_encounters; explicit disposition REWRITE_AS_ACCEPTANCE_CRITERION with status REVIEWED_CORRECTED; rationale: Label names external-drive handling; rewrite separates connection scanning from detached-state preservation.,External drives and path resilience,I12,WP-I12-006,REWRITE_AS_ACCEPTANCE_CRITERION,ACCEPTANCE_CRITERION,1. Final Product Identity,CAN-SECTION-0166,1. Final Product Identity — Libraries and storage,Lamha must implement the 1. Final Product Identity behavior for Libraries and storage and satisfy every linked acceptance criterion.,SHORT
CAN-LAM-GOV-062,Required source assets,Required source assets,"When the user invokes Required source assets in 1.1 Codebase, the viewer must apply or display the behavior for the selected asset, expose the resulting UI state, and preserve the original media when the operation or format is unavailable.",EXACT_LEGACY_OUTPUT;FAMILY:user_invokes,"Detected as EXACT_LEGACY_OUTPUT;FAMILY:user_invokes; explicit disposition REWRITE_AS_REQUIREMENT with status REVIEWED_CORRECTED; rationale: Label names the source-asset loading obligation; rewrite names the actor, trigger, observable result, and failure behavior.",Asset viewer,I5,WP-I5-009,REWRITE_AS_REQUIREMENT,FUNCTIONAL_REQUIREMENT,1.1 Codebase,,,,SHORT
CAN-LAM-GOV-063,Required build files,Required build files,"When Required build files is exercised in 1.1 Codebase, Lamha must expose the resulting state and preserve the prior durable state if validation or execution fails.",EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised,Detected as EXACT_LEGACY_OUTPUT;FAMILY:fallback_exercised; explicit disposition RECLASSIFY_CONSTRAINT with status RECLASSIFIED; rationale: Standalone build-evidence label; constrains planning completeness rather than runtime behavior.,Planning and verification governance,,,RECLASSIFY_CONSTRAINT,CONSTRAINT,1.1 Codebase,,,,SHORT
CAN-LAM-GOV-065,Required legal files,Required legal files,"When producing 1.1 Codebase evidence, the repository and packaged application must identify Required legal files consistently, retain required attribution, and fail the release gate if any reviewed surface disagrees.",EXACT_LEGACY_OUTPUT;FAMILY:producing_evidence,Detected as EXACT_LEGACY_OUTPUT;FAMILY:producing_evidence; explicit disposition REWRITE_AS_REQUIREMENT with status REVIEWED_CORRECTED; rationale: Label names required legal files; rewrite adds the completeness check and release-blocking failure behavior.,Legal and rebranding,I1,WP-I1-002,REWRITE_AS_REQUIREMENT,FUNCTIONAL_REQUIREMENT,1.1 Codebase,,,,SHORT
CAN-LAM-ARCH-021,Preserve the original value,Preserve the original value.,"When Preserve the original value participates in 1.3 Directional Source-of-Truth & Authority Matrix, the authoritative record or transaction must persist its revision and provenance before derived-index publication, and any failed write must leave a recoverable prior state.",EXACT_LEGACY_OUTPUT;FAMILY:participates_in,Detected as EXACT_LEGACY_OUTPUT;FAMILY:participates_in; explicit disposition REWRITE_AS_REQUIREMENT with status REVIEWED_CORRECTED; rationale: Label names value preservation; rewrite names the transaction boundary and observable recovery result.,Filesystem transactions and recovery,I3,WP-I3-001,REWRITE_AS_REQUIREMENT,FUNCTIONAL_REQUIREMENT,1.3 Directional Source-of-Truth & Authority Matrix,,,,SHORT
