work_package_id,name,item_count,capability_count,capabilities,large_package_review_required,cross_capability_review_required,reviewer_judgement,review_reason,correction,sample_requirement_ids
WP-I0-001,Immutable archive baseline,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the immutable archive baseline architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-001
WP-I0-002,Git baseline and rollback tag,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the git baseline and rollback tag architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-002
WP-I0-003,Repository and archive hashes,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the repository and archive hashes architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-003
WP-I0-004,Mixed-version manifest investigation,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the mixed-version manifest investigation architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-004
WP-I0-005,Toolchain inventory,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the toolchain inventory architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-006
WP-I0-006,Disposable build workspace,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the disposable build workspace architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-005
WP-I0-007,Baseline build and test attempts,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the baseline build and test attempts architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-007
WP-I0-008,Missing fixture classification,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the missing fixture classification architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-008
WP-I0-009,Frontend coupling inventory,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the frontend coupling inventory architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-009
WP-I0-010,Outbound and commercial integration inventory,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the outbound and commercial integration inventory architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-010
WP-I0-011,Active-plan authority adoption,1,1,Repository proof and feasibility,false,false,CONFIRMED_COHESIVE,"The package is bounded to the active-plan authority adoption architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-MISSION-I0-011
WP-I1-001,Brand and identity inventory,9,1,Legal and rebranding,false,false,CONFIRMED_COHESIVE,"The package is bounded to the brand and identity inventory architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-001;CAN-LAM-ARCH-368;CAN-LAM-ARCH-434;CAN-LAM-ARCH-439;CAN-LAM-ARCH-442;CAN-LAM-ARCH-443;CAN-LAM-LEGAL-010;CAN-SECTION-0030
WP-I1-002,Visible UI rebrand,3,1,Legal and rebranding,false,false,CONFIRMED_COHESIVE,"The package is bounded to the visible ui rebrand architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-440;CAN-LAM-GOV-065;CAN-LAM-LEGAL-014
WP-I1-003,Package and bundle identity,2,1,Legal and rebranding,false,false,CONFIRMED_COHESIVE,"The package is bounded to the package and bundle identity architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-437;CAN-LAM-ARCH-438
WP-I1-004,Brand asset replacement,2,1,Legal and rebranding,false,false,CONFIRMED_COHESIVE,"The package is bounded to the brand asset replacement architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-435;CAN-LAM-ARCH-436
WP-I1-005,Licence and attribution preservation,17,1,Legal and rebranding,false,false,CONFIRMED_COHESIVE,"The package is bounded to the licence and attribution preservation architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-AI-048;CAN-LAM-AI-087;CAN-LAM-ARCH-349;CAN-LAM-ARCH-350;CAN-LAM-ARCH-351;CAN-LAM-ARCH-441;CAN-LAM-ASSET-148;CAN-LAM-ASSET-198
WP-I2-001,Tauri shell bootstrap,1,1,Desktop shell,false,false,CONFIRMED_COHESIVE,"The package is bounded to the tauri shell bootstrap architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-GOV-218
WP-I2-002,Static frontend packaging proof,1,1,Desktop shell,false,false,CONFIRMED_COHESIVE,"The package is bounded to the static frontend packaging proof architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-GOV-233
WP-I2-003,Offline desktop launch,1,1,Desktop shell,false,false,CONFIRMED_COHESIVE,"The package is bounded to the offline desktop launch architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-373
WP-I2-004,Tauri capabilities and permissions,1,1,Desktop shell,false,false,CONFIRMED_COHESIVE,"The package is bounded to the tauri capabilities and permissions architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-371
WP-I2-005,Local settings bootstrap,1,1,Desktop shell,false,false,CONFIRMED_COHESIVE,"The package is bounded to the local settings bootstrap architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-372
WP-I2-007,IPC envelope and versioning,1,1,Desktop shell,false,false,CONFIRMED_COHESIVE,"The package is bounded to the ipc envelope and versioning architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-335
WP-I2-008,Stable IPC errors,1,1,Desktop shell,false,false,CONFIRMED_COHESIVE,"The package is bounded to the stable ipc errors architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-370
WP-I2-011,Typed frontend command bridge,1,1,Desktop shell,false,false,CONFIRMED_COHESIVE,"The package is bounded to the typed frontend command bridge architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-GOV-217
WP-I2-013,Desktop shell smoke proof,4,1,Desktop shell,false,false,CONFIRMED_COHESIVE,"The package is bounded to the desktop shell smoke proof architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-014;CAN-LAM-ASSET-185;CAN-LAM-GOV-216;CAN-LAM-INV-ASSET-01
WP-I3-001,Authoritative record envelope,69,4,Filesystem transactions and recovery;Local data authority;Metadata;Sidecars and metadata authority,true,true,CONFIRMED_SHARED_BOUNDARY,"Reviewed cross-capability package: Authoritative record envelope is a shared architectural surface used by Filesystem transactions and recovery, Local data authority, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-021;CAN-LAM-ARCH-038;CAN-LAM-ARCH-144;CAN-LAM-ARCH-211;CAN-LAM-ASSET-005;CAN-LAM-ASSET-022;CAN-LAM-ASSET-039;CAN-LAM-ASSET-098
WP-I3-002,Stable asset identity,27,1,Asset identity and records,true,false,CONFIRMED_COHESIVE,"The package is bounded to the stable asset identity architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-AI-045;CAN-LAM-ARCH-057;CAN-LAM-ARCH-058;CAN-LAM-ARCH-059;CAN-LAM-ASSET-042;CAN-LAM-ASSET-051;CAN-LAM-ASSET-052;CAN-LAM-ASSET-053
WP-I3-003,Root authorization model,1,1,Local data authority,false,false,CONFIRMED_COHESIVE,"The package is bounded to the root authorization model architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-FOLDER-067
WP-I3-004,Path normalization and escape protection,1,1,Metadata,false,false,CONFIRMED_COHESIVE,"The package is bounded to the path normalization and escape protection architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-EDGE-14
WP-I3-005,Sidecar read protocol,1,1,Metadata,false,false,CONFIRMED_COHESIVE,"The package is bounded to the sidecar read protocol architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ASSET-134
WP-I3-006,Sidecar write protocol,2,2,Metadata;Sidecars and metadata authority,false,false,CONFIRMED_COHESIVE,"The package is bounded to the sidecar write protocol architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-425;CAN-SECTION-0112
WP-I3-007,Authoritative schema migrations,1,1,Sidecars and metadata authority,false,false,CONFIRMED_COHESIVE,"The package is bounded to the authoritative schema migrations architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-BACKUP-004
WP-I3-008,SQLite migration framework,31,5,Asset identity and records;Filesystem transactions and recovery;Local data authority;Metadata;Sidecars and metadata authority,true,true,CONFIRMED_SHARED_BOUNDARY,"Reviewed cross-capability package: SQLite migration framework is a shared architectural surface used by Asset identity and records, Filesystem transactions and recovery, Local data authority, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-AI-011;CAN-LAM-AI-012;CAN-LAM-ASSET-009;CAN-LAM-ASSET-010;CAN-LAM-ASSET-012;CAN-LAM-ASSET-014;CAN-LAM-ASSET-016;CAN-LAM-ASSET-017
WP-I3-009,Derived-index rebuild contract,11,3,Filesystem transactions and recovery;Local data authority;Sidecars and metadata authority,false,true,CONFIRMED_SHARED_BOUNDARY,"Reviewed cross-capability package: Derived-index rebuild contract is a shared architectural surface used by Filesystem transactions and recovery, Local data authority, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-AI-006;CAN-LAM-AI-027;CAN-LAM-ASSET-008;CAN-LAM-ASSET-040;CAN-LAM-ASSET-044;CAN-LAM-EVENT-005;CAN-LAM-GOV-223;CAN-LAM-INV-META-03
WP-I3-010,Filesystem operation journal,5,2,Filesystem transactions and recovery;Sidecars and metadata authority,false,false,CONFIRMED_COHESIVE,"The package is bounded to the filesystem operation journal architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ASSET-125;CAN-LAM-GOV-257;CAN-LAM-TRANSACTION-001;CAN-LAM-TRANSACTION-002;CAN-SECTION-0193
WP-I3-011,File-operation plan contract,13,2,Filesystem transactions and recovery;Local data authority,false,false,CONFIRMED_COHESIVE,"The package is bounded to the file-operation plan contract architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-279;CAN-LAM-ARCH-280;CAN-LAM-ARCH-281;CAN-LAM-ASSET-124;CAN-LAM-ASSET-186;CAN-LAM-FOLDER-036;CAN-LAM-FOLDER-037;CAN-LAM-FOLDER-040
WP-I3-012,Prepare and stage transaction,3,3,Asset identity and records;Filesystem transactions and recovery;Local data authority,false,true,CONFIRMED_SHARED_BOUNDARY,"Reviewed cross-capability package: Prepare and stage transaction is a shared architectural surface used by Asset identity and records, Filesystem transactions and recovery, Local data authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-FOLDER-011;CAN-LAM-META-008;CAN-LAM-TRANSACTION-011
WP-I3-014,Crash recovery engine,2,1,Filesystem transactions and recovery,false,false,CONFIRMED_COHESIVE,"The package is bounded to the crash recovery engine architectural surface and its direct contracts, records, and tests.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-282;CAN-SECTION-0094
WP-I3-015,Revision and concurrency preconditions,6,3,Local data authority;Metadata;Sidecars and metadata authority,false,true,CONFIRMED_SHARED_BOUNDARY,"Reviewed cross-capability package: Revision and concurrency preconditions is a shared architectural surface used by Local data authority, Metadata, Sidecars and metadata authority. Membership is linked by the same contract/record/workflow boundary, not source order or capacity.",Candidate membership and title reviewed; no numerical/source slicing retained.,CAN-LAM-ARCH-022;CAN-LAM-ARCH-184;CAN-LAM-ASSET-187;CAN-LAM-META-016;CAN-LAM-META-017;CAN-LAM-META-077
