failure_id,record_id,original_failure_description,canonical_statement,rationale,risk,required_control,verification_gate,acceptance_criterion,source_evidence,related_package,related_phase,removal_condition,review_status,review_rationale,reviewer_type,review_revision,correction_applied
FAIL-01,CAN-FAIL-01,"Skipping video, HEIF, supported RAW, or companion-media handling during ingestion.","Lamha ingestion must classify every approved media class and must either index supported video, HEIF, RAW, and companion-media bundles or return a typed, user-visible unsupported-format error; silent skipping and original-media overwrite are prohibited.","Media coverage requires explicit outcomes for every approved class.","Silent asset loss or unreported format exclusion.","Approved format matrix, typed classification result, immutable originals, and companion linkage.","Cross-format ingestion and companion-set fixture gate.","Given one approved fixture for each media class, when ingestion runs, then each asset is indexed with its companions intact or returns a typed visible unsupported-format error, and every original hash is unchanged.","Master Plan File 2 FAIL-01 and File 3 media gates.",WP-I4-003,I4,"Remove the legacy skip behavior only after the approved format matrix and fixtures pass.",REVIEWED_CORRECTED,"Separated the prohibition, control, evidence, and fixture gate from the historical audit paragraph.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Normalized overloaded audit text into a media-ingestion control."
FAIL-02,CAN-FAIL-02,"Writing stubs or mock production data to pass compilation.","Completed production paths must contain no stub success, todo macro, empty success return, or hard-coded mock dataset that substitutes for required behavior.","Compilation without behavior is not implementation evidence.","False completion and hidden runtime failure.","Placeholder scan plus symbol-level behavior review.","No-placeholder production behavior gate.","Given the changed production symbols, when the placeholder scan and focused behavior tests run, then no stub marker or dummy success remains and each required path produces real state-derived output.","Master Plan File 2 FAIL-02 and LAM-INV-COMP-02.",WP-I0-011,I0,"A placeholder may be removed only after the real behavior and its focused test replace it.",REVIEWED_CORRECTED,"Converted a governance audit paragraph into an observable completion prohibition.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added a concrete scan and behavior gate."
FAIL-03,CAN-FAIL-03,"Completing Svelte screens with hard-coded mock data and no live IPC.","A completed target screen must obtain mutable or persisted state through its reviewed typed Tauri command and render the returned local data; hard-coded production mock state is prohibited.","UI completion depends on the live local command contract.","A visually complete but nonfunctional desktop surface.","Typed frontend command bridge and UI-to-command integration test.","Live Tauri IPC wiring gate.","Given seeded local state, when a user opens and exercises the target screen, then the expected reviewed command is invoked and the visible result reflects returned local data rather than a bundled mock.","Master Plan File 2 FAIL-03 and Gate 5.",WP-I2-011,I2,"Remove mock production state after live command integration passes.",REVIEWED_CORRECTED,"Assigned the failure to the typed frontend bridge instead of a generic shell paragraph.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Created a live-data integration prohibition and criterion."
FAIL-04,CAN-FAIL-04,"Silently dropping XMP sidecar generation.","For every writable managed asset whose approved metadata is XMP-compatible, Lamha must write the co-located asset record and XMP mirror or expose a typed degraded state until reconciliation succeeds; silent XMP omission is prohibited.","XMP is a reviewed mirror with visible convergence rules.","Metadata divergence and invisible sidecar loss.","Transactional sidecar write, degraded state, and reconciliation.","Sidecar coexistence and reconciliation gate.","Given a writable managed asset with XMP-compatible metadata, when the sidecar transaction commits, then both sidecars exist with the expected revision or a visible degraded state identifies the failed mirror and retry path.","Master Plan File 2 FAIL-04 and LAM-INV-ASSET-03.",WP-I3-006,I3,"Remove legacy JSON-only writes after coexistence and failure-injection tests pass.",REVIEWED_CORRECTED,"Separated XMP authority and degraded behavior from history.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added transactional convergence and failure visibility."
FAIL-05,CAN-FAIL-05,"Creating physical category directories for people, groups, albums, or tags.","Event materialization must create only approved physical placement classes; people, group, album, and tag organization must remain virtual and must not create or duplicate category folders.","Category views are projections, not filesystem authority.","Duplicate media and divergent physical organization.","Typed materialization plan restricted to approved placement variants.","Zero-category-folder materialization gate.","Given assets assigned to people, groups, albums, and tags, when organization plans are simulated and committed, then no category directory or duplicate media copy is created and virtual memberships remain queryable.","Master Plan File 2 FAIL-05 and event-folder rules.",WP-I6-009,I6,"Remove category-folder paths after virtual-view parity and filesystem scans pass.",REVIEWED_CORRECTED,"Assigned the prohibition to event filesystem materialization.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Defined approved physical classes and a zero-copy gate."
FAIL-06,CAN-FAIL-06,"Automatically merging face clusters without user review.","Face-cluster analysis may create typed merge candidates, but Lamha must not persist a cluster merge until a user or an explicitly reviewed narrow rule approves it through the Review Centre.","Consequential identity changes require reviewed authority.","Irreversible identity corruption from model error.","Candidate record, Review Centre decision, and Rust-only authoritative commit.","Face-cluster human-review gate.","Given two candidate face clusters, when the model proposes a merge, then identities remain separate until approval and only the approved Rust command persists the merge with provenance.","Master Plan File 2 FAIL-06 and LAM-INV-AI-01.",WP-I7-003,I7,"Remove automatic merge code after candidate-only and approval tests pass.",REVIEWED_CORRECTED,"Moved the control from generic AI wording to face-cluster curation.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added proposal-versus-authority behavior."
FAIL-07,CAN-FAIL-07,"Exposing the local AI worker through a network listener.","The AI worker must communicate only through the reviewed private local transport owned by Rust and must not open an HTTP, WebSocket, TCP, UDP, or other listener reachable by unrelated clients.","The worker is a private child process, not a service.","Remote access, data exposure, and undeclared network dependency.","Non-network transport, parent-child lifecycle, listener scan, and outbound denial.","Private worker transport and listener-isolation gate.","Given the packaged worker on each supported platform, when Rust starts and exercises it, then requests complete through the private transport and socket inspection finds no listening network endpoint.","Master Plan File 2 FAIL-07 and LAM-AI-001.",WP-I10-002,I10,"Remove legacy network transport after private IPC lifecycle and listener tests pass.",REVIEWED_CORRECTED,"Assigned the prohibition to the private worker transport package.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Specified transport, ownership, and observable listener absence."
FAIL-08,CAN-FAIL-08,"Overwriting the original filename during rename or move.","At ingestion Lamha must persist the original filename once in the authoritative asset record, and every later rename, move, relink, or restore must preserve that value unchanged.","Original name is immutable provenance.","Loss of recovery and provenance information.","Write-once originalFilename field with revision validation.","Original-filename immutability and restore gate.","Given an ingested asset, when it is renamed, moved, relinked, and restored, then the current path changes as expected while originalFilename and its initial provenance remain byte-for-byte unchanged.","Master Plan File 2 FAIL-08 and LAM-INV-ASSET-05.",WP-I3-002,I3,"Remove legacy path-derived original-name writes after immutability tests pass.",REVIEWED_CORRECTED,"Reduced the audit paragraph to a write-once identity requirement.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added lifecycle triggers and an immutable observable."
FAIL-09,CAN-FAIL-09,"Deleting server infrastructure before callers and retained behavior are replaced.","Lamha must not remove a legacy subsystem until every retained caller has migrated, replacement behavior and applicable gates pass, and a dependency rescan proves the subsystem is no longer load-bearing.","Removal is safe only after replacement verification.","Broken retained behavior and unrecoverable premature deletion.","Replacement evidence, caller migration, dependency scan, and package gate.","Replacement-before-removal gate.","Given a legacy subsystem proposed for removal, when its removal package runs, then every retained caller points to a verified replacement and the final dependency/runtime scan reports zero load-bearing references before deletion begins.","Master Plan File 2 FAIL-09 and replacement-before-removal guardrail.",WP-I15-015,I15,"The subsystem may be removed only after replacement_verified is true and all dependency evidence is recorded.",REVIEWED_CORRECTED,"Created an explicit removal package and order gate.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Separated historical risk from the removal precondition."
FAIL-10,CAN-FAIL-10,"Treating rebuildable SQLite data as the only durable authority.","Lamha must persist approved user knowledge in its declared authoritative records and must be able to rebuild every derived SQLite index without losing those decisions.","SQLite is a derived or transactional store according to the authority registry.","Permanent loss of approved user knowledge.","Authority registry, versioned records, deterministic rebuild, and comparison.","Derived-index rebuild and decision-survival gate.","Given authoritative records containing approved decisions and a removed derived database, when rebuild runs, then the reconstructed indexes expose the same decisions and no authoritative value is missing or changed.","Master Plan File 2 FAIL-10 and LAM-INV-META-03.",WP-I3-009,I3,"Remove SQLite-only persistence after destructive rebuild fixtures pass.",REVIEWED_CORRECTED,"Separated durable authority from the destructive test setup.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added rebuild source and decision-equivalence verification."
FAIL-11,CAN-FAIL-11,"Moving or renaming linked-folder assets during organization.","Automated event organization and duplicate workflows must index linked-folder assets in place and must never move or rename them, regardless of filesystem writability.","Linked folders are non-destructive references.","Unexpected mutation of user-managed folders.","Linked-root access mode enforced by every materialization plan.","Linked-folder immobility gate.","Given a writable linked folder, when event and duplicate plans are simulated and committed, then every linked asset path and content hash remains unchanged while logical assignments are updated.","Master Plan File 2 FAIL-11 and LAM-INV-EVENT-03.",WP-I6-009,I6,"Remove linked-path mutation branches after immobility tests pass.",REVIEWED_CORRECTED,"Assigned the rule to the filesystem materialization boundary.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added trigger and path/hash preservation proof."
FAIL-12,CAN-FAIL-12,"Conflating camera owner with photographer.","Lamha must store camera owner and photographer as distinct attribution fields and must never copy, inherit, or overwrite one from the other without an explicit reviewed user action.","Hardware ownership and capture authorship are different facts.","Incorrect attribution and metadata corruption.","Distinct typed fields, independent provenance, and explicit proposal workflow.","Attribution role-separation gate.","Given an asset whose camera owner and photographer differ, when metadata is imported and edited, then both identities and provenances remain distinct and changing either field leaves the other unchanged.","Master Plan File 2 FAIL-12 and LAM-REMOVE-002.",WP-I8-007,I8,"Remove conflated legacy fields after import and edit separation tests pass.",REVIEWED_CORRECTED,"Assigned the rule to the attribution schema and importer.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added distinct fields and independence criterion."
FAIL-13,CAN-FAIL-13,"Auto-populating visible people from event attendees.","Event attendee membership and asset-visible-person membership must remain separate authoritative relationships; neither may automatically populate the other.","Presence at an event does not prove visibility in a specific asset.","False biometric and relationship claims.","Distinct typed memberships and independent proposal paths.","Attendee-versus-visible-person separation gate.","Given an attendee who is not visible in an asset, when the event is linked to that asset, then the attendee remains on the event record and is absent from the asset visiblePersonIds unless separately approved.","Master Plan File 2 FAIL-13 and LAM-REMOVE-003.",WP-I6-002,I6,"Remove cross-population logic after separation fixtures pass.",REVIEWED_CORRECTED,"Assigned the boundary to authoritative event records.",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Defined separate authorities and a negative fixture."
