work_package_id,implementation_phase,name,objective,included_requirement_count,capability_diversity,read_mutation_summary,contracts_affected,schemas_affected,technical_prerequisites,tests,exit_gate,direct_dependents,classification,decision_rationale,reviewer_status,reviewer_type,review_revision
WP-I0-001,I0,Read-only repository provenance and integrity baseline,"Inspect the existing repository without mutation and record provenance, file inventory, SHA-256 integrity, available Git state, and toolchain/manifest evidence only inside Graphify.",2,2,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,NONE; this package inspects existing repository state only.,NONE; evidence uses the reviewed Graphify report formats only.,,"Recompute the outside-Graphify inventory and SHA-256 manifest; compare Git metadata without optional locks; scan for newly created build, test, cache, package-manager, generated-code, copy, backup, or archive artifacts.",All provenance evidence is inside Graphify; no archive or backup exists; no application file or Git state changed; the final outside-Graphify comparison reports zero changes.,WP-I0-002;WP-I0-003;WP-I0-004;WP-I0-006;WP-I0-008;WP-I0-009;WP-I0-010;WP-I0-011;WP-I1-001,KEEP,KEEP: Read-only repository provenance and integrity baseline remains the bounded I0 owner of its 2 requirements across 2 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I0-002,I0,Read-only Git-state inspection,"Inspect existing Git state without creating or modifying commits, branches, tags, stashes, worktrees, the index, or configuration.",1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-001,Run read-only Git inspection with optional locks disabled and prove relevant Git metadata is unchanged.,Existing Git state is recorded and before/after metadata integrity is identical; no Git mutation occurred.,,KEEP,KEEP: Read-only Git-state inspection remains the bounded I0 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I0-003,I0,Existing repository SHA-256 manifest,"Calculate and verify path, size, and SHA-256 evidence for existing repository files without creating an archive, backup, or duplicate tree.",1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-001,"Rehash every manifest entry and verify path, byte size, and digest equality.","Every manifest entry verifies and no archive, backup, copy, or repository mutation exists.",,KEEP,KEEP: Existing repository SHA-256 manifest remains the bounded I0 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I0-004,I0,Mixed-version manifest investigation,Implement and verify the bounded mixed-version manifest investigation surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-001,"Focused success, boundary, and failure tests for mixed-version manifest investigation; affected integration checks.",The mixed-version manifest investigation objective and failure tests pass with no unrelated package work included.,WP-I0-005;WP-I0-007;WP-I2-002,KEEP,KEEP: Mixed-version manifest investigation remains the bounded I0 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I0-005,I0,Toolchain inventory,Implement and verify the bounded toolchain inventory surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-004,"Focused success, boundary, and failure tests for toolchain inventory; affected integration checks.",The toolchain inventory objective and failure tests pass with no unrelated package work included.,WP-I0-007;WP-I10-003;WP-I15-006;WP-I2-001,KEEP,KEEP: Toolchain inventory remains the bounded I0 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I0-006,I0,Build-output isolation decision,Define where later authorized build and test outputs may be written without creating a repository copy during the read-only provenance baseline.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-001,"Validate that the decision authorizes no current build, test, cache, generated-code, package-manager, or duplicate-tree output.","The later writable boundary is explicit and no workspace, copy, build, test, cache, or generated output was created.",,KEEP,KEEP: Build-output isolation decision remains the bounded I0 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I0-007,I0,Baseline build and test attempts,Implement and verify the bounded baseline build and test attempts surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-004;WP-I0-005,"Focused success, boundary, and failure tests for baseline build and test attempts; affected integration checks.",The baseline build and test attempts objective and failure tests pass with no unrelated package work included.,WP-I14-001,KEEP,KEEP: Baseline build and test attempts remains the bounded I0 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I0-008,I0,Missing fixture classification,Implement and verify the bounded missing fixture classification surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-001,"Focused success, boundary, and failure tests for missing fixture classification; affected integration checks.",The missing fixture classification objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Missing fixture classification remains the bounded I0 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I0-009,I0,Frontend coupling inventory,Implement and verify the bounded frontend coupling inventory surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-001,"Focused success, boundary, and failure tests for frontend coupling inventory; affected integration checks.",The frontend coupling inventory objective and failure tests pass with no unrelated package work included.,,KEEP,KEEP: Frontend coupling inventory remains the bounded I0 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
WP-I0-010,I0,Outbound and commercial integration inventory,Implement and verify the bounded outbound and commercial integration inventory surface.,1,1,Reviewed for read/mutation separation in Pass 2; navigation and mutation members are in distinct packages.,Explicitly listed in the generated packet from reviewed command-to-package references; NONE only when verified.,Explicitly listed in the generated packet from reviewed record-to-package references; NONE only when verified.,WP-I0-001,"Focused success, boundary, and failure tests for outbound and commercial integration inventory; affected integration checks.",The outbound and commercial integration inventory objective and failure tests pass with no unrelated package work included.,WP-I15-014,KEEP,KEEP: Outbound and commercial integration inventory remains the bounded I0 owner of its 1 requirements across 1 capabilities; cohesion review found no known mixed read/mutation semantics or capability sprawl requiring restructure.,REVIEWED,AI_SEMANTIC_REVIEW_PASS2,2026-08-05-pass2-package-reconstruction
