Package ID,Canonical ID,Requirement statement,Capability,Phase,Authority owner,Read or mutation classification,Existing Codebase path,Planned Codebase path,Contract owner,Schema owner,Command owner,Persistence owner,Test owner,Failure owner,Recovery owner,Candidate package,Final package,Alternative package considered,Keep or move decision,Item-specific rationale,Evidence,Reviewer role,Review revision,Review status
WP-I4-003,CAN-FAIL-01,"Lamha ingestion must classify every approved media class and must either index supported video, HEIF, RAW, and companion-media bundles or return a typed, user-visible unsupported-format error; silent skipping and original-media overwrite are prohibited.",Media format classification,I4,Media format classification,MIXED,Codebase/docs/docs/features/supported-formats.md;Codebase/mobile/lib/models/download/livephotos_medatada.model.dart;Codebase/mobile/packages/ui/lib/src/previews/formatted_text.dart,Codebase/src-tauri/src/wp_i4_003/,WP-I4-003,WP-I4-003,,WP-I4-003,WP-I4-003,WP-I4-003,WP-I4-003,WP-I4-003,WP-I4-003,,KEEP,"Source 02-EVERYTHING-WE-ARE-DELETING.md section '1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`)' locator 'lines 98-98' clause 'FAIL-01; Skipping video, HEIF, supported RAW, or companion-media handling during ingestion.; Narrative mentioned “photos and videos” without a verified format/pairing matrix.; The local media layer MUST decode/preview and extract metadata for File 3 Section 24 formats. Derived previews may transcode through bundled tooling; originals are never silently transcoded/overwritten; Live Photo and RAW+JPEG containers remain linked independent bundles.; Mapped cross-format ingestion/preview and Companion Set tests; exact command recorded in Phase 1.' requires 'Lamha ingestion must classify every approved media class and must either index supported video, HEIF, RAW, and companion-media bundles or return a typed, user-visible unsupported-format error; silent skipping and original-media overwrite are prohibited.'. The reviewed actor is The Media format classification subsystem; trigger is 'FAIL-01; Skipping video, HEIF, supported RAW, or companion-media handling during ingestion.; Narrative mentioned “photos and videos” without a verified format/pairing matrix.; The local media layer MUST decode/preview and extract metadata for File 3 Section 24 formats. Derived previews may transcode through bundled tooling; originals are never silently transcoded/overwritten; Live Photo and RAW+JPEG containers remain linked independent bundles.; Mapped cross-format ingestion/preview and Companion Set tests; exact command recorded in Phase 1.'; observable result is 'Given one approved fixture for each media class, when ingestion runs, then each asset is indexed with its companions intact or returns a typed visible unsupported-format error, and every original hash is unchanged.'; verification is 'Cross-format ingestion and companion-set fixture gate.'; authority is Owned by Media format classification in I4; writes execute only through the reviewed WP-I4-003 boundary; Codebase evidence: EXISTING_VERIFIED (Verified existing paths: ['Codebase/mobile/lib/models/download/livephotos_medatada.model.dart', 'Codebase/mobile/package). Decision: CONFIRMED because no semantic defect was found.",reviewed-actionable-requirements-v3.csv; reviewed-package-codebase-map-v1.csv,PASS_B_MEMBER_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I0-011,CAN-FAIL-02,"Completed production paths must contain no stub success, todo macro, empty success return, or hard-coded mock dataset that substitutes for required behavior.",Active-plan authority adoption,I0,Active-plan authority adoption,MIXED,Codebase/mobile/packages/ui/lib/src/previews/password_input.dart;Codebase/server/test/repositories/config.repository.mock.ts;Codebase/server/test/repositories/metadata.repository.mock.ts,Codebase/src-tauri/src/wp_i0_011/,WP-I0-011,WP-I0-011,,WP-I0-011,WP-I0-011,WP-I0-011,WP-I0-011,WP-I0-011,WP-I0-011,,KEEP,"Source 02-EVERYTHING-WE-ARE-DELETING.md section '1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`)' locator 'lines 99-99' clause 'FAIL-02; Writing stub functions (todo!() or empty Ok(())) or mock data arrays to pass compilation.; Lacked explicit prohibition against stubbing and prototyping.; Anti-Prototype Rule (LAM-INV-COMP-02): Zero stubs, TODO macros, or dummy mock JSON arrays are permitted as completed production behaviour.; Mapped placeholder-production scan plus symbol review.' requires 'Completed production paths must contain no stub success, todo macro, empty success return, or hard-coded mock dataset that substitutes for required behavior.'. The reviewed actor is The Active-plan authority adoption subsystem; trigger is 'FAIL-02; Writing stub functions (todo!() or empty Ok(())) or mock data arrays to pass compilation.; Lacked explicit prohibition against stubbing and prototyping.; Anti-Prototype Rule (LAM-INV-COMP-02): Zero stubs, TODO macros, or dummy mock JSON arrays are permitted as completed production behaviour.; Mapped placeholder-production scan plus symbol review.'; observable result is 'Given the changed production symbols, when the placeholder scan and focused behavior tests run, then no stub marker or dummy success remains and each required path produces real state-derived output.'; verification is 'No-placeholder production behavior gate.'; authority is Owned by Active-plan authority adoption in I0; writes execute only through the reviewed WP-I0-011 boundary; Codebase evidence: EXISTING_VERIFIED (Verified existing paths: ['Codebase/server/test/repositories/metadata.repository.mock.ts', 'Codebase/server/test/reposit). Decision: CONFIRMED because no semantic defect was found.",reviewed-actionable-requirements-v3.csv; reviewed-package-codebase-map-v1.csv,PASS_B_MEMBER_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I2-011,CAN-FAIL-03,A completed target screen must obtain mutable or persisted state through its reviewed typed Tauri command and render the returned local data; hard-coded production mock state is prohibited.,Typed frontend command bridge,I2,Typed frontend command bridge,MIXED,Codebase/server/test/repositories/metadata.repository.mock.ts;Codebase/server/test/repositories/system-metadata.repository.mock.ts;Codebase/web/src/lib/components/TestWrapper.svelte,Codebase/src-tauri/src/wp_i2_011/,WP-I2-011,WP-I2-011,,WP-I2-011,WP-I2-011,WP-I2-011,WP-I2-011,WP-I2-011,WP-I2-011,,KEEP,"Source 02-EVERYTHING-WE-ARE-DELETING.md section '1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`)' locator 'lines 100-100' clause 'FAIL-03; Building Svelte UI screens with hardcoded mock data without wiring Tauri IPC or SQLite.; Allowed marking frontend done separately from backend logic.; Gate 5 (Tauri IPC Wiring): Completed target screens must invoke live mapped Tauri commands and display real local data.; Mapped UI/IPC end-to-end test; exact runner and test path recorded in Phase 1.' requires 'A completed target screen must obtain mutable or persisted state through its reviewed typed Tauri command and render the returned local data; hard-coded production mock state is prohibited.'. The reviewed actor is The Typed frontend command bridge subsystem; trigger is 'FAIL-03; Building Svelte UI screens with hardcoded mock data without wiring Tauri IPC or SQLite.; Allowed marking frontend done separately from backend logic.; Gate 5 (Tauri IPC Wiring): Completed target screens must invoke live mapped Tauri commands and display real local data.; Mapped UI/IPC end-to-end test; exact runner and test path recorded in Phase 1.'; observable result is 'Given seeded local state, when a user opens and exercises the target screen, then the expected reviewed command is invoked and the visible result reflects returned local data rather than a bundled mock.'; verification is 'Live Tauri IPC wiring gate.'; authority is Owned by Typed frontend command bridge in I2; writes execute only through the reviewed WP-I2-011 boundary; Codebase evidence: EXISTING_VERIFIED (Verified existing paths: ['Codebase/web/src/test-data/mocks/UserPageLayout.mock.svelte', 'Codebase/server/test/repositor). Decision: CONFIRMED because no semantic defect was found.",reviewed-actionable-requirements-v3.csv; reviewed-package-codebase-map-v1.csv,PASS_B_MEMBER_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I3-006,CAN-FAIL-04,"For every writable managed asset whose approved metadata is XMP-compatible, Lamha must write the co-located asset record and XMP mirror or expose a typed degraded state until reconciliation succeeds; silent XMP omission is prohibited.",Sidecar write protocol,I3,Sidecar write protocol,MIXED,Codebase/docs/docs/features/xmp-sidecars.md;Codebase/server/src/schema/migrations/1764698859174-SidecarInAssetFile.ts;Codebase/web/src/lib/components/AssetViewerEvents.svelte,Codebase/src-tauri/src/wp_i3_006/,WP-I3-006,WP-I3-006,,WP-I3-006,WP-I3-006,WP-I3-006,WP-I3-006,WP-I3-006,WP-I3-006,,KEEP,"Source 02-EVERYTHING-WE-ARE-DELETING.md section '1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`)' locator 'lines 101-101' clause 'FAIL-04; Silently dropping XMP sidecar generation to save disk I/O.; JSON sidecars were emphasized over XMP.; LAM-INV-ASSET-03: Every writable managed asset must converge to co-located .asset.json and .xmp; degraded/read-only states remain visible until repaired/reconciled.; Mapped sidecar coexistence, degraded-state, and reconciliation tests.' requires 'For every writable managed asset whose approved metadata is XMP-compatible, Lamha must write the co-located asset record and XMP mirror or expose a typed degraded state until reconciliation succeeds; silent XMP omission is prohibited.'. The reviewed actor is The Sidecar write protocol subsystem; trigger is 'FAIL-04; Silently dropping XMP sidecar generation to save disk I/O.; JSON sidecars were emphasized over XMP.; LAM-INV-ASSET-03: Every writable managed asset must converge to co-located .asset.json and .xmp; degraded/read-only states remain visible until repaired/reconciled.; Mapped sidecar coexistence, degraded-state, and reconciliation tests.'; observable result is 'Given a writable managed asset with XMP-compatible metadata, when the sidecar transaction commits, then both sidecars exist with the expected revision or a visible degraded state identifies the failed mirror and retry path.'; verification is 'Sidecar coexistence and reconciliation gate.'; authority is Owned by Sidecar write protocol in I3; writes execute only through the reviewed WP-I3-006 boundary; Codebase evidence: EXISTING_VERIFIED (Verified existing paths: ['Codebase/web/src/lib/components/sharedlinks-page/covers/__tests__/AssetCover.spec.ts', 'Codeb). Decision: CONFIRMED because no semantic defect was found.",reviewed-actionable-requirements-v3.csv; reviewed-package-codebase-map-v1.csv,PASS_B_MEMBER_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I6-009,CAN-FAIL-05,"Event materialization must create only approved physical placement classes; people, group, album, and tag organization must remain virtual and must not create or duplicate category folders.",Event filesystem materialization plan,I6,Event filesystem materialization plan,MIXED,Codebase/mobile/lib/domain/services/sync_linked_album.service.dart;Codebase/web/src/lib/managers/event-manager.svelte.ts;Codebase/web/src/lib/utils/base-event-manager.svelte.ts,Codebase/src-tauri/src/wp_i6_009/,WP-I6-009,WP-I6-009,events.commit_plan,WP-I6-009,WP-I6-009,WP-I6-009,WP-I6-009,WP-I6-009,WP-I6-009,,KEEP,"Source 02-EVERYTHING-WE-ARE-DELETING.md section '1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`)' locator 'lines 102-102' clause 'FAIL-05; Creating physical directories on disk for People, Groups, Albums, or Tags.; Lacked explicit distinction between physical placement classes and virtual views.; Category folders are forbidden. Valid physical classes are dated or unknown-date normalized Event Folders, Manage Later, Linked Folders, and explicit system-controlled backup/Trash/staging/cache/overlay/export locations.; Mapped zero-category-copy safety test.' requires 'Event materialization must create only approved physical placement classes; people, group, album, and tag organization must remain virtual and must not create or duplicate category folders.'. The reviewed actor is The Event filesystem materialization plan subsystem; trigger is 'FAIL-05; Creating physical directories on disk for People, Groups, Albums, or Tags.; Lacked explicit distinction between physical placement classes and virtual views.; Category folders are forbidden. Valid physical classes are dated or unknown-date normalized Event Folders, Manage Later, Linked Folders, and explicit system-controlled backup/Trash/staging/cache/overlay/export locations.; Mapped zero-category-copy safety test.'; observable result is 'Given assets assigned to people, groups, albums, and tags, when organization plans are simulated and committed, then no category directory or duplicate media copy is created and virtual memberships remain queryable.'; verification is 'Zero-category-folder materialization gate.'; authority is Owned by Event filesystem materialization plan in I6; writes execute only through the reviewed WP-I6-009 boundary; Codebase evidence: EXISTING_VERIFIED (Verified existing paths: ['Codebase/web/src/routes/(user)/people/manage/ManagePeopleVisibility.test-wrapper.svelte', 'Co). Decision: CONFIRMED because no semantic defect was found.",reviewed-actionable-requirements-v3.csv; reviewed-package-codebase-map-v1.csv,PASS_B_MEMBER_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I7-003,CAN-FAIL-06,"Face-cluster analysis may create typed merge candidates, but Lamha must not persist a cluster merge until a user or an explicitly reviewed narrow rule approves it through the Review Centre.",Face clustering and curation,I7,Face clustering and curation,MIXED,Codebase/docs/docs/guides/better-facial-clusters.md;Codebase/packages/plugin-core/manifest.json;Codebase/packages/plugin-core/package.json,Codebase/src-tauri/src/wp_i7_003/,WP-I7-003,WP-I7-003,,WP-I7-003,WP-I7-003,WP-I7-003,WP-I7-003,WP-I7-003,WP-I7-003,,KEEP,"Source 02-EVERYTHING-WE-ARE-DELETING.md section '1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`)' locator 'lines 103-103' clause 'FAIL-06; Automatically merging face clusters without user review in Review Centre.; AI section didn't specify human-in-the-loop gating for cluster merges.; LAM-INV-AI-01: Workers return typed results to Rust; consequential candidates enter Review; only the Rust core may persist approved JSON after user action/approved narrow rule.; Mapped AI zero-authority and cluster-review tests.' requires 'Face-cluster analysis may create typed merge candidates, but Lamha must not persist a cluster merge until a user or an explicitly reviewed narrow rule approves it through the Review Centre.'. The reviewed actor is The Face clustering and curation subsystem; trigger is 'FAIL-06; Automatically merging face clusters without user review in Review Centre.; AI section didn't specify human-in-the-loop gating for cluster merges.; LAM-INV-AI-01: Workers return typed results to Rust; consequential candidates enter Review; only the Rust core may persist approved JSON after user action/approved narrow rule.; Mapped AI zero-authority and cluster-review tests.'; observable result is 'Given two candidate face clusters, when the model proposes a merge, then identities remain separate until approval and only the approved Rust command persists the merge with provenance.'; verification is 'Face-cluster human-review gate.'; authority is Owned by Face clustering and curation in I7; writes execute only through the reviewed WP-I7-003 boundary; Codebase evidence: EXISTING_VERIFIED (Verified existing paths: ['Codebase/packages/plugin-core/package.json', 'Codebase/packages/plugin-core/manifest.json', '). Decision: CONFIRMED because no semantic defect was found.",reviewed-actionable-requirements-v3.csv; reviewed-package-codebase-map-v1.csv,PASS_B_MEMBER_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I10-002,CAN-FAIL-07,"The AI worker must communicate only through the reviewed private local transport owned by Rust and must not open an HTTP, WebSocket, TCP, UDP, or other listener reachable by unrelated clients.",Private local worker transport,I10,Private local worker transport,MIXED,Codebase/server/src/maintenance/maintenance-worker.service.ts;Codebase/web/src/lib/managers/timeline-manager/internal/websocket-support.svelte.ts;Codebase/web/src/service-worker/index.ts,Codebase/src-tauri/src/wp_i10_002/,WP-I10-002,WP-I10-002,,WP-I10-002,WP-I10-002,WP-I10-002,WP-I10-002,WP-I10-002,WP-I10-002,,KEEP,"Source 02-EVERYTHING-WE-ARE-DELETING.md section '1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`)' locator 'lines 104-104' clause 'FAIL-07; Exposing the local AI worker through HTTP, WebSocket, TCP, UDP, or another listener available to unrelated clients.; “Worker” was underspecified and models default to service processes.; LAM-AI-001: Svelte-to-Rust transport is Tauri IPC. Rust-to-worker transport is a non-network local IPC mechanism chosen after Phase 1 maps existing ML transport, lifecycle, streaming, cancellation, Windows/macOS/Linux compatibility, packaging, and security. Standard input/output, named pipes, Unix-domain sockets, Tauri sidecar communication, or another validated local mechanism may be used, but no listening TCP/UDP port or HTTP/WebSocket service is permitted.; Mapped process/listener isolation and IPC lifecycle tests.' requires 'The AI worker must communicate only through the reviewed private local transport owned by Rust and must not open an HTTP, WebSocket, TCP, UDP, or other listener reachable by unrelated clients.'. The reviewed actor is The Private local worker transport subsystem; trigger is 'FAIL-07; Exposing the local AI worker through HTTP, WebSocket, TCP, UDP, or another listener available to unrelated clients.; “Worker” was underspecified and models default to service processes.; LAM-AI-001: Svelte-to-Rust transport is Tauri IPC. Rust-to-worker transport is a non-network local IPC mechanism chosen after Phase 1 maps existing ML transport, lifecycle, streaming, cancellation, Windows/macOS/Linux compatibility, packaging, and security. Standard input/output, named pipes, Unix-domain sockets, Tauri sidecar communication, or another validated local mechanism may be used, but no listening TCP/UDP port or HTTP/WebSocket service is permitted.; Mapped process/listener isolation and IPC lifecycle tests.'; observable result is 'Given the packaged worker on each supported platform, when Rust starts and exercises it, then requests complete through the private transport and socket inspection finds no listening network endpoint.'; verification is 'Private worker transport and listener-isolation gate.'; authority is Owned by Private local worker transport in I10; writes execute only through the reviewed WP-I10-002 boundary; Codebase evidence: EXISTING_VERIFIED (Verified existing paths: ['Codebase/web/src/lib/managers/timeline-manager/internal/websocket-support.svelte.ts', 'Codeba). Decision: CONFIRMED because no semantic defect was found.",reviewed-actionable-requirements-v3.csv; reviewed-package-codebase-map-v1.csv,PASS_B_MEMBER_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I3-002,CAN-FAIL-08,"At ingestion Lamha must persist the original filename once in the authoritative asset record, and every later rename, move, relink, or restore must preserve that value unchanged.",Stable asset identity,I3,Stable asset identity,MIXED,Codebase/server/src/dtos/asset.dto.ts;Codebase/server/src/schema/migrations/1754389095885-ResetAlbumAssetSync.ts;Codebase/server/src/schema/migrations/1773956345315-DuplicateSharedLinkAssets.ts,Codebase/src-tauri/src/wp_i3_002/,WP-I3-002,WP-I3-002,,WP-I3-002,WP-I3-002,WP-I3-002,WP-I3-002,WP-I3-002,WP-I3-002,,KEEP,"Source 02-EVERYTHING-WE-ARE-DELETING.md section '1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`)' locator 'lines 105-105' clause 'FAIL-08; Overwriting original filename when renaming or moving assets into Event folders.; Filename preservation rule was not marked immutable.; LAM-INV-ASSET-05: Original filename at ingestion must be permanently saved in .asset.json under the Phase 1-mapped schema field and never overwritten.; Mapped original-filename immutability and restore test.' requires 'At ingestion Lamha must persist the original filename once in the authoritative asset record, and every later rename, move, relink, or restore must preserve that value unchanged.'. The reviewed actor is The Stable asset identity subsystem; trigger is 'FAIL-08; Overwriting original filename when renaming or moving assets into Event folders.; Filename preservation rule was not marked immutable.; LAM-INV-ASSET-05: Original filename at ingestion must be permanently saved in .asset.json under the Phase 1-mapped schema field and never overwritten.; Mapped original-filename immutability and restore test.'; observable result is 'Given an ingested asset, when it is renamed, moved, relinked, and restored, then the current path changes as expected while originalFilename and its initial provenance remain byte-for-byte unchanged.'; verification is 'Original-filename immutability and restore gate.'; authority is Owned by Stable asset identity in I3; writes execute only through the reviewed WP-I3-002 boundary; Codebase evidence: EXISTING_VERIFIED (Verified existing paths: ['Codebase/server/src/schema/migrations/1754389095885-ResetAlbumAssetSync.ts', 'Codebase/server). Decision: CONFIRMED because no semantic defect was found.",reviewed-actionable-requirements-v3.csv; reviewed-package-codebase-map-v1.csv,PASS_B_MEMBER_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I15-015,CAN-FAIL-09,"Lamha must not remove a legacy subsystem until every retained caller has migrated, replacement behavior and applicable gates pass, and a dependency rescan proves the subsystem is no longer load-bearing.",Legacy replacement verification and removal,I15,Legacy replacement verification and removal,MIXED,Codebase/server/src/repositories/server-info.repository.ts;Codebase/server/src/schema/migrations/1753800911775-ProfileImageCheckpointRemoval.ts;Codebase/server/test/factories/builder.factory.ts,Codebase/src-tauri/src/wp_i15_015/,WP-I15-015,WP-I15-015,,WP-I15-015,WP-I15-015,WP-I15-015,WP-I15-015,WP-I15-015,WP-I15-015,,KEEP,"Source 02-EVERYTHING-WE-ARE-DELETING.md section '1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`)' locator 'lines 106-106' clause 'FAIL-09; Deleting Docker, PostgreSQL, Redis, or server code before exact callers and retained behaviour are mapped and replaced.; Deletion list did not specify objective lifecycle prerequisites.; Replacement-Before-Removal Guardrail: Phase 0/1 perform no source deletion. Later removal occurs only in the assigned safe phase after mapping, replacement, caller migration, focused/regression/build/desktop-launch proof, Graphify/Ponytail agreement, baseline/rollback evidence, and recorded removal proof.; Assigned-phase dependency scan, affected gates, and final Phase 16 repository-wide rescan.' requires 'Lamha must not remove a legacy subsystem until every retained caller has migrated, replacement behavior and applicable gates pass, and a dependency rescan proves the subsystem is no longer load-bearing.'. The reviewed actor is The Legacy replacement verification and removal subsystem; trigger is 'FAIL-09; Deleting Docker, PostgreSQL, Redis, or server code before exact callers and retained behaviour are mapped and replaced.; Deletion list did not specify objective lifecycle prerequisites.; Replacement-Before-Removal Guardrail: Phase 0/1 perform no source deletion. Later removal occurs only in the assigned safe phase after mapping, replacement, caller migration, focused/regression/build/desktop-launch proof, Graphify/Ponytail agreement, baseline/rollback evidence, and recorded removal proof.; Assigned-phase dependency scan, affected gates, and final Phase 16 repository-wide rescan.'; observable result is 'Given a legacy subsystem proposed for removal, when its removal package runs, then every retained caller points to a verified replacement and the final dependency/runtime scan reports zero load-bearing references before deletion begins.'; verification is 'Replacement-before-removal gate.'; authority is Owned by Legacy replacement verification and removal in I15; writes execute only through the reviewed WP-I15-015 boundary; Codebase evidence: EXISTING_VERIFIED (Verified existing paths: ['Codebase/server/src/schema/migrations/1753800911775-ProfileImageCheckpointRemoval.ts', 'Codeb). Decision: CONFIRMED because no semantic defect was found.",reviewed-actionable-requirements-v3.csv; reviewed-package-codebase-map-v1.csv,PASS_B_MEMBER_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
WP-I3-009,CAN-FAIL-10,Lamha must persist approved user knowledge in its declared authoritative records and must be able to rebuild every derived SQLite index without losing those decisions.,Derived-index rebuild contract,I3,Derived-index rebuild contract,MIXED,Codebase/mobile/openapi/lib/model/sync_album_to_asset_delete_v1.dart;Codebase/server/src/schema/migrations/1750780093818-AddAlbumToAssetDeleteTrigger.ts;Codebase/server/test/medium/specs/sync/sync-album-asset.spec.ts,Codebase/src-tauri/src/wp_i3_009/,WP-I3-009,WP-I3-009,,WP-I3-009,WP-I3-009,WP-I3-009,WP-I3-009,WP-I3-009,WP-I3-009,,KEEP,"Source 02-EVERYTHING-WE-ARE-DELETING.md section '1.4 Low-Capability Model Failure Modes & Defensive Blocks (`FAIL-01` to `FAIL-32`)' locator 'lines 107-107' clause 'FAIL-10; Treating SQLite as authoritative and failing to persist saved user decisions transparently.; SQLite speed was highlighted without defining durable JSON authority.; LAM-INV-META-03: Delete SQLite/rebuildable caches and rebuild from filesystem state plus authoritative asset/event/person/group/relationship/map/tag/album/operation JSON; saved decisions must survive.; Mapped destructive-cache-loss rebuild test on a test copy.' requires 'Lamha must persist approved user knowledge in its declared authoritative records and must be able to rebuild every derived SQLite index without losing those decisions.'. The reviewed actor is The Derived-index rebuild contract subsystem; trigger is 'FAIL-10; Treating SQLite as authoritative and failing to persist saved user decisions transparently.; SQLite speed was highlighted without defining durable JSON authority.; LAM-INV-META-03: Delete SQLite/rebuildable caches and rebuild from filesystem state plus authoritative asset/event/person/group/relationship/map/tag/album/operation JSON; saved decisions must survive.; Mapped destructive-cache-loss rebuild test on a test copy.'; observable result is 'Given authoritative records containing approved decisions and a removed derived database, when rebuild runs, then the reconstructed indexes expose the same decisions and no authoritative value is missing or changed.'; verification is 'Derived-index rebuild and decision-survival gate.'; authority is Owned by Derived-index rebuild contract in I3; writes execute only through the reviewed WP-I3-009 boundary; Codebase evidence: EXISTING_VERIFIED (Verified existing paths: ['Codebase/server/src/schema/migrations/1750780093818-AddAlbumToAssetDeleteTrigger.ts', 'Codeba). Decision: CONFIRMED because no semantic defect was found.",reviewed-actionable-requirements-v3.csv; reviewed-package-codebase-map-v1.csv,PASS_B_MEMBER_REVIEWER,2026-08-06-pass-b-final,REVIEWED_CONFIRMED
