record_id,candidate_value,final_reviewed_value,review_status,review_rationale,evidence,reviewer_type,review_revision,correction_applied
CAN-MISSION-I0-001,Preserve an immutable archive of the supplied repository snapshot before any application-source mutation.,"During I0, the implementation team must inspect the existing Lamha repository in read-only mode and record its file inventory, SHA-256 manifest, available Git state, toolchain manifests, and provenance evidence only inside Graphify; it must create no archive, backup, repository copy, application mutation, or Git mutation.",REVIEWED_CORRECTED,The prior obligation directly violated the binding no-backup rule and omitted observable read-only integrity checks.,"LAMHA GRAPHIFY — FINAL BLOCKER REMOVAL MISSION sections 1, 2, 5, 6, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Replaced archive creation with read-only provenance and integrity evidence.
CAN-MISSION-I0-002,Create a Git baseline and rollback tag in a disposable implementation workspace.,"During I0, the implementation team may inspect existing Git metadata with optional locks disabled, but it must not create or modify commits, branches, tags, stashes, worktrees, the index, or repository configuration.",REVIEWED_CORRECTED,The prior rollback-tag instruction was a prohibited Git mutation; read-only inspection supplies provenance without altering recovery state.,"LAMHA GRAPHIFY — FINAL BLOCKER REMOVAL MISSION sections 2, 6, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Removed tag creation and made Git inspection explicitly read-only.
CAN-MISSION-I0-003,Record archive and repository SHA-256 manifests and verify them before implementation.,"During I0, the implementation team must calculate and verify a SHA-256 manifest for existing repository files without creating an archive, backup, or duplicate repository tree.",REVIEWED_CORRECTED,Repository hashes provide the required integrity proof; an archive hash is both unnecessary and prohibited.,"LAMHA GRAPHIFY — FINAL BLOCKER REMOVAL MISSION sections 2, 5, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Removed archive hashing and retained direct file-integrity verification.
CAN-MISSION-I0-005,Create a disposable build workspace so baseline commands cannot contaminate the preserved snapshot.,WP-I0-006 must define build-output isolation rules without creating a repository copy during the read-only provenance baseline; build or test execution requires a separately authorized implementation workspace after WP-I0-001 exits.,REVIEWED_CORRECTED,The prior wording could authorize a duplicate repository before provenance was proven and conflicted with the current mission's no-write boundary.,"LAMHA GRAPHIFY — FINAL BLOCKER REMOVAL MISSION sections 1, 2, 5, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Changed workspace creation into a read-only isolation decision and deferred execution.
CAN-MISSION-I0-011,"Do not delete, clean, rename, or rewrite application source during repository proof and baseline investigation.","During repository provenance and integrity inspection, every application file outside Graphify must remain byte-for-byte unchanged and no build, test, cache, generated-code, package-manager, or Git artifact may be created or modified.",REVIEWED_CORRECTED,The prior prohibition omitted common indirect write paths and did not state the observable integrity proof.,"LAMHA GRAPHIFY — FINAL BLOCKER REMOVAL MISSION sections 1, 5, and 20",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Expanded the preservation rule and added a complete hash-comparison gate.
CAN-LAM-ASSET-004,"Lamha must provide a primary media container definition spanning approved image, RAW, and video formats.","During ingestion, Lamha must classify each approved image, RAW, and video container, preserve its original bytes, and associate any detected companion bundles by stable identity.",REVIEWED_CORRECTED,The prior capability-template wording mixed a glossary definition with runtime behavior and did not provide a testable outcome.,Master Plan File 1 section 1.1; supported-format code evidence recorded on CAN-LAM-ASSET-004,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Rewrote the glossary template as ingestion behavior and moved primary ownership to media classification.
CAN-SECTION-0120,Lamha must implement the 2.6 Non-destructive defaults behavior for Metadata and satisfy every linked acceptance criterion.,"Metadata mutation must preserve original filename provenance, create revisioned metadata snapshots, and produce privacy-clean exports without modifying the managed original or discarding the last valid authoritative value.",REVIEWED_CORRECTED,The synthesized parent used a broad section template and was assigned to an I3 identity package despite its reviewed primary I11 metadata-mutation phase.,"Master Plan File 1 section 2.6 and linked records CAN-LAM-ASSET-042, CAN-LAM-EDIT-001, CAN-LAM-META-019",AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Rewrote the parent semantically and reconciled membership to an I11 metadata package.
CAN-LAM-AI-006,"It is rebuildable and is never the only authoritative copy of saved user decisions, durable history, approved metadata, suppression decisions, or unresolved pending overlays.","The SQLite AI projection must remain rebuildable from versioned AI task, candidate, decision, suppression, and overlay records; deleting and rebuilding SQLite must preserve every saved user decision and durable history entry.",REVIEWED_CORRECTED,The pronoun had no named authority and the prior text did not state the rebuild trigger or observable preservation result.,CAN-LAM-AI-006 source trace and AI authority decision,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Named both authorities and added a destructive rebuild verification.
CAN-LAM-ARCH-014,The final application must feel like one integrated desktop application.,"Lamha must expose library, search, review, map, editing, and maintenance workflows through one desktop shell with shared navigation, identity, settings, error presentation, and operation status.",REVIEWED_CORRECTED,Feel like one application was subjective and could not be verified.,CAN-LAM-ARCH-014 source trace and desktop-shell package boundaries,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Replaced a subjective quality claim with observable shell integration behavior.
CAN-LAM-ARCH-250,Enabling them requires an explicit setting that identifies the external provider and network use.,"When an optional external AI adapter is disabled, Lamha must make no provider request; enabling it requires an explicit setting naming the provider and network use, and the settings UI must display the active provider before any request runs.",REVIEWED_CORRECTED,The prior pronoun was ambiguous and omitted disabled-state behavior and a visible result.,CAN-LAM-ARCH-250 source trace and optional-adapter boundary,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Named the adapter, trigger, prohibition, and visible provider evidence."
CAN-LAM-ASSET-043,A long inline directory-tree example defining the Primary Library Root layout.,"When Lamha initializes a writable Primary Library Root, it must create the approved year and event-folder layout plus the typed .app-data authority directories, while leaving existing user folders and media bytes unchanged.",REVIEWED_CORRECTED,The prior canonical statement embedded a large illustrative tree instead of a concise behavior and result.,CAN-LAM-ASSET-043 source tree retained in source_text; root and folder schemas,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Moved the illustrative layout to provenance and retained a concise initialization obligation.
CAN-LAM-ASSET-048,Lamha must help the user sort them without immediately changing them.,"When newly discovered assets enter Manage Later, Lamha must display proposed event, folder, and metadata actions without changing media paths, bytes, or authoritative metadata until the user approves a typed operation plan.",REVIEWED_CORRECTED,"The prior pronoun and help wording did not identify assets, preservation behavior, or the approval trigger.",CAN-LAM-ASSET-048 source trace and Manage Later workflow,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Named the actor, subject, proposals, preserved state, and authorization boundary."
CAN-LAM-ASSET-088,Camera Owner; Camera Owner/<Name>; hardware owner definition and a paragraph contrasting photographer and visible person.,"Lamha must store camera owner, photographer, and visible-person attribution as independent typed fields so changing any one attribution cannot silently change either of the others.",REVIEWED_CORRECTED,The prior row was a semicolon-delimited glossary paragraph rather than executable behavior.,CAN-LAM-ASSET-088 source trace and expanded Asset schema,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Converted the glossary into a typed independence invariant and focused update test.
CAN-LAM-ASSET-147,"Lamha must be planned and tested for: 10,000 assets / 50,000 assets / 100,000 assets.","Before release, Lamha performance validation must execute declared 10,000-, 50,000-, and 100,000-asset workloads and report latency, throughput, memory, CPU, cancellation, and responsiveness against reviewed budgets.",REVIEWED_CORRECTED,"The prior statement named sizes but no operation, measurement, or pass/fail result.",CAN-LAM-ASSET-147 source trace and I14 performance packages,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,"Added workloads, observable measurements, declared budgets, and release failure behavior."
CAN-LAM-FOLDER-001,A glossary paragraph defining an Event Folder and its naming examples.,"When a user approves event materialization in a writable Library Root, Lamha must create exactly one dated Year/YYYY-MM-DD-Event-Name folder or one Unknown Date/Unknown-Date-Event-Name folder and persist the approved naming inputs.",REVIEWED_CORRECTED,The prior definition mixed examples and policy without a trigger or verifiable outcome.,CAN-LAM-FOLDER-001 source trace and event/root schemas,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Rewrote the glossary as approved materialization behavior.
CAN-LAM-GOV-052,File 3 must reference those IDs rather than clone their text.,"The implementation tracker must reference canonical requirement IDs instead of copying requirement text, and validation must reject any tracker row whose ID is missing or whose embedded statement diverges from the canonical registry.",REVIEWED_CORRECTED,File 3 and those IDs were ambiguous and the prior clause had no failure behavior.,CAN-LAM-GOV-052 source trace and canonical registry authority,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Named the tracker and registry and added rejection behavior.
CAN-LAM-GOV-054,"If an implementation discovery requires a new edge case, add it to File 1 first, then map it here by ID.","When implementation discovery identifies a new binding edge case, the planning tracker must first record a canonical requirement with source evidence and then reference that ID from its phase and work-package mappings.",REVIEWED_CORRECTED,File 1 and here were ambiguous and the original process lacked an observable validation result.,CAN-LAM-GOV-054 source trace and mapping authority,AI_SEMANTIC_REVIEW,2026-08-01-final-blocker-removal,Named each registry and added order and uniqueness gates.
